
[00:00:00.000 --> 00:00:03.000]  如果今天有些未信耶穌的朋友
[00:00:03.000 --> 00:00:06.840]  不要緊 我很歡迎你們一齊探索這個問題
[00:00:06.840 --> 00:00:09.440]  因為是人的問題 每個人都應該要問
[00:00:09.440 --> 00:00:12.240]  今天如果在座有未信耶穌的不要緊
[00:00:12.240 --> 00:00:16.160]  我很歡迎大家跟我一塊去探討這些問題
[00:00:16.160 --> 00:00:17.460]  因為這是人的問題
[00:00:17.460 --> 00:00:20.500]  大大話話 這個問題我探索了40年
[00:00:20.500 --> 00:00:24.340]  怎麼說這個問題我已經探索了40年
[00:00:24.340 --> 00:00:28.140]  40年前我第一個要寫的碩士論文的時候
[00:00:28.140 --> 00:00:30.140]  已經開始想這個問題
[00:00:30.140 --> 00:00:34.000]  40年前我在我寫碩士論文的時候
[00:00:34.000 --> 00:00:35.480]  已經在構思這個問題
[00:00:35.480 --> 00:00:38.840]  什麼問題呢 我一直在問一個問題
[00:00:38.840 --> 00:00:41.620]  我一直在問一個問題 為什麼人這麼複雜
[00:00:41.620 --> 00:00:43.240]  為什麼人這麼複雜
[00:00:43.240 --> 00:00:45.720]  人可以有時候這麼高貴
[00:00:45.720 --> 00:00:47.520]  人可以有時候這麼高貴
[00:00:47.520 --> 00:00:49.320]  令你這麼感動 這麼偉大
[00:00:49.320 --> 00:00:51.200]  令你這麼感動 這麼偉大
[00:00:51.200 --> 00:00:53.200]  但是有時候又這麼卑鄙
[00:00:53.200 --> 00:00:54.980]  但有時候卻那麼卑鄙
[00:00:54.980 --> 00:00:56.020]  這麼殘酷
[00:00:56.020 --> 00:00:57.280]  這麼殘酷 對吧
[00:00:57.280 --> 00:00:58.780]  不用我再舉很多例子給你
[00:00:58.780 --> 00:01:00.360]  不用我舉很多的例子
[00:01:00.360 --> 00:01:03.740]  這個一直都困惑我 為什麼人會是這樣
[00:01:03.740 --> 00:01:05.480]  這個問題一直在困惑著我
[00:01:05.480 --> 00:01:07.700]  為什麼人會是這樣子
[00:01:07.700 --> 00:01:12.440]  有時候 尤其是慢慢我人生再經驗多一點
[00:01:12.440 --> 00:01:15.100]  尤其是後來我人生再經驗豐富一點
[00:01:15.100 --> 00:01:17.040]  竟然可以在同一個人身上
[00:01:17.040 --> 00:01:19.140]  他又是天使又可以是魔鬼 是吧
[00:01:19.140 --> 00:01:20.840]  竟然在同一個人身上
[00:01:20.840 --> 00:01:22.940]  他既是天使又可以是魔鬼
[00:01:22.940 --> 00:01:24.540]  為什麼一個人一變
[00:01:24.540 --> 00:01:27.340]  你見到很令你很感動 好到不得了
[00:01:27.340 --> 00:01:30.000]  為什麼一個人他有一面令你非常的感動
[00:01:30.000 --> 00:01:31.300]  好到不得了
[00:01:31.300 --> 00:01:34.160]  但是偶爾在某一些的情況底下
[00:01:34.160 --> 00:01:35.360]  或者你聽到
[00:01:35.360 --> 00:01:37.200]  哇 原來那個人是這樣的
[00:01:37.200 --> 00:01:39.500]  可以這麼差的
[00:01:39.500 --> 00:01:41.740]  偶爾在另一面有另外的情況下
[00:01:41.740 --> 00:01:42.880]  你聽到的
[00:01:42.880 --> 00:01:44.880]  他可以是這樣子這麼差勁的
[00:01:44.880 --> 00:01:51.940]  哎呀 這位女士她人很好
[00:01:51.940 --> 00:01:54.280]  哎呀 這位女士她對人很好的
[00:01:54.280 --> 00:01:56.120]  哎呀 很願意幫助人的
[00:01:56.120 --> 00:01:57.640]  她很願意幫助別人的
[00:01:57.640 --> 00:01:59.600]  每次都是很有耐性
[00:01:59.600 --> 00:02:00.880]  每次都很有耐心
[00:02:00.880 --> 00:02:02.220]  感動到不得了
[00:02:02.220 --> 00:02:03.320]  感動到不得了
[00:02:03.320 --> 00:02:05.180]  直到有機會你跟她的媳婦說
[00:02:05.180 --> 00:02:07.280]  原來她刻薄到她死的
[00:02:07.280 --> 00:02:09.840]  有機會 直到有機會你跟她的媳婦聊了
[00:02:09.840 --> 00:02:11.640]  原來她非常刻薄她的媳婦
[00:02:11.640 --> 00:02:13.140]  為什麼會這樣的呢
[00:02:13.140 --> 00:02:13.880]  為什麼會這樣
[00:02:13.880 --> 00:02:15.040]  同一個人而已
[00:02:15.040 --> 00:02:16.140]  同一個人啊
[00:02:16.140 --> 00:02:18.940]  然後我人生再多一點的時候
[00:02:18.940 --> 00:02:20.940]  然後我的人生閱歷再多一點的時候
[00:02:20.940 --> 00:02:22.800]  更加發現原來不是人家是這樣
[00:02:22.800 --> 00:02:24.100]  我自己也是這樣
[00:02:24.100 --> 00:02:26.180]  更是發現原來不是別人是這樣
[00:02:26.180 --> 00:02:27.880]  我自己也是這樣子
[00:02:27.880 --> 00:02:29.280]  自己都很複雜的 原來
[00:02:29.280 --> 00:02:30.780]  自己也很複雜的
[00:02:30.780 --> 00:02:33.080]  剛剛才在某一些的場合裏面
[00:02:33.080 --> 00:02:34.040]  那些人不斷讚說
[00:02:34.040 --> 00:02:36.780]  哎呀 溫博士你真是好 你幫到我
[00:02:36.780 --> 00:02:38.140]  剛剛在某些場合下
[00:02:38.140 --> 00:02:39.340]  別人都盛讚我
[00:02:39.340 --> 00:02:40.640]  哎呀 溫博士你真是好了
[00:02:40.640 --> 00:02:41.580]  你能幫到我
[00:02:41.580 --> 00:02:42.980]  你犧牲你的時間
[00:02:42.980 --> 00:02:44.440]  你犧牲你的時間
[00:02:44.440 --> 00:02:46.540]  但轉頭都不夠幾個鐘頭
[00:02:46.540 --> 00:02:48.240]  轉過來不夠幾個小時之後
[00:02:48.240 --> 00:02:50.440]  我發覺對著某一些的人的時候
[00:02:50.440 --> 00:02:52.100]  我發現我對著某些人的時候
[00:02:52.100 --> 00:02:53.880]  我連多走一步都不願意的
[00:02:53.880 --> 00:02:56.340]  我連多走一步都不願意
[00:02:56.340 --> 00:02:58.380]  有時候是自己的親人
[00:02:58.380 --> 00:02:59.640]  有時那些還是自己的親人
[00:02:59.640 --> 00:03:01.280]  為甚麼會這樣呢自己
[00:03:01.280 --> 00:03:03.440]  那為甚麼我自己會是這樣子呢
[00:03:03.440 --> 00:03:04.480]  天使
[00:03:04.480 --> 00:03:05.380]  天使
[00:03:05.380 --> 00:03:06.080]  魔鬼
[00:03:06.080 --> 00:03:06.900]  魔鬼
[00:03:06.900 --> 00:03:08.140]  好像一個合併體
[00:03:08.140 --> 00:03:09.440]  就像一個合併體
[00:03:09.440 --> 00:03:12.040]  這40年我就是要問這個問題
[00:03:12.040 --> 00:03:14.380]  這40年來我都在問這個問題
[00:03:14.380 --> 00:03:15.280]  所以你看到
[00:03:15.280 --> 00:03:16.880]  如果你稍微知道我的背景
[00:03:16.880 --> 00:03:18.040]  我除了讀神學
[00:03:18.040 --> 00:03:20.780]  在基督教信仰去問這個問題之外
[00:03:20.780 --> 00:03:23.040]  如果你知道 稍微知道我的背景
[00:03:23.040 --> 00:03:24.800]  我除了讀神學
[00:03:24.800 --> 00:03:27.200]  在基督教裡面問這個問題之外
[00:03:27.200 --> 00:03:28.600]  後來我特別再讀了一個
[00:03:28.600 --> 00:03:30.340]  中國哲學的博士學位
[00:03:30.340 --> 00:03:31.480]  後來我特別再讀
[00:03:31.480 --> 00:03:33.680]  唸了一個中國哲學的博士學位
[00:03:33.680 --> 00:03:35.100]  我不是好奇喜歡讀書
