
[00:00:00.000 --> 00:00:03.400]  我們常常都會講及到一節經文
[00:00:03.400 --> 00:00:06.000]  是我們都會唸的
[00:00:06.000 --> 00:00:09.800]  就是「竭力保守聖靈所賜」
[00:00:09.800 --> 00:00:13.800]  甚麼?「合而為一的心」
[00:00:13.800 --> 00:00:16.000]  每當我們讀到《殷子》聖經的時候
[00:00:16.000 --> 00:00:18.300]  我們都會有一種提醒
[00:00:18.300 --> 00:00:21.800]  但是聖經裏面有一個很重要的含義就是
[00:00:21.800 --> 00:00:26.700]  這種「合而為一」是神已經賜給我們
[00:00:26.700 --> 00:00:30.000]  神已經賜下這種合一的生命
[00:00:30.000 --> 00:00:33.200]  因為我們從聖靈那裏領受救恩
[00:00:33.200 --> 00:00:37.000]  亦都在聖靈裏面繼續來成長
[00:00:37.000 --> 00:00:41.500]  而聖經就說我們是要竭力地保守著
[00:00:41.500 --> 00:00:47.800]  或者說保持著這種神已經賜給我們的合一的生命
[00:00:47.800 --> 00:00:49.800]  因此我們自然要問一個問題
[00:00:49.800 --> 00:00:53.000]  我們有沒有竭力去保守?
[00:00:53.000 --> 00:00:58.000]  有沒有留意的人來保存著這一份的恩惠?
[00:00:58.000 --> 00:01:01.000]  當我們想到聖經裏面提及到合一的時候
[00:01:01.000 --> 00:01:03.000]  特別是聖經上提及一點
[00:01:03.000 --> 00:01:05.000]  它說弟兄姊妹也要小心
[00:01:05.000 --> 00:01:08.700]  不要叫人因為你而受傷害
[00:01:08.700 --> 00:01:13.400]  不要叫你的弟兄姊妹因為你而跌倒
[00:01:13.400 --> 00:01:16.500]  福音書裏面主耶穌講及這方面的教導
[00:01:16.500 --> 00:01:19.000]  很多次重複地講
[00:01:19.000 --> 00:01:22.000]  特別是《馬太》第十八章就多次提及
[00:01:22.000 --> 00:01:27.000]  不要叫信主的一個小子因為你而跌倒
[00:01:27.000 --> 00:01:30.500]  反而在過程當中去造就別人
[00:01:30.500 --> 00:01:35.500]  因為愛、因為忍耐的緣故去造就、去建立
[00:01:35.500 --> 00:01:38.000]  不要叫人跌倒
[00:01:38.000 --> 00:01:41.000]  而叫人跌倒其中一個很重要的因素
[00:01:41.000 --> 00:01:47.500]  是因為產生了生命之間彼此的審判或者批評
[00:01:47.500 --> 00:01:50.500]  不要叫人因為你而跌倒
[00:01:50.500 --> 00:01:57.000]  反而讓你叫別人可以成長、可以得造就
[00:01:57.000 --> 00:01:59.500]  因此當我們今天讀到羅馬書十四章的時候
[00:01:59.500 --> 00:02:02.500]  你就察覺聖經裏面很仔細地提及
[00:02:02.500 --> 00:02:04.500]  弟兄姊妹也要留意
[00:02:04.500 --> 00:02:07.000]  要去造就你身邊的人
[00:02:07.000 --> 00:02:11.500]  而不是叫他因為你的論斷而跌倒
[00:02:11.500 --> 00:02:14.000]  我們一齊來看看聖經
[00:02:14.000 --> 00:02:16.000]  在聖經十四章第一節就提及
[00:02:16.000 --> 00:02:19.000]  你們要接納信心軟弱的人
[00:02:19.000 --> 00:02:23.500]  不要論斷引起爭論的事
[00:02:23.500 --> 00:02:26.000]  甚麼是信心軟弱呢?
