
[00:00:00.000 --> 00:00:06.000]  我要傳講的題目就是相從的因緣
[00:00:06.000 --> 00:00:10.000]  我相信這是大家每個人的心聲
[00:00:10.000 --> 00:00:14.000]  相從相從的因緣
[00:00:14.000 --> 00:00:18.000]  我們所剛剛讀過的經文
[00:00:18.000 --> 00:00:20.000]  《約翰福音》第十章
[00:00:20.000 --> 00:00:23.000]  請大家再回到那個地方
[00:00:23.000 --> 00:00:28.000]  《約翰福音》第十章
[00:00:28.000 --> 00:00:34.000]  當我仔細的閱讀這章聖經的時候
[00:00:34.000 --> 00:00:39.000]  我發現其中有神主耶穌
[00:00:39.000 --> 00:00:43.000]  提到十方面的相從的因緣
[00:00:43.000 --> 00:00:45.000]  但是為了時間所限
[00:00:45.000 --> 00:00:51.000]  我要提及其中的四方面的相從的因緣
[00:00:51.000 --> 00:00:56.000]  第一方面是相從的生命的因緣
[00:00:56.000 --> 00:00:58.000]  第十字
[00:00:58.000 --> 00:01:01.000]  我用廣東話來讀
[00:01:01.000 --> 00:01:08.000]  他問者
[00:01:08.000 --> 00:01:11.000]  我來了是要教養得生命
[00:01:11.000 --> 00:01:15.000]  並且得得更豐盛
[00:01:15.000 --> 00:01:17.000]  耶穌說他到世上來
[00:01:17.000 --> 00:01:19.000]  有一個目的
[00:01:19.000 --> 00:01:23.000]  是教他養得生命
[00:01:23.000 --> 00:01:25.000]  但是不止於此
[00:01:25.000 --> 00:01:29.000]  並且得得更豐盛
[00:01:29.000 --> 00:01:31.000]  第一
[00:01:31.000 --> 00:01:33.000]  得生命
[00:01:33.000 --> 00:01:34.000]  永遠的生命
[00:01:34.000 --> 00:01:36.000]  第二
[00:01:36.000 --> 00:01:38.000]  得豐盛的生命
[00:01:38.000 --> 00:01:39.000]  感謝神
[00:01:39.000 --> 00:01:41.000]  相從的因緣
[00:01:41.000 --> 00:01:45.000]  我們要體會自己的心意
[00:01:45.000 --> 00:01:48.000]  我們願意真是身懷雙手
[00:01:48.000 --> 00:01:51.000]  或者你要相從的因緣
[00:01:51.000 --> 00:01:53.000]  我願意得解
[00:01:53.000 --> 00:01:54.000]  我願意領受
[00:01:54.000 --> 00:01:57.000]  我願意追求
[00:01:57.000 --> 00:02:00.000]  得生命
[00:02:00.000 --> 00:02:02.000]  在不知迷茫
[00:02:02.000 --> 00:02:05.000]  凡得永生
[00:02:05.000 --> 00:02:07.000]  在相應的不知
[00:02:07.000 --> 00:02:09.000]  在不迷茫
[00:02:09.000 --> 00:02:11.000]  以且高尚
[00:02:11.000 --> 00:02:13.000]  我得到的生命
[00:02:13.000 --> 00:02:15.000]  得解之後
[00:02:15.000 --> 00:02:17.000]  再做追求
[00:02:17.000 --> 00:02:18.000]  強盡
[00:02:18.000 --> 00:02:21.000]  以至於得到豐盛的生命
[00:02:21.000 --> 00:02:22.000]  豐盛的生命
[00:02:22.000 --> 00:02:24.000]  是聖數的生命
[00:02:24.000 --> 00:02:26.000]  有力量
