
[00:00:00.000 --> 00:00:02.000]  在《路加福音》的記載裏面
[00:00:02.000 --> 00:00:05.440]  當耶穌面對一些很重要的時刻
[00:00:05.440 --> 00:00:09.680]  《路加福音》記載耶穌會單獨很安靜地禱告
[00:00:09.680 --> 00:00:13.480]  在耶穌人生走到一個階段的時候
[00:00:13.480 --> 00:00:15.520]  他已經很清楚知道
[00:00:15.520 --> 00:00:20.000]  上帝預備他走上十字架的路的時刻已經到了
[00:00:20.000 --> 00:00:26.160]  所以《路加福音》記載耶穌自己禱告的時候
[00:00:26.160 --> 00:00:31.920]  在禱告裏面強調了耶穌和上帝之間的關係
[00:00:31.920 --> 00:00:37.520]  也強調了耶穌在上帝的救贖計劃當中
[00:00:37.520 --> 00:00:39.840]  耶穌怎樣去參與
[00:00:39.840 --> 00:00:41.360]  在這段經文裏面
[00:00:41.360 --> 00:00:45.040]  耶穌向神的禱告有一個很重要的內容
[00:00:45.040 --> 00:00:48.720]  就是求上帝讓一班門徒明白
[00:00:48.720 --> 00:00:51.360]  耶穌的身份是誰
[00:00:51.360 --> 00:00:54.920]  耶穌來到的使命是做些什麼
[00:00:54.920 --> 00:00:56.640]  認識耶穌的身份
[00:00:56.640 --> 00:00:59.440]  認識耶穌的使命是相當重要
[00:00:59.440 --> 00:01:03.960]  因為這是一班門徒跟隨上帝的時候
[00:01:03.960 --> 00:01:06.480]  應該有的態度應該是怎樣
[00:01:06.480 --> 00:01:08.640]  因為當時的門徒不是很明白
[00:01:08.640 --> 00:01:10.880]  或者有很多的誤解
[00:01:10.880 --> 00:01:12.520]  所以耶穌在禱告裏面
[00:01:12.520 --> 00:01:15.520]  很希望一班門徒能夠明白
[00:01:15.520 --> 00:01:19.080]  他的身份和他的使命究竟是什麼
[00:01:19.080 --> 00:01:21.920]  在第十九節裏面
[00:01:21.920 --> 00:01:23.400]  第二十節裏面說到
[00:01:23.400 --> 00:01:25.960]  他們說有人說
[00:01:25.960 --> 00:01:27.600]  眾人說我是誰呢?
[00:01:27.600 --> 00:01:29.880]  他們說有人說是施洗的約翰
[00:01:29.880 --> 00:01:31.200]  有人說是以利亞
[00:01:31.200 --> 00:01:34.240]  還有人說是古時的先知又活了
[00:01:34.240 --> 00:01:37.640]  耶穌說:你們說我是誰?
[00:01:37.640 --> 00:01:40.840]  彼得回答說:是神所立的基督
[00:01:40.840 --> 00:01:43.400]  在這裏耶穌問:究竟我是誰呢?
[00:01:43.400 --> 00:01:47.120]  當中有些人說你是以利亞
[00:01:47.120 --> 00:01:50.360]  有些人說你是古時的先知
[00:01:50.360 --> 00:01:54.000]  這些提出的名字和身份都是相當尊貴的
[00:01:54.000 --> 00:01:56.160]  以利亞在舊約的時代
[00:01:56.160 --> 00:02:02.960]  是先知當中一個相當地位尊崇的人物
[00:02:02.960 --> 00:02:05.120]  用這些來襯托耶穌
[00:02:05.120 --> 00:02:06.600]  你也是很尊貴
[00:02:06.600 --> 00:02:11.360]  但是其實用這些人物來襯托出
[00:02:11.360 --> 00:02:14.840]  耶穌不單止是這些人物這麼尊貴
[00:02:14.840 --> 00:02:16.360]  等同這麼簡單
[00:02:16.360 --> 00:02:17.400]  不是
[00:02:17.400 --> 00:02:20.880]  彼得回答:你是誰呢?
[00:02:20.880 --> 00:02:23.280]  你就是神所立的基督
[00:02:23.280 --> 00:02:27.800]  你是上帝立的受高者
[00:02:27.800 --> 00:02:29.320]  路加在此特別強調
[00:02:29.320 --> 00:02:32.840]  耶穌是上帝所立的基督
[00:02:32.840 --> 00:02:37.080]  他強調耶穌和上帝之間的關係
[00:02:37.080 --> 00:02:39.600]  那種特別和重要
[00:02:39.600 --> 00:02:40.520]  在舊約裏面
[00:02:40.520 --> 00:02:43.920]  基督的意思是受高者的意思
[00:02:43.920 --> 00:02:47.360]  強調是上帝高立他
[00:02:47.360 --> 00:02:51.520]  成為一個作王的身份
[00:02:51.520 --> 00:02:53.840]  彼得的認訊再次確認
[00:02:53.840 --> 00:02:56.960]  耶穌你就是上帝末世時
[00:02:56.960 --> 00:03:00.960]  將要來到作王的那個受高者
[00:03:00.960 --> 00:03:02.640]  在猶太的傳統裏面
[00:03:02.640 --> 00:03:04.120]  一個受高者
[00:03:04.120 --> 00:03:08.160]  上帝差派來作王的那個是怎樣的呢?
[00:03:08.160 --> 00:03:11.200]  他是來拯救我們這一班以色列人
[00:03:11.200 --> 00:03:15.000]  將我們從一個外方人的統治裏面拯救出來
[00:03:15.000 --> 00:03:16.840]  以致我們自己的國家
[00:03:16.840 --> 00:03:19.200]  再成為一個獨立的國家
[00:03:19.200 --> 00:03:21.840]  我們有一個很強大的
[00:03:21.840 --> 00:03:24.640]  或軍事力量很強的一個君王
[00:03:24.640 --> 00:03:26.200]  再次統治我們
[00:03:26.200 --> 00:03:30.000]  猶太人的想法或傳統
[00:03:30.000 --> 00:03:33.200]  是期待一個這樣的受高者
[00:03:33.200 --> 00:03:36.840]  但是這一班猶太人或猶太人的傳統
[00:03:36.840 --> 00:03:40.360]  他們對受高者是一個很片面的形式
[00:03:40.360 --> 00:03:42.400]  耶穌就在他的宣稱裏面
[00:03:42.400 --> 00:03:46.080]  糾正這一班猶太人或猶太人
