
[00:00:00.000 --> 00:00:06.000]  我們已經看過聖經裏面關於聖靈的六個比喻
[00:00:06.000 --> 00:00:11.000]  我們已經看過關於聖經裏面聖靈的六個比喻
[00:00:11.000 --> 00:00:16.000]  昨天晚上我們看聖靈好像角一樣
[00:00:16.000 --> 00:00:20.000]  昨天晚上我們看到聖靈好像角一樣
[00:00:20.000 --> 00:00:24.000]  在被殺的羔羊的頭上有七個角
[00:00:24.000 --> 00:00:27.000]  在被殺的羔羊的頭上有七個角
[00:00:27.000 --> 00:00:29.000]  那七個角就是聖靈
[00:00:29.000 --> 00:00:31.000]  那七個角就是聖靈
[00:00:31.000 --> 00:00:34.000]  代表聖靈的完全的能力
[00:00:34.000 --> 00:00:37.000]  代表聖靈的完全的能力
[00:00:37.000 --> 00:00:41.000]  昨天晚上我們看見在聖經裏面有七種的角
[00:00:41.000 --> 00:00:45.000]  昨天晚上我們在聖經裏面看見有七種的角
[00:00:45.000 --> 00:00:48.000]  而聖靈的角是其中的一種
[00:00:48.000 --> 00:00:51.000]  而聖靈的角是其中的一種
[00:00:51.000 --> 00:00:58.000]  但是聖靈的角和另外六種的角是彼此的結連在一起
[00:00:58.000 --> 00:01:02.000]  但是聖靈的角和另外六種的角是彼此的結連在一起
[00:01:02.000 --> 00:01:05.000]  我們又在書形狀裏看見
[00:01:05.000 --> 00:01:07.000]  我們又在《基督行傳》裏面看見
[00:01:07.000 --> 00:01:15.000]  聖靈的角如何勝過了初期的教會裏面的七種的軟弱
[00:01:15.000 --> 00:01:19.000]  如何勝過了初期的教會裏面的七種的軟弱
[00:01:19.000 --> 00:01:21.000]  勝過了他們懼怕的軟弱
[00:01:21.000 --> 00:01:23.000]  勝過了他們懼怕的軟弱
[00:01:23.000 --> 00:01:25.000]  勝過了他們自私的軟弱
[00:01:25.000 --> 00:01:27.000]  勝過了他們自私的軟弱
[00:01:27.000 --> 00:01:31.000]  勝過了他們種族之間界限的某個軟弱
[00:01:31.000 --> 00:01:35.000]  勝過了他們種族之間的隔閡的軟弱
[00:01:35.000 --> 00:01:38.000]  勝過了自我中心的軟弱
[00:01:38.000 --> 00:01:40.000]  勝過了自我中心的軟弱
[00:01:40.000 --> 00:01:46.000]  勝過了他們在魔鬼的掌握之中的那個軟弱
[00:01:46.000 --> 00:01:49.000]  勝過了他們在魔鬼掌握中的軟弱
[00:01:49.000 --> 00:01:54.000]  聖靈的能力把初期的教會完全的釋放出來
[00:01:54.000 --> 00:01:58.000]  聖靈的能力把初期的教會完全的釋放出來
[00:01:58.000 --> 00:02:01.000]  聖靈的腳正是高高的舉起來
[00:02:01.000 --> 00:02:03.000]  聖靈的腳是高高的舉起
[00:02:03.000 --> 00:02:09.000]  但願聖靈的腳在今天的宗教會裏面也能夠這樣高舉起來
[00:02:09.000 --> 00:02:14.000]  但願聖靈的腳今天在宗教會裏面也能夠高高的舉起
[00:02:14.000 --> 00:02:20.000]  今天晚上我們再看另外三個聖靈的比喻
[00:02:20.000 --> 00:02:23.000]  我們另外再看第三個關於聖靈的比喻
[00:02:23.000 --> 00:02:28.000]  第一個,請大家再翻回剛才讀的一節書第一章
[00:02:28.000 --> 00:02:33.000]  請大家再翻開剛才我們所讀的儀西別書第一章
[00:02:33.000 --> 00:02:35.000]  我們先看第十二節
[00:02:35.000 --> 00:02:38.000]  我們先看第十二節
[00:02:38.000 --> 00:02:39.000]  在這裏我們看見
[00:02:39.000 --> 00:02:41.000]  在這裏我們看見
[00:02:41.000 --> 00:02:42.000]  靈往那裏去
[00:02:42.000 --> 00:02:44.000]  靈往那裏去
