
[00:00:00.000 --> 00:00:03.000]  在過去兩個早上
[00:00:03.000 --> 00:00:07.000]  我們看了淨身、乍跟
[00:00:07.000 --> 00:00:09.000]  今天早上
[00:00:09.000 --> 00:00:12.000]  我們要看突破
[00:00:12.000 --> 00:00:15.000]  為什麼要突破
[00:00:15.000 --> 00:00:20.000]  因為在我們追求淨身、乍跟的路上
[00:00:20.000 --> 00:00:23.000]  有很多的時候有攔阻
[00:00:23.000 --> 00:00:26.000]  所以我們需要突破
[00:00:26.000 --> 00:00:31.000]  亞伯拉罕是一個深深懵恩的人
[00:00:31.000 --> 00:00:34.000]  是淨心之父
[00:00:34.000 --> 00:00:37.000]  所以我們在懵恩的路上
[00:00:37.000 --> 00:00:39.000]  要效法他
[00:00:39.000 --> 00:00:43.000]  在淨心的路上要效法他
[00:00:43.000 --> 00:00:46.000]  他實在給我們留下了許多
[00:00:46.000 --> 00:00:50.000]  非常寶貴的方案
[00:00:50.000 --> 00:00:52.000]  亞伯拉罕
[00:00:52.000 --> 00:00:56.000]  懵的恩憐最深的地方
[00:00:56.000 --> 00:01:00.000]  就是神向他顯現
[00:01:00.000 --> 00:01:02.000]  神向他顯現的時候
[00:01:02.000 --> 00:01:06.000]  他就與神面對面
[00:01:06.000 --> 00:01:10.000]  他有了對神顯現的回應
[00:01:10.000 --> 00:01:16.000]  他的回應的方式就是助談
[00:01:16.000 --> 00:01:18.000]  建造寄談
[00:01:18.000 --> 00:01:21.000]  神向他顯現
[00:01:21.000 --> 00:01:27.000]  他就用寄談來回應神的顯現
[00:01:27.000 --> 00:01:30.000]  寄談代表奉獻
[00:01:30.000 --> 00:01:34.000]  他對神的回應是奉獻
[00:01:34.000 --> 00:01:37.000]  這是真的回應
[00:01:37.000 --> 00:01:40.000]  當他與神面對面的時候
[00:01:40.000 --> 00:01:44.000]  那就是生命的面對面
[00:01:44.000 --> 00:01:48.000]  英文說是living encounter
[00:01:48.000 --> 00:01:51.000]  一個活潑潑的
[00:01:51.000 --> 00:01:54.000]  一個生命裡面的
[00:01:54.000 --> 00:01:57.000]  與神面對面
[00:01:57.000 --> 00:02:00.000]  有了這樣的一個encounter
[00:02:00.000 --> 00:02:02.000]  任何的人都不會
[00:02:02.000 --> 00:02:07.000]  都不可能和過去一樣
[00:02:07.000 --> 00:02:09.000]  在他的生命中
[00:02:09.000 --> 00:02:11.000]  在他的世風中
[00:02:11.000 --> 00:02:14.000]  一定有大的改變
[00:02:14.000 --> 00:02:16.000]  徹底的改變
