
[00:00:00.000 --> 00:00:02.000]  今月的雅各書
[00:00:02.000 --> 00:00:05.000]  我們要領受這一卷書裡面的
[00:00:05.000 --> 00:00:08.000]  第二個信息
[00:00:08.000 --> 00:00:11.000]  就是俗靈的呼聲
[00:00:11.000 --> 00:00:15.000]  在這一卷書裡面
[00:00:15.000 --> 00:00:19.000]  向我們發出來的呼喊的聲音
[00:00:19.000 --> 00:00:21.000]  我們先低頭
[00:00:21.000 --> 00:00:23.000]  做一個仰望的禱告
[00:00:23.000 --> 00:00:26.000]  父神
[00:00:26.000 --> 00:00:29.000]  我們再次奉主耶穌基督的聖名
[00:00:29.000 --> 00:00:32.000]  來到你的使恩台前
[00:00:32.000 --> 00:00:35.000]  我們要借著你的話
[00:00:35.000 --> 00:00:37.000]  來摸到你的心意
[00:00:37.000 --> 00:00:40.000]  體會你的心意
[00:00:40.000 --> 00:00:42.000]  尊敬你的心意
[00:00:42.000 --> 00:00:46.000]  使我們願意謙卑自己
[00:00:46.000 --> 00:00:48.000]  用預備好的心
[00:00:48.000 --> 00:00:51.000]  專專地來聽你的話
[00:00:51.000 --> 00:00:54.000]  將我們整個的注意力
[00:00:54.000 --> 00:00:57.000]  都集中在主自己的身上
[00:00:57.000 --> 00:00:59.000]  和主話語的上面
[00:00:59.000 --> 00:01:03.000]  求主除去我們裡面一切的攔阻
[00:01:03.000 --> 00:01:06.000]  也給我們俗靈的悟性
[00:01:06.000 --> 00:01:09.000]  也給我們俗靈的科目
[00:01:09.000 --> 00:01:11.000]  主啊我們因為愛你
[00:01:11.000 --> 00:01:13.000]  所以愛你的話語
[00:01:13.000 --> 00:01:15.000]  我們因為科目你
[00:01:15.000 --> 00:01:17.000]  所以科目你的話
[00:01:17.000 --> 00:01:19.000]  因為我們透過你的話
[00:01:19.000 --> 00:01:22.000]  才能夠與你有密切的聯繫
[00:01:22.000 --> 00:01:26.000]  我們才能夠進入你的旨意之中
[00:01:27.000 --> 00:01:29.000]  滿足你的心意
[00:01:29.000 --> 00:01:33.000]  主啊你帶領我們到夏令會來
[00:01:33.000 --> 00:01:36.000]  要在各方面使恩給我們
[00:01:36.000 --> 00:01:40.000]  你更要我們在你的話語上
[00:01:40.000 --> 00:01:43.000]  領受彼此的提醒
[00:01:43.000 --> 00:01:45.000]  互相的勉勵
[00:01:45.000 --> 00:01:48.000]  你要我們不可停止聚會
[00:01:48.000 --> 00:01:50.000]  既知道足短的日子近了
[00:01:50.000 --> 00:01:53.000]  就更加要如此
[00:01:54.000 --> 00:01:56.000]  主啊我們在這裡按你的旨意
[00:01:56.000 --> 00:01:58.000]  這樣分享
[00:01:58.000 --> 00:02:01.000]  一同領受你的話語的時候
[00:02:01.000 --> 00:02:04.000]  求聖靈保護師
[00:02:04.000 --> 00:02:07.000]  親自的教導我們
[00:02:07.000 --> 00:02:08.000]  訓惠我們
[00:02:08.000 --> 00:02:10.000]  讓我們沒有一個人
[00:02:10.000 --> 00:02:13.000]  白白的空空的坐在這裡
[00:02:13.000 --> 00:02:15.000]  讓我們的心靈的深處
[00:02:15.000 --> 00:02:17.000]  都有所領受
[00:02:17.000 --> 00:02:20.000]  主啊你知道我們的需要
[00:02:20.000 --> 00:02:22.000]  求你按你豐盛的恩典
[00:02:23.000 --> 00:02:25.000]  借著你的話語來供應我們
[00:02:25.000 --> 00:02:26.000]  一切的需要
[00:02:26.000 --> 00:02:29.000]  求你幫助你的孩子
[00:02:29.000 --> 00:02:32.000]  把你的話語傳達的清楚
[00:02:32.000 --> 00:02:34.000]  讓我們一同領受
[00:02:34.000 --> 00:02:38.000]  我們這樣的仰望祈求
[00:02:38.000 --> 00:02:41.000]  供主耶穌基督的聖明
[00:02:41.000 --> 00:02:42.000]  阿們
[00:02:42.000 --> 00:02:48.000]  我們看第一個呼聲
[00:02:48.000 --> 00:02:50.000]  是在第二章
[00:02:50.000 --> 00:02:52.000]  第二十節
[00:02:53.000 --> 00:02:56.000]  第二章第二十節
[00:02:56.000 --> 00:03:00.000]  虛否的人啊
[00:03:00.000 --> 00:03:01.000]  你願意知道
[00:03:01.000 --> 00:03:05.000]  沒有行為的信心是死的嗎
[00:03:05.000 --> 00:03:08.000]  虛否的人啊
[00:03:08.000 --> 00:03:11.000]  就是一個呼聲
[00:03:11.000 --> 00:03:14.000]  這個呼聲的對象
[00:03:14.000 --> 00:03:17.000]  在這裡說得很清楚
[00:03:17.000 --> 00:03:19.000]  這個信息
[00:03:19.000 --> 00:03:23.000]  是向虛否的人發出來
[00:03:23.000 --> 00:03:25.000]  虛否的人
[00:03:25.000 --> 00:03:27.000]  就是表面化的人
[00:03:27.000 --> 00:03:30.000]  沒有熟靈深度的人
[00:03:30.000 --> 00:03:35.000]  在神的恩典的表層上生活
[00:03:35.000 --> 00:03:38.000]  沒有近身
[00:03:38.000 --> 00:03:42.000]  沒有對神有清楚的認識
[00:03:42.000 --> 00:03:47.000]  沒有比較深刻的熟靈的經歷
[00:03:47.000 --> 00:03:51.000]  滿足於與神表面的關係
[00:03:51.000 --> 00:03:55.000]  一些儀式性的關係
[00:03:55.000 --> 00:03:59.000]  以為這樣就足夠了
[00:03:59.000 --> 00:04:03.000]  所以沒有追求的心
[00:04:03.000 --> 00:04:07.000]  沒有向前進取的心
[00:04:07.000 --> 00:04:10.000]  滿溢於現狀
[00:04:10.000 --> 00:04:16.000]  這個信息是向這樣的基督徒發出來的
[00:04:17.000 --> 00:04:19.000]  在這裡提到
[00:04:19.000 --> 00:04:23.000]  虛否的人有一種虛否的觀念
[00:04:23.000 --> 00:04:25.000]  是什麼觀念呢
[00:04:25.000 --> 00:04:27.000]  就是只要有信心
[00:04:27.000 --> 00:04:30.000]  就不必有行為
[00:04:30.000 --> 00:04:32.000]  信心夠了
[00:04:32.000 --> 00:04:34.000]  因為聖經說
[00:04:34.000 --> 00:04:35.000]  因信稱義
[00:04:35.000 --> 00:04:37.000]  稱義了還不夠嗎
[00:04:37.000 --> 00:04:41.000]  稱義就是對神宣告為無罪
[00:04:41.000 --> 00:04:44.000]  我在聖面前最得善言
[00:04:44.000 --> 00:04:46.000]  稱為一個無罪的人
[00:04:46.000 --> 00:04:50.000]  可以得救將來到天堂去
[00:04:50.000 --> 00:04:51.000]  那還不夠嗎
[00:04:51.000 --> 00:04:53.000]  我還有什麼可求的呢
[00:04:53.000 --> 00:04:55.000]  別無他求了
[00:04:55.000 --> 00:04:57.000]  滿足了
[00:04:57.000 --> 00:05:00.000]  其他的不聞不問
[00:05:00.000 --> 00:05:05.000]  這是一個虛否的基督徒
[00:05:05.000 --> 00:05:09.000]  在這裡神借著雅各
[00:05:09.000 --> 00:05:12.000]  發出來這個呼聲
[00:05:12.000 --> 00:05:13.000]  神的心意
[00:05:13.000 --> 00:05:15.000]  就讓每一個基督徒
[00:05:15.000 --> 00:05:18.000]  都把這個呼聲聽得進去
[00:05:18.000 --> 00:05:20.000]  聽得入耳
[00:05:20.000 --> 00:05:22.000]  聽得入心
[00:05:22.000 --> 00:05:24.000]  願意接受
[00:05:24.000 --> 00:05:28.000]  在這裡雅各
[00:05:28.000 --> 00:05:31.000]  把沒有行為的信心
[00:05:31.000 --> 00:05:36.000]  加以非常清楚透徹的形容
[00:05:36.000 --> 00:05:40.000]  他用了六種的形容詞
[00:05:40.000 --> 00:05:43.000]  讓我們看得很清楚
[00:05:43.000 --> 00:05:47.000]  到底沒有行為的信心是怎麼樣
[00:05:47.000 --> 00:05:52.000]  我們看看這六種的形容詞
[00:05:52.000 --> 00:05:54.000]  在這一章裡面
