
[00:00:00.000 --> 00:00:07.000]  做基督徒是否不應經常問這麼多,應該首先學會馴服呢?
[00:00:07.000 --> 00:00:13.000]  讀神學是否會令人自高自大,甚至是越來越不熟靈呢?
[00:00:13.000 --> 00:00:15.000]  大家好,我是Daniel
[00:00:15.000 --> 00:00:23.000]  今天想和大家分享的一本書是郭牧之所寫的《中國教會的反智主義》
[00:00:23.000 --> 00:00:27.000]  作者郭牧之年輕的時候就這樣說過
[00:00:27.000 --> 00:00:35.000]  他說我寧願做一個快樂的異教徒,也不想做一個扼殺生命的基督徒
[00:00:35.000 --> 00:00:39.000]  這句話不是出自一個反對基督教的人
[00:00:39.000 --> 00:00:45.000]  而是出自一個很認真在信仰裏追求的基督徒
[00:00:45.000 --> 00:00:49.000]  當時郭牧之很努力追求教會所說的屬靈生命
[00:00:49.000 --> 00:00:57.000]  但他慢慢發現當他越追求的時候,他的思想、感情、身體等等
[00:00:57.000 --> 00:01:01.000]  跟日常的生活好像很割裂
[00:01:01.000 --> 00:01:05.000]  他覺得信仰本來應該叫人得生命
[00:01:05.000 --> 00:01:11.000]  但他覺得這條路好像越走越窄,甚至越來越令人窒息
[00:01:11.000 --> 00:01:18.000]  他形容自己在華人教會裏面好像一個受傷的愛者
[00:01:18.000 --> 00:01:24.000]  他不是真華人教會,正正相反,他很愛華人教會
[00:01:24.000 --> 00:01:27.000]  他很欣賞華人信徒的熱心
[00:01:27.000 --> 00:01:31.000]  他很欣賞他們願意為信仰付出代價
[00:01:31.000 --> 00:01:38.000]  但他痛心的一點是為何一個這麼重視信仰的教會
[00:01:38.000 --> 00:01:46.000]  但最後可以令人覺得越屬靈就代表越不應該思想
[00:01:46.000 --> 00:01:51.000]  越屬靈甚至越不像一個完整的人
[00:01:51.000 --> 00:01:57.000]  而這個問題就成為了這本書文牙的一個原因
[00:01:57.000 --> 00:02:00.000]  中國教會的反智主義
[00:02:00.000 --> 00:02:06.000]  一說到反智主義,我們可能會說
[00:02:06.000 --> 00:02:13.000]  我們教會有很多大學生,有碩士、博士,怎會反智呢?
[00:02:13.000 --> 00:02:18.000]  但葛木芝提醒我們,學歷高不代表反智
[00:02:18.000 --> 00:02:21.000]  他分開了兩個英文詞彙
[00:02:21.000 --> 00:02:25.000]  第一個叫intelligence,第二個叫intellect
[00:02:25.000 --> 00:02:33.000]  他在訪問裏面說到intelligence就是一些解決問題的能力
[00:02:33.000 --> 00:02:39.000]  例如寫程式、做實驗、做生意、去計數、去分析數據
[00:02:39.000 --> 00:02:42.000]  這些都是很重要的能力
[00:02:42.000 --> 00:02:50.000]  但intellect就不同,intellect是一種對真理本身有好奇
[00:02:50.000 --> 00:02:56.000]  願意去問一些問題、去反省自己、去聽不同的意見
[00:02:56.000 --> 00:03:01.000]  和人很認真地對話
[00:03:01.000 --> 00:03:06.000]  這些心智他就形容為intellect
[00:03:06.000 --> 00:03:10.000]  所以一個人可以是一個工程學的博士
[00:03:10.000 --> 00:03:14.000]  可以是醫生、IT的專家
[00:03:14.000 --> 00:03:17.000]  專業能力非常之高
[00:03:17.000 --> 00:03:21.000]  但一提到信仰,不知為何就變成了
[00:03:21.000 --> 00:03:25.000]  不要問那麼多,聖經這樣說就是這樣
[00:03:25.000 --> 00:03:29.000]  神學讀得多就會叫人自高自大
[00:03:29.000 --> 00:03:32.000]  你質疑目者就是不馴服
[00:03:32.000 --> 00:03:37.000]  所以雖然專業能力很高,但仍然可以是很反智
[00:03:37.000 --> 00:03:42.000]  葛木芝對反智主義有個解釋
[00:03:42.000 --> 00:03:47.000]  就是當基督徒抗拒用理性去對話
[00:03:47.000 --> 00:03:51.000]  和去反省自己的信仰的時候
[00:03:51.000 --> 00:03:55.000]  當我們不願意思考的話
[00:03:55.000 --> 00:04:00.000]  無論我們讀了多少書,其實一樣都是反智
[00:04:00.000 --> 00:04:04.000]  葛木芝就問為何華人教會會變成這樣
[00:04:04.000 --> 00:04:08.000]  他就嘗試用兩個不同的角度去分析
[00:04:08.000 --> 00:04:11.000]  一個就是文化,一個就是歷史的原因
[00:04:11.000 --> 00:04:15.000]  他就說因為在華人文化裏面有一個很強的傾向
[00:04:15.000 --> 00:04:17.000]  就是實用主義
[00:04:17.000 --> 00:04:21.000]  譬如我們經常會問,這東西有什麼用?
[00:04:21.000 --> 00:04:24.000]  讀神學有什麼用?對教會增長有沒有幫助?
[00:04:24.000 --> 00:04:27.000]  學這些能否賺到錢之類
[00:04:27.000 --> 00:04:29.000]  這些問題本身是沒有錯的
[00:04:29.000 --> 00:04:34.000]  但當所有知識都要思考有沒有用才值得去學的話
[00:04:34.000 --> 00:04:38.000]  其實我們就失去了一種單純追求真理
[00:04:38.000 --> 00:04:42.000]  單純去認識世界的能力
[00:04:42.000 --> 00:04:47.000]  另一方面,在華人文化裏面也很著重權威
[00:04:47.000 --> 00:04:50.000]  很著重秩序,服從這些東西
[00:04:50.000 --> 00:04:54.000]  所以當這種文化進入到教會裏面的時候
