
[00:00:00.000 --> 00:00:02.000]  比利時書的第三章
[00:00:02.000 --> 00:00:04.000]  我們看這十節的聖經
[00:00:04.000 --> 00:00:06.000]  剛才我們一開始讀的時候
[00:00:06.000 --> 00:00:08.640]  可能大家心裡已經有一種共鳴
[00:00:08.640 --> 00:00:10.140]  但也有些困難
[00:00:10.140 --> 00:00:12.140]  或者不明白的地方
[00:00:12.140 --> 00:00:13.520]  13節一開始就說
[00:00:13.520 --> 00:00:15.520]  如果我熱心行善
[00:00:15.520 --> 00:00:18.720]  有誰能害你們呢
[00:00:18.720 --> 00:00:22.720]  如果我熱心行善
[00:00:22.720 --> 00:00:25.520]  沒人可以害到我
[00:00:25.520 --> 00:00:29.840]  有經驗的人心裡有一個很大的反應說
[00:00:29.840 --> 00:00:31.840]  不對的
[00:00:31.840 --> 00:00:34.840]  我不知道做了多少好事
[00:00:34.840 --> 00:00:36.840]  但竟然被人誤會
[00:00:36.840 --> 00:00:41.840]  其實這節的聖經
[00:00:41.840 --> 00:00:46.840]  不是好像表面我們所了解的解釋
[00:00:46.840 --> 00:00:48.840]  如果你看原來的意思就是說
[00:00:48.840 --> 00:00:51.840]  如果你們熱心行善
[00:00:51.840 --> 00:00:55.840]  誰能夠真正的害到你們呢
[00:00:55.840 --> 00:01:01.840]  這就展開了彼得前書一直跟著下去
[00:01:01.840 --> 00:01:04.840]  差不多有兩章聖經所討論的問題
[00:01:04.840 --> 00:01:08.840]  就是我們用一個什麼態度來看我們所受的苦
[00:01:08.840 --> 00:01:13.840]  彼得前書當然他的讀者當時也受了很多的苦
[00:01:13.840 --> 00:01:16.840]  作為基督徒在羅馬帝國裡面
[00:01:16.840 --> 00:01:18.840]  受到羅馬帝國的迫害
[00:01:18.840 --> 00:01:20.840]  大家知道有三百年的時間
[00:01:20.840 --> 00:01:23.840]  受到甚至死亡的恐嚇
[00:01:23.840 --> 00:01:25.840]  信主的
[00:01:25.840 --> 00:01:27.840]  為了信仰的緣故
[00:01:27.840 --> 00:01:30.840]  要受到很大的慘痛被殺
[00:01:30.840 --> 00:01:32.840]  甚至很殘酷的被殺
[00:01:32.840 --> 00:01:39.840]  在獅子的兜修場裡面被野獸咬死
[00:01:39.840 --> 00:01:41.840]  甚至因為信仰的緣故
[00:01:41.840 --> 00:01:44.840]  這些全部都是好的事
[00:01:44.840 --> 00:01:46.840]  為了信仰
[00:01:46.840 --> 00:01:50.840]  行善竟然會受苦
[00:01:50.840 --> 00:01:52.840]  會不會呢? 會
[00:01:52.840 --> 00:01:55.840]  我們當然不會像他們當天那樣
[00:01:55.840 --> 00:01:57.840]  受到這麼大的痛苦
[00:01:57.840 --> 00:01:59.840]  甚至死亡的壓力
[00:01:59.840 --> 00:02:02.840]  但是在我們多倫多的地方
[00:02:02.840 --> 00:02:04.840]  在我們加拿大這個地方
[00:02:04.840 --> 00:02:08.840]  也不見得是我們想像中的樂土
[00:02:08.840 --> 00:02:10.840]  有時候我們堅持我們的信仰
[00:02:10.840 --> 00:02:12.840]  仍然被人罵
[00:02:12.840 --> 00:02:14.840]  我們心裡面有時候很大的困擾
[00:02:14.840 --> 00:02:17.840]  為什麼我要按照真理來行事
[00:02:17.840 --> 00:02:19.840]  都被人指責
[00:02:19.840 --> 00:02:21.840]  甚至那些害我的人
[00:02:21.840 --> 00:02:22.840]  我為了他好
[00:02:22.840 --> 00:02:24.840]  付出我的愛心
[00:02:24.840 --> 00:02:26.840]  但還被他誤解
[00:02:26.840 --> 00:02:28.840]  甚至這些人
[00:02:28.840 --> 00:02:29.840]  在我們自己的家裡
[00:02:29.840 --> 00:02:31.840]  應該是最親切的人
[00:02:31.840 --> 00:02:34.840]  竟然不能夠了解我對他的愛
[00:02:34.840 --> 00:02:36.840]  還受到他的懷疑
[00:02:36.840 --> 00:02:37.840]  甚至攻擊
[00:02:37.840 --> 00:02:39.840]  我們人生都有這些日子
[00:02:39.840 --> 00:02:43.840]  行善竟然會受苦
[00:02:43.840 --> 00:02:47.840]  今天我們就看看聖經怎麼回答這些問題
[00:02:47.840 --> 00:02:50.840]  看看聖經怎麼回答這些問題
[00:02:50.840 --> 00:02:52.840]  你看這十節的聖經
[00:02:52.840 --> 00:02:53.840]  很清楚分了兩段
[00:02:53.840 --> 00:02:55.840]  五節五節
[00:02:55.840 --> 00:02:58.840]  前面五節就要回答剛才我們所問出的問題
[00:02:58.840 --> 00:03:00.840]  究竟應該怎樣去用一個什麼態度
[00:03:00.840 --> 00:03:03.840]  去面對這種事情
[00:03:03.840 --> 00:03:05.840]  發生在你和我身上
[00:03:05.840 --> 00:03:08.840]  第十八節跟著那五節
[00:03:08.840 --> 00:03:10.840]  就說因為基督也曾一次
[00:03:10.840 --> 00:03:12.840]  因為耶穌基督
[00:03:12.840 --> 00:03:13.840]  我們所相信的主
[00:03:13.840 --> 00:03:15.840]  祂也是這樣
[00:03:15.840 --> 00:03:16.840]  祂也曾經行善
[00:03:16.840 --> 00:03:19.840]  但也受到很大的折磨
[00:03:19.840 --> 00:03:20.840]  很大的攻擊
[00:03:20.840 --> 00:03:24.840]  甚至死亡的結果
[00:03:24.840 --> 00:03:27.840]  我們的主也有這樣的經驗的時候
[00:03:27.840 --> 00:03:31.840]  我們要看著祂成為我們受苦的榜樣
[00:03:31.840 --> 00:03:33.840]  所以我們看看前面五節後面五節
[00:03:33.840 --> 00:03:37.840]  都是要圍繞著這個課題來發展
[00:03:37.840 --> 00:03:40.840]  希望今天你和我可以在聖經的真理裡
[00:03:40.840 --> 00:03:44.840]  得到我們一些突破
[00:03:44.840 --> 00:03:46.840]  甚至我們心裡能夠放得下
[00:03:46.840 --> 00:03:49.840]  心裡很多時候我們真的放不下
[00:03:49.840 --> 00:03:51.840]  因為我們心裡經常要問
[00:03:51.840 --> 00:03:53.840]  為什麼我沒有做錯事
[00:03:53.840 --> 00:03:57.840]  仍然會受到這樣的傷害
[00:03:57.840 --> 00:04:03.840]  如果要回答
[00:04:03.840 --> 00:04:05.840]  我們就看第十七節
[00:04:05.840 --> 00:04:07.840]  好像一前一後
[00:04:07.840 --> 00:04:09.840]  第十三節問一個問題
[00:04:09.840 --> 00:04:11.840]  第十七節作為一個總結
[00:04:11.840 --> 00:04:15.840]  第十七節是一個很終極的角度去考慮
[00:04:15.840 --> 00:04:16.840]  它的說法就是說
[00:04:16.840 --> 00:04:19.840]  如果神的旨意是要你們受苦
[00:04:19.840 --> 00:04:21.840]  那麼為了行善來受苦
[00:04:21.840 --> 00:04:25.840]  總比較行惡受苦好
[00:04:25.840 --> 00:04:26.840]  這裡點出了兩樣東西
[00:04:26.840 --> 00:04:27.840]  第一
[00:04:27.840 --> 00:04:31.840]  受苦是人生必需要也必經的階段
[00:04:31.840 --> 00:04:35.840]  沒有一個人一生可以不用受苦的
[00:04:35.840 --> 00:04:37.840]  當受苦難臨到你的時候
[00:04:37.840 --> 00:04:38.840]  我們不是悲觀
[00:04:38.840 --> 00:04:40.840]  而是一個很現實的問題
[00:04:40.840 --> 00:04:41.840]  要問自己
[00:04:41.840 --> 00:04:43.840]  也可以回答得到的就是
[00:04:43.840 --> 00:04:45.840]  苦難有什麼奇怪的
[00:04:45.840 --> 00:04:48.840]  這是一個墮落的世界
[00:04:48.840 --> 00:04:49.840]  今天我不會受苦
[00:04:49.840 --> 00:04:51.840]  明天我們也會受苦
[00:04:51.840 --> 00:04:53.840]  很多人當他受苦的時候
[00:04:53.840 --> 00:04:55.840]  他心裡不喜歡
[00:04:55.840 --> 00:04:57.840]  很不快樂
[00:04:57.840 --> 00:04:59.840]  他問為什麼偏偏要臨到我
[00:04:59.840 --> 00:05:01.840]  為何偏偏選中我
[00:05:01.840 --> 00:05:07.840]  這個小尼飛也會唱這首主題曲
[00:05:07.840 --> 00:05:10.840]  其實這句話的答案很簡單
[00:05:10.840 --> 00:05:12.840]  就是為何偏偏不選中你
[00:05:12.840 --> 00:05:15.840]  為什麼天天看到報紙
[00:05:15.840 --> 00:05:17.840]  這麼多人撞車死了
[00:05:17.840 --> 00:05:19.840]  為什麼那些車子總是在旁邊過
[00:05:19.840 --> 00:05:23.840]  為什麼你今天還可以生存下去
[00:05:23.840 --> 00:05:24.840]  為什麼他不撞你
[00:05:24.840 --> 00:05:26.840]  他和你有什麼分別
[00:05:26.840 --> 00:05:29.840]  為什麼他不撞你會撞那個人
[00:05:29.840 --> 00:05:31.840]  這個人生有時候
[00:05:31.840 --> 00:05:34.840]  你今天能夠可以平安的度日
[00:05:34.840 --> 00:05:37.840]  這個其實是一個感恩
[00:05:37.840 --> 00:05:39.840]  苦難是我們人生一個
[00:05:39.840 --> 00:05:43.840]  是不可分割的部分
[00:05:43.840 --> 00:05:45.840]  而且第二
[00:05:45.840 --> 00:05:48.840]  原來他說究竟這樣的時候
[00:05:48.840 --> 00:05:49.840]  如果是的時候
[00:05:49.840 --> 00:05:52.840]  你問你自己究竟你為了行惡而受苦好
[00:05:52.840 --> 00:05:54.840]  還是為了行善而受苦
[00:05:54.840 --> 00:05:57.840]  如果苦根本免不了的時候
[00:05:57.840 --> 00:06:00.840]  苦有不同的原因
[00:06:00.840 --> 00:06:02.840]  我最近寫完一本書
[00:06:02.840 --> 00:06:04.840]  叫做上帝與人間的苦難
[00:06:04.840 --> 00:06:07.840]  當中我就比較仔細的提出來
[00:06:07.840 --> 00:06:09.840]  我們人生受苦
[00:06:09.840 --> 00:06:11.840]  有很多不同的原因
[00:06:11.840 --> 00:06:13.840]  剛才我們說我們很不值得
[00:06:13.840 --> 00:06:14.840]  我沒有做錯事
[00:06:14.840 --> 00:06:16.840]  為什麼我要受苦
[00:06:16.840 --> 00:06:18.840]  這個其實是問一個
[00:06:18.840 --> 00:06:20.840]  行惡而受苦的一個標準
[00:06:20.840 --> 00:06:21.840]  我如果做錯事
[00:06:21.840 --> 00:06:23.840]  我去打劫被人抓了
[00:06:23.840 --> 00:06:24.840]  被人抓去坐牢
[00:06:24.840 --> 00:06:26.840]  那我就該死了
[00:06:26.840 --> 00:06:28.840]  那我就沒得說了
[00:06:28.840 --> 00:06:30.840]  我是行惡所以受苦
[00:06:30.840 --> 00:06:31.840]  但是我想告訴大家
[00:06:31.840 --> 00:06:33.840]  在我們研究裏面看見
[00:06:33.840 --> 00:06:35.840]  其實人生的苦
[00:06:35.840 --> 00:06:38.840]  起碼我數出來有六種不同的原因
[00:06:38.840 --> 00:06:40.840]  今天我們不會詳細的說
[00:06:40.840 --> 00:06:43.840]  但是是行惡你做錯事
[00:06:43.840 --> 00:06:45.840]  做了很大的惡事而受到痛苦
[00:06:45.840 --> 00:06:48.840]  這個只是其中六分之一的原因
