
[00:00:00.000 --> 00:00:10.000]  我有機會回到香港來,親眼看見香港從來沒有發生過的事
[00:00:10.000 --> 00:00:15.000]  我有機會回到香港來,經歷到香港從未經歷的事
[00:00:15.000 --> 00:00:19.000]  也是我自己從來沒有見過的事
[00:00:19.000 --> 00:00:22.000]  也是我自己從來沒有見過的
[00:00:22.000 --> 00:00:29.000]  看見香港的居民對中國學生運動的熱情支持
[00:00:29.000 --> 00:00:35.000]  看見香港的居民對中國學生運動的熱情支持
[00:00:35.000 --> 00:00:40.000]  是我的內心受到很深的、很強的感動
[00:00:40.000 --> 00:00:45.000]  是我的內心受到很深、很強的感動
[00:00:45.000 --> 00:00:53.000]  我在美國電視上看見第一次百萬人遊行
[00:00:53.000 --> 00:00:57.000]  我在美國電視上看見第一次百萬人遊行
[00:00:57.000 --> 00:01:03.000]  第二次一百五十萬人遊行,我親眼看見在香港
[00:01:03.000 --> 00:01:09.000]  第二次一百五十萬人遊行,我在香港親眼看見
[00:01:09.000 --> 00:01:14.000]  今天很可能是二百萬人遊行
[00:01:14.000 --> 00:01:18.000]  今天很可能是二百萬人遊行
[00:01:18.000 --> 00:01:22.000]  現在還在進行
[00:01:22.000 --> 00:01:34.000]  我相信香港對中國的民運一定繼續有很大的、很實際的貢獻
[00:01:34.000 --> 00:01:43.000]  我相信香港對中國的民運一定會繼續有很大、很深遠的影響
[00:01:43.000 --> 00:01:49.000]  原來我們考慮今天晚上的聚會是不是應該取消
[00:01:49.000 --> 00:01:54.000]  原來我們考慮今天晚上的聚會是不是應該取消
[00:01:54.000 --> 00:02:02.000]  因為大家在這樣的情景之下
[00:02:02.000 --> 00:02:05.000]  很疲倦
[00:02:05.000 --> 00:02:08.000]  交通也不方便
[00:02:08.000 --> 00:02:14.000]  有的從很遠的地方來
[00:02:14.000 --> 00:02:18.000]  但是我們還是照常的舉行了
[00:02:18.000 --> 00:02:21.000]  但是我們還是照常的舉行了
[00:02:21.000 --> 00:02:24.000]  我看見大家仍然來復會
[00:02:24.000 --> 00:02:26.000]  我看見大家仍然來復會
[00:02:26.000 --> 00:02:33.000]  大家最終尋求神的心意的態度,使我很感動
[00:02:33.000 --> 00:02:38.000]  大家這樣尋求神心意的態度,使我很感動
[00:02:38.000 --> 00:02:40.000]  第一個晚上
[00:02:40.000 --> 00:02:46.000]  我們從耶穌基督的啟示來看基督徒與時代
[00:02:46.000 --> 00:02:51.000]  我們從耶穌基督的啟示來看基督徒與時代
[00:02:51.000 --> 00:02:53.000]  昨天晚上
[00:02:53.000 --> 00:02:54.000]  昨晚
[00:02:54.000 --> 00:02:58.000]  我們從聖經歷史來看基督徒與時代
[00:02:58.000 --> 00:03:02.000]  我們從聖經歷史來看基督徒與時代
[00:03:02.000 --> 00:03:05.000]  我提到七個人物
[00:03:05.000 --> 00:03:06.000]  我提到七個人物
[00:03:06.000 --> 00:03:13.000]  從他們的歷史來看今天我們與時代的關係
[00:03:13.000 --> 00:03:17.000]  從他們的歷史來看今天我們與時代的關係
[00:03:17.000 --> 00:03:19.000]  昨天我沒有講完
[00:03:19.000 --> 00:03:21.000]  昨晚我還沒有講完
[00:03:21.000 --> 00:03:24.000]  我稍微補充一下
[00:03:24.000 --> 00:03:28.000]  我提到的第一個人物
[00:03:28.000 --> 00:03:29.000]  我提到的第一個人物
[00:03:29.000 --> 00:03:31.000]  亞伯拉罕
[00:03:31.000 --> 00:03:32.000]  亞伯拉罕
[00:03:32.000 --> 00:03:38.000]  他代表神對基督徒的一個整個主義
[00:03:38.000 --> 00:03:48.000]  他代表神對基督徒的一個整個主義
[00:03:48.000 --> 00:03:56.000]  就是要基督徒做賜福的器皿
[00:03:56.000 --> 00:04:02.000]  神對亞伯拉罕說我要賜福給你
[00:04:02.000 --> 00:04:07.000]  你也要叫別人得福
[00:04:07.000 --> 00:04:11.000]  這是基督徒的人生的總目標
[00:04:11.000 --> 00:04:12.000]  總途徑
[00:04:12.000 --> 00:04:15.000]  這是基督徒的人生的總目標
[00:04:15.000 --> 00:04:16.000]  總途徑
[00:04:16.000 --> 00:04:23.000]  昨天晚上我提到賜福的雙重意義
[00:04:23.000 --> 00:04:27.000]  昨晚我提到賜福的福字的雙重意義
[00:04:27.000 --> 00:04:28.000]  第一方面
[00:04:28.000 --> 00:04:31.000]  我們傳福音讓人得救
[00:04:31.000 --> 00:04:32.000]  這是最重要的
[00:04:32.000 --> 00:04:34.000]  我們傳福音讓人得救
[00:04:34.000 --> 00:04:35.000]  這是最重要的
[00:04:35.000 --> 00:04:40.000]  但是另外還有一般性的恩典
[00:04:40.000 --> 00:04:43.000]  但是另外還有一般性的恩典
[00:04:43.000 --> 00:04:47.000]  教會在社會裏面
[00:04:47.000 --> 00:04:50.000]  永神益人
[00:04:50.000 --> 00:04:54.000]  造福人群
[00:04:54.000 --> 00:04:58.000]  是那些沒有得救的人
[00:04:58.000 --> 00:05:02.000]  也能夠分享到神的恩典
[00:05:02.000 --> 00:05:05.000]  也能夠分享到神的恩典
[00:05:05.000 --> 00:05:11.000]  後來我提到尼西米和以色列
[00:05:11.000 --> 00:05:14.000]  後來我提到尼西米和以色列
[00:05:14.000 --> 00:05:17.000]  他們兩個人算作一組
[00:05:17.000 --> 00:05:19.000]  他們兩個人算作一組
[00:05:19.000 --> 00:05:24.000]  他們都是原來在以色列國外居住
[00:05:24.000 --> 00:05:27.000]  他們原來都是在以色列國外居住
[00:05:27.000 --> 00:05:31.000]  是因為患難離開他們的本國到外地去
[00:05:31.000 --> 00:05:35.000]  是因為患難離開他們的本國到外地去
[00:05:35.000 --> 00:05:37.000]  到了重要的關頭
[00:05:37.000 --> 00:05:39.000]  到了重要的關頭
[00:05:39.000 --> 00:05:40.000]  到了需要的關頭
[00:05:40.000 --> 00:05:42.000]  到了需要的關頭
