
[00:00:00.000 --> 00:00:04.560]  今天我們繼續說《約翰福音》第六章三十五到四十八節
[00:00:04.560 --> 00:00:07.800]  《約翰福音》第六章是說到耶穌說出
[00:00:07.800 --> 00:00:09.920]  祂會賜下一種糧食
[00:00:09.920 --> 00:00:11.960]  從天而降下的糧食
[00:00:11.960 --> 00:00:14.760]  讓人吃了之後能夠永遠的不飢餓
[00:00:14.760 --> 00:00:17.360]  然後在這段經文裡面耶穌直接說
[00:00:17.360 --> 00:00:18.960]  那種糧食是什麼糧食呢?
[00:00:18.960 --> 00:00:21.680]  祂說「我就是生命的糧」
[00:00:21.680 --> 00:00:24.800]  六章第三十五至三十七節耶穌這樣說
[00:00:24.800 --> 00:00:26.960]  「耶穌說:我就是生命的糧
[00:00:26.960 --> 00:00:31.040]  到我這裡來的必定不餓,信我的永遠不渴
[00:00:31.040 --> 00:00:35.360]  只是我對你們說過,你們已經看見我,還是不信
[00:00:35.360 --> 00:00:38.480]  凡負所賜給我的人,必到我這裡來
[00:00:38.480 --> 00:00:41.520]  到我這裡來的人,我還不丟棄他」
[00:00:41.520 --> 00:00:47.520]  由於反對耶穌的人誤解了耶穌對上帝的糧所作出的宣告
[00:00:47.520 --> 00:00:51.360]  耶穌現在直接的去說「我就是生命的糧」
[00:00:51.360 --> 00:00:54.240]  在這一段的結尾四十八節裡面
[00:00:54.240 --> 00:00:56.960]  耶穌重複這個宣告
[00:00:56.960 --> 00:01:02.000]  在當中這一段經文裡面大多數就是詮釋這個主題
[00:01:02.000 --> 00:01:03.840]  「我就是生命的糧」
[00:01:03.840 --> 00:01:07.280]  大多數都是用餅可以說作為一個隱喻
[00:01:07.280 --> 00:01:08.960]  到目前為止
[00:01:08.960 --> 00:01:12.960]  這一段經文不單止去指出明確的去說
[00:01:12.960 --> 00:01:14.960]  耶穌就是生命的糧
[00:01:14.960 --> 00:01:21.440]  也都消除了可以說反對耶穌的人的另一個對耶穌的誤解
[00:01:21.440 --> 00:01:27.120]  當他們說「常將這糧賜給我們」
[00:01:27.120 --> 00:01:31.280]  意思就是說他們以為是需要一次又一次的賜下糧食
[00:01:31.280 --> 00:01:33.600]  他們才能夠得到滿飽足
[00:01:33.600 --> 00:01:35.920]  但是耶穌在堅定的去說
[00:01:35.920 --> 00:01:38.720]  「到我這裡來的人,必定不餓」
