
[00:00:00.000 --> 00:00:07.000]  我們分享傳道書的訊息
[00:00:07.000 --> 00:00:12.000]  虛空理想點
[00:00:12.000 --> 00:00:14.000]  什麼意思呢?
[00:00:14.000 --> 00:00:18.000]  其實我們看回傳道書
[00:00:18.000 --> 00:00:20.000]  過去一直都跟大家分享
[00:00:20.000 --> 00:00:23.000]  今年結構其實很重要
[00:00:23.000 --> 00:00:26.000]  中心第五章的敬畏神
[00:00:26.000 --> 00:00:32.000]  中間是講述很多虛空的日光之下的現況
[00:00:32.000 --> 00:00:34.000]  甚至有不公平的現況
[00:00:34.000 --> 00:00:35.000]  掌握不到 控制不到
[00:00:35.000 --> 00:00:37.000]  如果用一句說話
[00:00:37.000 --> 00:00:39.000]  這也是結構
[00:00:39.000 --> 00:00:41.000]  不再具體了
[00:00:41.000 --> 00:00:45.000]  我用我過去的時間跟大家分享
[00:00:45.000 --> 00:00:47.000]  在一至十章裡說
[00:00:47.000 --> 00:00:50.000]  日光之下要尋求神的智慧
[00:00:50.000 --> 00:00:55.000]  但發現我們的人生有時定時 有時定局
[00:00:55.000 --> 00:00:57.000]  但又無常無定
[00:00:57.000 --> 00:00:59.000]  好像掌握不到
[00:00:59.000 --> 00:01:03.000]  而在這個日光下的世界
[00:01:03.000 --> 00:01:04.000]  雖然虛空不低
[00:01:04.000 --> 00:01:08.000]  但我們仍要做一些要或不要的抉擇
[00:01:08.000 --> 00:01:10.000]  包括第七八章
[00:01:10.000 --> 00:01:13.000]  即使我們持守正確和純正
[00:01:13.000 --> 00:01:17.000]  不要在第七章做賄賂和犯罪
[00:01:17.000 --> 00:01:19.000]  偏離了神
[00:01:19.000 --> 00:01:21.000]  心裡有神
[00:01:21.000 --> 00:01:23.000]  所以原來最重要是上個月
[00:01:23.000 --> 00:01:26.000]  跟大家分享到第九至十章
[00:01:26.000 --> 00:01:30.000]  他說活著的狗比死的獅子還強
[00:01:30.000 --> 00:01:32.000]  意思是他很強調
[00:01:32.000 --> 00:01:36.000]  活著是人還可以生存的時間
[00:01:36.000 --> 00:01:39.000]  是把握機會好好生活
[00:01:39.000 --> 00:01:41.000]  享受神給我們的那一份
[00:01:41.000 --> 00:01:43.000]  基督徒可以去侍奉
[00:01:43.000 --> 00:01:45.000]  但不只是生存
[00:01:45.000 --> 00:01:47.000]  我們要心在
[00:01:47.000 --> 00:01:49.000]  我們心裡有神
[00:01:49.000 --> 00:01:51.000]  讓我們自慰去活
[00:01:51.000 --> 00:01:54.000]  所以敬畏神就是神在
[00:01:54.000 --> 00:01:57.000]  真正的圓滿穩妥和實在
[00:01:57.000 --> 00:02:00.000]  享受神給你的那一份
[00:02:00.000 --> 00:02:02.000]  所以今天最後為何問一句虛空
[00:02:02.000 --> 00:02:03.000]  你想怎樣
[00:02:03.000 --> 00:02:08.000]  其實你也說過類似的說話
[00:02:08.000 --> 00:02:09.000]  你想怎樣
[00:02:09.000 --> 00:02:13.000]  通常是在什麼情況下說
[00:02:13.000 --> 00:02:17.000]  先看看你要有人設
[00:02:17.000 --> 00:02:21.000]  恩愛的夫妻熱戀的男女
[00:02:21.000 --> 00:02:25.000]  說是怎樣的
[00:02:25.000 --> 00:02:27.000]  老婆你想怎樣
[00:02:27.000 --> 00:02:31.000]  去法國還是日本
[00:02:31.000 --> 00:02:34.000]  吵架的時候怎樣
[00:02:34.000 --> 00:02:35.000]  老公你想怎樣
[00:02:35.000 --> 00:02:37.000]  家務又不做
[00:02:37.000 --> 00:02:38.000]  又怎樣
[00:02:38.000 --> 00:02:39.000]  投訴
[00:02:39.000 --> 00:02:42.000]  可能父母子女也會
[00:02:42.000 --> 00:02:44.000]  兒子
