
[00:00:00.000 --> 00:00:05.500]  今天我們繼續地領受《詩圖行傳》裏面寶貴的信息
[00:00:05.500 --> 00:00:09.900]  這是《詩圖行傳》信息的第十講
[00:00:09.900 --> 00:00:13.000]  今天我們要領受的題目是
[00:00:13.000 --> 00:00:18.600]  "詩圖時代的教會增長髮展的因素"
[00:00:18.600 --> 00:00:21.300]  當時的教會發展得很快
[00:00:21.300 --> 00:00:23.700]  爲什麼增長得這樣快呢?
[00:00:23.700 --> 00:00:25.600]  有他們的原因
[00:00:25.600 --> 00:00:29.600]  我們要把這些原因一一地查考
[00:00:29.600 --> 00:00:33.400]  從其中領受重要的教訓
[00:00:33.400 --> 00:00:39.000]  今天基督的教會也應該迅速地增長髮展
[00:00:39.000 --> 00:00:43.600]  如果我們能夠得到這些殊靈的要素
[00:00:43.600 --> 00:00:47.600]  我們也能夠同樣迅速地發展
[00:00:47.600 --> 00:00:52.400]  願主藉着這些經文和《詩圖時代》的榜樣
[00:00:52.400 --> 00:00:55.900]  激勵我們、教導我們、光照我們
[00:00:55.900 --> 00:00:58.700]  使我們能夠在這個時代裏面
[00:00:58.700 --> 00:01:00.700]  爲主做美好的見證
[00:01:00.700 --> 00:01:03.400]  吸引更多的人歸向主
[00:01:03.400 --> 00:01:07.900]  讓基督的教會能夠迅速地增長髮展
[00:01:07.900 --> 00:01:10.800]  榮耀祂的聖名
[00:01:10.800 --> 00:01:13.100]  在《詩圖行傳》裏面
[00:01:13.100 --> 00:01:15.900]  有些經文清楚地說
[00:01:15.900 --> 00:01:18.100]  當時的基督徒增加了
[00:01:18.100 --> 00:01:20.400]  或者說教會發展了
[00:01:20.400 --> 00:01:26.300]  我們就把這些很明顯的經文拿來思想查考
[00:01:26.300 --> 00:01:29.800]  這樣的經文一共有14處
[00:01:29.800 --> 00:01:31.500]  我們很簡單地
[00:01:31.500 --> 00:01:36.300]  把這14處的經文來思想領受
[00:01:36.300 --> 00:01:42.500]  第一處的經文是在第二章第41節
[00:01:42.500 --> 00:01:45.200]  二章41節這樣說
[00:01:45.200 --> 00:01:49.300]  於是領受他畫的人就受了洗
[00:01:49.300 --> 00:01:53.300]  那一天門徒也添了三千人
[00:01:53.300 --> 00:01:58.700]  這是彼得被聖靈充滿站起來做見證的結果
[00:01:58.700 --> 00:02:01.800]  一次有三千人受感動
[00:02:01.800 --> 00:02:05.000]  心如刀刺 覺智歸主
[00:02:05.000 --> 00:02:07.700]  這是聖靈能力的彰顯
[00:02:07.700 --> 00:02:13.100]  今天我們還是絕對離不開聖靈的作爲和能力
[00:02:13.100 --> 00:02:17.000]  我們必須謙逼地熱切地透過禱告
[00:02:17.000 --> 00:02:19.400]  去追求聖靈的充滿
[00:02:19.400 --> 00:02:23.700]  在我們的裏面彰顯聖靈的大能的作爲
[00:02:23.700 --> 00:02:26.800]  讓我們今天每一個傳福音的人
[00:02:26.800 --> 00:02:28.700]  都有同樣的追求
[00:02:28.700 --> 00:02:33.300]  我們所有屬主的人都要追求見證的能力
[00:02:33.300 --> 00:02:37.500]  就是聖靈透過我們傳福音的能力
[00:02:37.500 --> 00:02:43.000]  第二處的經文還是在同一段的經文裏面
[00:02:43.000 --> 00:02:46.800]  就是第二章42節
[00:02:46.800 --> 00:02:49.200]  在這裏這樣說
[00:02:49.200 --> 00:02:52.100]  在美神得衆民的喜愛
[00:02:52.100 --> 00:02:56.700]  主將得救的人天天加給他們
[00:02:56.700 --> 00:02:59.900]  主將得救的人天天加給他們
[00:02:59.900 --> 00:03:04.400]  這當然是代表教會的發展和增長
[00:03:04.400 --> 00:03:08.400]  那麼這一次有什麼特別的因素在其中呢?
[00:03:08.400 --> 00:03:12.000]  我們可以很明顯地看見
[00:03:12.000 --> 00:03:15.100]  很重要的兩個因素
[00:03:15.100 --> 00:03:18.500]  第一個因素就是46節所說的
[00:03:18.500 --> 00:03:21.700]  他們天天同心合一
[00:03:21.700 --> 00:03:26.300]  同心合一這四個字是非常寶貴和重要
[00:03:26.300 --> 00:03:30.200]  這四個字在《詩圖行傳》裏面出現了六次
[00:03:30.200 --> 00:03:35.700]  就表示這是當時教會的特殊的表現
[00:03:35.700 --> 00:03:37.800]  這是他們的特點
[00:03:37.800 --> 00:03:40.400]  這真是一個美好的見證
[00:03:40.400 --> 00:03:43.800]  如果教會的弟兄姊妹同心合一
[00:03:43.800 --> 00:03:46.400]  教會一定增長髮展
[00:03:46.400 --> 00:03:50.300]  反過來說如果教會失去了同心合一
[00:03:50.300 --> 00:03:52.300]  變成了互相紛爭
[00:03:52.300 --> 00:03:54.900]  就立刻失去見證的能力
[00:03:54.900 --> 00:03:57.200]  教會不但不能夠增長
[00:03:57.200 --> 00:04:01.000]  反而要收縮枯萎
[00:04:01.000 --> 00:04:04.200]  在這裏告訴我們的第二個因素
[00:04:04.200 --> 00:04:08.300]  就是說基督徒得到衆民的喜愛
[00:04:08.300 --> 00:04:09.200]  換句話說
[00:04:09.200 --> 00:04:14.000]  基督徒和非基督徒之間有一個美好的關係
[00:04:14.000 --> 00:04:17.800]  基督徒有一個很好的品格的表現
[00:04:17.800 --> 00:04:21.700]  因此吸引了感動了非基督徒
[00:04:21.700 --> 00:04:26.400]  也來聽他們所相信的福音而接受
