
[00:00:00.000 --> 00:00:01.840]  其實今日我們所讀的一段經文
[00:00:01.840 --> 00:00:03.040]  都可以見到
[00:00:03.040 --> 00:00:05.960]  當時有一班信徒都在一個很困難的裏面
[00:00:05.960 --> 00:00:09.120]  就是在一個生活的場景當中
[00:00:09.120 --> 00:00:13.360]  但他們怎樣過他們的人生和生活
[00:00:13.360 --> 00:00:17.480]  都是值得我們一個遮鏡和鼓勵
[00:00:17.480 --> 00:00:20.600]  在今日我們所讀的這段經文是
[00:00:20.600 --> 00:00:23.280]  在哥倫多後書的第八章
[00:00:23.280 --> 00:00:25.280]  第一至二十四節
[00:00:25.280 --> 00:00:28.200]  在哥倫多前書的第一至第七章
[00:00:28.200 --> 00:00:31.280]  基本上保羅是用了很積極的態度
[00:00:31.280 --> 00:00:32.480]  去表現出
[00:00:32.480 --> 00:00:35.800]  他怎樣為主而生活的一個人
[00:00:35.800 --> 00:00:37.800]  而基於一個這樣的態度
[00:00:37.800 --> 00:00:40.400]  他怎樣在日常的生活當中
[00:00:40.400 --> 00:00:41.760]  去為人
[00:00:41.760 --> 00:00:44.080]  可以說怎樣愛人的生活
[00:00:44.080 --> 00:00:46.320]  去付上他自己所有
[00:00:46.320 --> 00:00:48.080]  在第八至九章
[00:00:48.080 --> 00:00:50.840]  當保羅去處理金錢的問題
[00:00:50.840 --> 00:00:52.920]  或者金錢奉獻的問題的時候
[00:00:52.920 --> 00:00:55.960]  他同樣用了這個態度去鼓勵
[00:00:55.960 --> 00:00:57.960]  當時哥倫多教會的信徒
[00:00:57.960 --> 00:01:02.720]  在保羅鼓勵
[00:01:02.720 --> 00:01:06.120]  哥倫多教會信徒的捐獻這件事情上
[00:01:06.120 --> 00:01:07.760]  保羅沒有用一個命令
[00:01:07.760 --> 00:01:10.720]  他不是命令一班哥倫多信徒怎樣做
[00:01:10.720 --> 00:01:12.720]  而是用一個勸的方式
[00:01:12.720 --> 00:01:14.720]  即是勸你們怎樣去做
[00:01:14.720 --> 00:01:17.520]  所以背後保羅是用了一個
