
[00:00:00.000 --> 00:00:03.960]  提摩塔後書當然不是很長
[00:00:03.960 --> 00:00:05.800]  但很多人都認識的書
[00:00:05.800 --> 00:00:07.800]  很多人都知道提摩塔後書
[00:00:07.800 --> 00:00:10.800]  可以說是保羅的遺言
[00:00:10.800 --> 00:00:13.800]  在保羅寫完這本書之後
[00:00:13.800 --> 00:00:15.600]  幾個月他就被斬頭
[00:00:15.600 --> 00:00:18.800]  其實他都知道自己在世的日子不多
[00:00:18.800 --> 00:00:20.800]  當我們看的時候
[00:00:20.800 --> 00:00:22.800]  或者我們當中有很多
[00:00:22.800 --> 00:00:28.000]  帶著不同的心情和期待去看這本書
[00:00:28.000 --> 00:00:32.600]  我特別想用這本書和大家分享
[00:00:32.600 --> 00:00:34.200]  當然有我個人的原因
[00:00:34.200 --> 00:00:36.200]  也有時代的原因
[00:00:36.200 --> 00:00:38.600]  個人的原因可能大家都找到了
[00:00:38.600 --> 00:00:40.200]  我都七十多歲了
[00:00:40.200 --> 00:00:41.800]  差不多了
[00:00:41.800 --> 00:00:43.800]  我都很想知道一個
[00:00:43.800 --> 00:00:45.800]  我最敬佩的基督徒
[00:00:45.800 --> 00:00:47.200]  好像保羅一樣
[00:00:47.200 --> 00:00:49.600]  當他人生去到最後的階段
[00:00:49.600 --> 00:00:53.000]  他剩下什麼最重要的總結要說的
[00:00:53.000 --> 00:00:54.600]  我都想聽
[00:00:54.600 --> 00:00:57.200]  所以我重新再讀提摩塔後書的時候
[00:00:57.200 --> 00:00:59.200]  用這樣的心情
[00:00:59.200 --> 00:01:00.600]  我都有很多共鳴
[00:01:00.600 --> 00:01:02.200]  當中有很多發言
[00:01:02.200 --> 00:01:04.200]  我很想和大家一起分享
[00:01:04.200 --> 00:01:08.800]  在時代上提摩塔後書寫的時候
[00:01:08.800 --> 00:01:11.800]  所面對的世界和現在都很相似
[00:01:11.800 --> 00:01:13.800]  我們在提摩塔後書
[00:01:13.800 --> 00:01:15.200]  或者在歷史上都告訴大家
[00:01:15.200 --> 00:01:17.200]  那個是很荒謬的
[00:01:17.200 --> 00:01:20.200]  一個是很不可理喻的
[00:01:20.200 --> 00:01:23.200]  一個是一個很失控的世界
[00:01:23.200 --> 00:01:25.200]  在提摩塔後書上多次提到
[00:01:25.200 --> 00:01:26.800]  這個世界裏面的東西
[00:01:26.800 --> 00:01:28.800]  人們任意妄為
[00:01:28.800 --> 00:01:30.800]  忘恩負義
[00:01:30.800 --> 00:01:32.800]  性情兇暴
[00:01:32.800 --> 00:01:35.200]  作惡的人越來越惡
[00:01:35.200 --> 00:01:36.200]  你試想像
[00:01:36.200 --> 00:01:37.800]  好像在說今天一樣
[00:01:37.800 --> 00:01:38.400]  就是了
[00:01:38.400 --> 00:01:39.600]  這個提摩塔後書
[00:01:39.600 --> 00:01:42.200]  那個世界其實和今天你和我一樣
[00:01:42.200 --> 00:01:45.200]  尤其是保羅要
[00:01:45.200 --> 00:01:48.800]  說給提摩塔這個比較脆弱的
[00:01:48.800 --> 00:01:54.000]  或者年紀也不是這麼大的一個基督徒
[00:01:54.000 --> 00:01:57.400]  我問一下究竟你有什麼要和他講呢
[00:01:57.400 --> 00:01:58.800]  當然要和我們講
[00:01:58.800 --> 00:02:00.600]  我相信他不是只用提摩塔來講
[00:02:00.600 --> 00:02:01.600]  都是和我們以後
[00:02:01.600 --> 00:02:03.200]  我們這群基督徒講
[00:02:03.200 --> 00:02:04.800]  在這樣的世界裏面
[00:02:04.800 --> 00:02:06.200]  真的很不容易
