
[00:00:00.000 --> 00:00:03.640]  大家會留意到聖經啟示錄第十七章
[00:00:03.640 --> 00:00:06.600]  亦是我們今天開始讀的經文
[00:00:06.600 --> 00:00:08.360]  我想先提一件事情
[00:00:08.360 --> 00:00:10.000]  我記得剛剛早幾天
[00:00:10.000 --> 00:00:12.520]  我留意到一篇見證
[00:00:12.520 --> 00:00:15.440]  這篇見證很簡單跟大家提一提
[00:00:15.440 --> 00:00:18.200]  裏面提到一位弟兄
[00:00:18.200 --> 00:00:19.960]  在他早年的時候
[00:00:19.960 --> 00:00:22.840]  至少他已經入了黑社會
[00:00:22.840 --> 00:00:24.520]  後來他不單止入了黑社會
[00:00:24.520 --> 00:00:25.920]  他學了神打
[00:00:25.920 --> 00:00:28.400]  大家知道甚麼是神打
[00:00:28.400 --> 00:00:31.360]  然後過程裏面他亦都自己不知道
[00:00:31.360 --> 00:00:34.000]  是招惹了很多邪靈
[00:00:34.000 --> 00:00:36.520]  靈界的事情
[00:00:36.520 --> 00:00:40.160]  在他生命裏面對他很大的騷擾
[00:00:40.160 --> 00:00:42.080]  後來他很奇妙他信得住
[00:00:42.080 --> 00:00:44.280]  但是自己因為患了病
[00:00:44.280 --> 00:00:46.520]  有一次在家裏跌倒
[00:00:46.520 --> 00:00:49.040]  跌倒之後入了醫院的時候
[00:00:49.040 --> 00:00:53.000]  就在那段時間有急性的肝衰竭
[00:00:53.000 --> 00:00:54.200]  昏迷
[00:00:54.200 --> 00:00:56.920]  三天完全不醒
[00:00:56.920 --> 00:00:59.680]  在那時候過去他接觸過的邪靈
[00:00:59.680 --> 00:01:03.480]  竟然在那時候來騷擾他
[00:01:03.480 --> 00:01:04.760]  邪靈跟他說
[00:01:04.760 --> 00:01:05.960]  在他昏迷的時候
[00:01:05.960 --> 00:01:09.160]  他聽到這些聲音就告訴他
[00:01:09.160 --> 00:01:10.640]  你還是信耶穌吧
[00:01:10.640 --> 00:01:12.800]  弄成這樣
[00:01:12.800 --> 00:01:15.200]  你這次一定死了
[00:01:15.200 --> 00:01:17.640]  如果你乖乖地回來
[00:01:17.640 --> 00:01:20.320]  保證你不會死
[00:01:20.320 --> 00:01:24.760]  一路用很多說話來欺負欺騙他
[00:01:24.760 --> 00:01:27.840]  又告訴他很多過去他所發生的事情
[00:01:27.840 --> 00:01:28.960]  其實那件事情
[00:01:28.960 --> 00:01:30.640]  如果你懂得找我幫忙
[00:01:30.640 --> 00:01:33.000]  你就不至於這樣
[00:01:33.000 --> 00:01:36.240]  你就會有好日子過
[00:01:36.240 --> 00:01:38.280]  不像現在這樣
[00:01:38.280 --> 00:01:44.040]  一路來引誘他放棄不要再信耶穌
[00:01:44.040 --> 00:01:44.960]  直到有一次
[00:01:44.960 --> 00:01:49.200]  一位弟兄剛剛有一些教徒的朋友來探他
[00:01:49.200 --> 00:01:50.200]  在他昏迷的時候
[00:01:50.200 --> 00:01:53.280]  突然間他感受到一種力量
[00:01:53.280 --> 00:01:57.480]  他直接向主大聲地呼求
[00:01:57.480 --> 00:01:58.960]  他說主耶穌
[00:01:58.960 --> 00:02:01.800]  求你來幫助我
[00:02:01.800 --> 00:02:04.360]  求你來幫我
[00:02:04.360 --> 00:02:05.960]  這樣一句祈禱
[00:02:05.960 --> 00:02:10.320]  他突然間感受到自己的內心寧靜了
[00:02:10.320 --> 00:02:13.240]  整個人就睡著了
[00:02:13.240 --> 00:02:15.320]  睡到第二天早上
[00:02:15.320 --> 00:02:16.680]  早上起床的時候
[00:02:16.680 --> 00:02:18.520]  竟然醒了
[00:02:18.520 --> 00:02:20.400]  而且坐在床上
[00:02:20.400 --> 00:02:23.080]  醫生覺得很驚訝
[00:02:23.080 --> 00:02:24.360]  但就是這樣
[00:02:24.360 --> 00:02:26.800]  很多人都以為他不可以出院
[00:02:26.800 --> 00:02:30.160]  但後來他平安出院
[00:02:30.160 --> 00:02:31.680]  當我一直看見這個見證的時候
[00:02:31.680 --> 00:02:33.800]  我心裡面體會一件事情
[00:02:33.800 --> 00:02:38.000]  在今天仍然有很多不同的邪惡勢力
[00:02:38.000 --> 00:02:42.600]  很想將屬主的人拉走
[00:02:42.600 --> 00:02:46.880]  不甘心人信耶穌
[00:02:46.880 --> 00:02:48.280]  因此很多不同的方式
[00:02:48.280 --> 00:02:51.240]  要來叫人離開信仰
[00:02:51.240 --> 00:02:53.600]  要人離開主耶穌
[00:02:53.600 --> 00:02:54.920]  這位弟兄後來說
[00:02:54.920 --> 00:02:56.440]  他說經過這次之後
[00:02:56.440 --> 00:03:00.400]  他更加看到黑暗的真面目
[00:03:00.400 --> 00:03:01.880]  而他自己決心
[00:03:01.880 --> 00:03:05.400]  與任何黑暗勢力劃清界線
[00:03:05.400 --> 00:03:08.760]  不再接觸他們
[00:03:08.760 --> 00:03:12.240]  當然今天我們未必會經歷這些事情
[00:03:12.240 --> 00:03:13.200]  但很明顯地
[00:03:13.200 --> 00:03:16.680]  你會看到在我們所身處的整個世界裡面
[00:03:16.680 --> 00:03:17.800]  其實越來越察覺
[00:03:17.800 --> 00:03:21.960]  會有更多邪惡的事情在你身邊出現
[00:03:21.960 --> 00:03:25.800]  無論在個人或社會的制度裡面
[00:03:25.800 --> 00:03:29.000]  或在政治的架構裡面
[00:03:29.000 --> 00:03:33.000]  或是一些所謂文化的制度裡面
[00:03:33.000 --> 00:03:33.920]  在這些事情上
[00:03:33.920 --> 00:03:35.040]  當你小心留意的時候
[00:03:35.040 --> 00:03:38.040]  都會察覺到有很多的惡勢力
[00:03:38.040 --> 00:03:40.720]  不斷來引誘人的心
[00:03:40.720 --> 00:03:44.480]  轉移光明進入黑暗
[00:03:44.480 --> 00:03:45.960]  在這些情況裡面
