
[00:00:00.000 --> 00:00:03.920]  今天定的講題就是
[00:00:03.920 --> 00:00:07.920]  在書中有7個議長
[00:00:07.920 --> 00:00:10.720]  為了時間關係我只能挑出來
[00:00:10.720 --> 00:00:13.440]  中間一部分來講
[00:00:13.440 --> 00:00:15.440]  我的重點只有一個
[00:00:15.440 --> 00:00:18.800]  每一個議長裡面有一個呼聲
[00:00:18.800 --> 00:00:21.920]  我們要聽聽這個呼聲
[00:00:21.920 --> 00:00:26.240]  我們需要天上的聲音來提醒我們
[00:00:26.240 --> 00:00:27.920]  來幫助我們
[00:00:27.920 --> 00:00:30.800]  請大家記得是開始了
[00:00:30.800 --> 00:00:32.960]  為什麼我要講開始了呢?
[00:00:32.960 --> 00:00:34.560]  因為開始了是講著
[00:00:34.560 --> 00:00:36.640]  主在來的聲音
[00:00:36.640 --> 00:00:41.360]  我們的差距真的是在主在來的回音裡面
[00:00:41.360 --> 00:00:43.840]  來工作
[00:00:43.840 --> 00:00:45.680]  主必在來
[00:00:45.680 --> 00:00:47.200]  這個是開始了
[00:00:47.200 --> 00:00:50.720]  最後的呼聲也有這樣意思
[00:00:50.720 --> 00:00:52.480]  主說我必在來
[00:00:52.480 --> 00:00:56.640]  跟著一個呼應的聲音
[00:00:56.640 --> 00:01:02.080]  全世界都說我願意來
[00:01:02.080 --> 00:01:03.760]  由主作了一個呼聲
[00:01:03.760 --> 00:01:07.520]  到響應全世界教會的響應主
[00:01:07.520 --> 00:01:08.480]  我願意來
[00:01:08.480 --> 00:01:09.840]  在響應中
[00:01:09.840 --> 00:01:12.320]  通心合併在傳呼音
[00:01:12.320 --> 00:01:17.200]  用廣傳呼音來預備應接主在來
[00:01:17.200 --> 00:01:18.720]  這是最後的方式
[00:01:18.720 --> 00:01:20.960]  現在我們看第二個議長
[00:01:20.960 --> 00:01:22.640]  因為時間關係
[00:01:22.640 --> 00:01:24.000]  我們不看聖經了
[00:01:24.000 --> 00:01:26.160]  我就將聖經的要點看出來
[00:01:26.160 --> 00:01:32.560]  相信大家對傳語經文已經很熟悉了
[00:01:32.560 --> 00:01:36.640]  第一個議長就是榮耀的主的議長
[00:01:36.640 --> 00:01:40.720]  榮耀的主是第一章給我們看的
[00:01:40.720 --> 00:01:41.840]  一個童年
[00:01:41.840 --> 00:01:45.680]  就是他右手裡面有鎖匙
[00:01:45.680 --> 00:01:50.800]  這個鎖匙是什麼呢?
[00:01:50.800 --> 00:01:55.280]  是大開傳呼音的機會之門的鎖匙
[00:01:55.280 --> 00:01:56.800]  跟著一個呼聲
[00:01:56.800 --> 00:01:58.160]  新疆的白字
[00:01:58.160 --> 00:02:00.080]  開那開那
[00:02:00.080 --> 00:02:04.480]  我在你的面前給你一個敞開的門
[00:02:04.480 --> 00:02:06.880]  是無人能關上的
[00:02:06.880 --> 00:02:09.200]  這次你去說
[00:02:09.200 --> 00:02:11.360]  這個呼聲鼓勵我們
[00:02:11.360 --> 00:02:13.520]  主有鎖匙
[00:02:13.520 --> 00:02:15.520]  主掌管一切
[00:02:15.520 --> 00:02:18.160]  一切都在他管理之下
[00:02:18.160 --> 00:02:21.040]  他開門就無人能關上
[00:02:21.040 --> 00:02:23.840]  他關上門無人可開
[00:02:23.840 --> 00:02:28.720]  他隨時不斷地打開傳呼音
[00:02:28.720 --> 00:02:34.320]  或者說真的有人去羅馬尼
[00:02:34.320 --> 00:02:41.040]  他就用最大的可能用的最大的公眾場所
[00:02:41.040 --> 00:02:43.040]  來給他傳呼音
[00:02:43.040 --> 00:02:45.440]  很多人在門口開門之前
[00:02:45.440 --> 00:02:47.920]  就在門口開門
[00:02:47.920 --> 00:02:53.680]  就用最大的公眾的地方去傳呼
[00:02:53.680 --> 00:02:55.600]  在過去以前
[00:02:55.600 --> 00:02:57.200]  他們有一個諱言就是說
[00:02:57.200 --> 00:03:00.880]  他們聽聞有公元前年的五年運動
[00:03:00.880 --> 00:03:04.320]  他們用投誠、駕駛、參與的體制
[00:03:04.320 --> 00:03:07.120]  一切不惜去批判各國的
[00:03:07.120 --> 00:03:10.640]  叫他們在出災之前
[00:03:10.640 --> 00:03:15.040]  用心、刻意去積極地努力的去做
[00:03:15.040 --> 00:03:17.920]  東歐原本是關閉的
[00:03:17.920 --> 00:03:22.080]  但是主的鎖匙將它打開
[00:03:22.080 --> 00:03:26.880]  第二個一切就是第五節
[00:03:26.880 --> 00:03:28.880]  在那時候我們聽見的那一句話
[00:03:28.880 --> 00:03:31.520]  是第五節、第六節
[00:03:31.520 --> 00:03:35.280]  有一位長老這樣呼喊
[00:03:35.280 --> 00:03:36.640]  不要哭
