
[00:00:00.000 --> 00:00:06.800]  主持人:聖靈的工作是非常重要的
[00:00:06.800 --> 00:00:12.480]  我們很愛慕聖靈的工作
[00:00:12.480 --> 00:00:18.880]  我們也願意追求聖靈的工作
[00:00:18.880 --> 00:00:24.560]  在聖經裏面有一卷書信
[00:00:24.560 --> 00:00:29.440]  是關於聖靈的真理最重要的書信之一
[00:00:29.440 --> 00:00:34.800]  就是「以不所書」
[00:00:34.800 --> 00:00:38.320]  在這卷書裏面
[00:00:38.320 --> 00:00:45.840]  我們看見一條一條在聖靈裏長進的路線
[00:00:45.840 --> 00:00:54.880]  這個路線是奔走的道路
[00:00:54.880 --> 00:01:02.080]  不單單是我們知道就算了
[00:01:02.080 --> 00:01:10.080]  那是我們在其中追求長進的路線
[00:01:10.080 --> 00:01:13.520]  在「以不所書」裏面
[00:01:13.520 --> 00:01:18.480]  仕途保羅被聖靈感動
[00:01:18.480 --> 00:01:23.280]  他講到聖靈的真理
[00:01:23.280 --> 00:01:30.000]  我們至少可以看見在聖靈裏15方面的長進
[00:01:30.000 --> 00:01:35.440]  我們至少在這裏看到4、5方面聖靈裏面的長進
[00:01:35.440 --> 00:01:37.280]  15方面
[00:01:37.280 --> 00:01:40.320]  我們用三次來講
[00:01:40.320 --> 00:01:50.640]  今天晚上 明天晚上 還有昨日的禮拜裏面
[00:01:50.640 --> 00:01:56.720]  今天晚上我們要一同看6方面
[00:01:56.720 --> 00:02:04.480]  請大家再翻開「以不所書」
[00:02:04.480 --> 00:02:13.920]  我們注意第一方面的長進
[00:02:13.920 --> 00:02:18.800]  就是從信主長進到相主
[00:02:18.800 --> 00:02:22.320]  是從信主長進到像主
[00:02:22.320 --> 00:02:25.840]  這是聖靈的工作
[00:02:25.840 --> 00:02:36.880]  請看第一章第十三節
[00:02:36.880 --> 00:02:39.520]  「你們既聽見真理的道
[00:02:39.520 --> 00:02:42.080]  就是那叫你們得救的福音
[00:02:42.080 --> 00:02:43.840]  也信了基督
[00:02:43.840 --> 00:02:48.240]  既然信他 就受了所應許的聖靈為印記」
[00:02:48.240 --> 00:02:52.880]  在這節裏面提到兩件事
[00:02:52.880 --> 00:02:54.960]  第一件事
[00:02:54.960 --> 00:02:57.440]  信基督
[00:02:57.440 --> 00:02:59.600]  第二件事
[00:02:59.600 --> 00:03:03.920]  得了聖靈的印記
[00:03:03.920 --> 00:03:09.440]  這兩件事都是聖靈的工作
[00:03:09.440 --> 00:03:14.160]  信基督是聖靈的工作
[00:03:14.160 --> 00:03:17.840]  我們都記得主的話說
[00:03:17.840 --> 00:03:20.240]  聖靈來了
[00:03:20.240 --> 00:03:24.960]  是要叫人為罪 為義 為審判
[00:03:24.960 --> 00:03:26.720]  自己責備自己
[00:03:26.720 --> 00:03:29.760]  是要叫人為罪 為義 為審判
[00:03:29.760 --> 00:03:31.280]  自己責備自己
[00:03:31.280 --> 00:03:36.800]  那就是聖靈叫人知罪
[00:03:36.800 --> 00:03:40.160]  知道自己是罪人
[00:03:40.160 --> 00:03:44.400]  就悔改信主
[00:03:44.400 --> 00:03:47.120]  我們又知道
[00:03:47.120 --> 00:03:51.120]  聖靈叫人重生
[00:03:51.120 --> 00:03:57.040]  重生的救是聖靈的工作
[00:03:57.040 --> 00:04:00.400]  這是約翰福音3章第5節的話
[00:04:00.400 --> 00:04:05.360]  我們又想到保羅說
[00:04:05.360 --> 00:04:09.440]  若不是被聖靈感動
[00:04:09.440 --> 00:04:12.720]  沒有人能稱耶穌為主
[00:04:12.720 --> 00:04:14.800]  若不是受聖靈感動
[00:04:14.800 --> 00:04:17.360]  沒有人能稱耶穌為主
[00:04:17.360 --> 00:04:21.600]  所以很明顯信基督是聖靈的工作
[00:04:21.600 --> 00:04:25.200]  所以很明顯信基督是聖靈的工作
[00:04:25.200 --> 00:04:29.440]  這是聖靈第一步的工作
[00:04:29.440 --> 00:04:34.160]  他做了這一步的工作以後
[00:04:34.160 --> 00:04:37.440]  他繼續工作
[00:04:37.440 --> 00:04:42.640]  把我們帶到一個新的地步
[00:04:42.640 --> 00:04:46.720]  就是象基督
[00:04:46.720 --> 00:04:49.280]  在這一節的末了一句告訴我們
[00:04:49.280 --> 00:04:51.840]  在這裡最後一句告訴我們
[00:04:51.840 --> 00:04:56.080]  聖靈是印記
[00:04:56.080 --> 00:05:00.320]  印記有兩個意思在裡面
[00:05:00.320 --> 00:05:05.280]  第一個意思就是證據
[00:05:05.280 --> 00:05:09.680]  如果我把我的印記打在這本聖經上
[00:05:09.680 --> 00:05:12.880]  如果我把我的印記打在這本聖經上
[00:05:12.880 --> 00:05:16.800]  就表示證明這本聖經是屬於我的
[00:05:16.800 --> 00:05:20.320]  就表示證明這本聖經是屬於我的
[00:05:20.320 --> 00:05:22.880]  不是公有的
[00:05:22.880 --> 00:05:27.040]  那是我自己所有的
[00:05:27.040 --> 00:05:29.200]  這是印記的第一個作用
[00:05:29.200 --> 00:05:31.120]  這是印記的第一個作用
[00:05:31.120 --> 00:05:33.760]  第二個作用
[00:05:33.760 --> 00:05:40.560]  這個印記和印記的主人有意義上的連帶關係
[00:05:40.560 --> 00:05:45.600]  這個印記和印記的主人在意義上有連帶的關係
[00:05:45.600 --> 00:05:52.080]  這個印記把這個印記的主人的思想特性表達出來
[00:05:52.080 --> 00:05:56.960]  這個印記把印記的主人的思想特性表現出來
[00:05:56.960 --> 00:05:59.200]  就好像說
[00:05:59.200 --> 00:06:02.080]  我的印記裡面有兩個字
[00:06:02.080 --> 00:06:04.000]  我的印記裡面有兩個字
[00:06:04.000 --> 00:06:05.120]  「敬暉」
[00:06:05.120 --> 00:06:06.240]  「近暉」
[00:06:06.240 --> 00:06:10.480]  這是我開始侍奉主的時候起的一個名字
[00:06:10.480 --> 00:06:14.320]  這是我開始侍奉主的時候起的一個名字
[00:06:14.320 --> 00:06:17.440]  那就是1950年底我起的名字
[00:06:17.440 --> 00:06:20.320]  是1950年底我自己起的名字
[00:06:20.320 --> 00:06:22.000]  為什麼起這個名字呢?
[00:06:22.000 --> 00:06:23.680]  為什麼我起這個名字呢?
[00:06:23.680 --> 00:06:25.760]  這個代表我的一個盼望
[00:06:25.760 --> 00:06:27.920]  這個是代表我的一個盼望
[00:06:27.920 --> 00:06:33.040]  我希望我一生一世能夠靠近主的光輝
[00:06:33.040 --> 00:06:36.880]  我希望我一生一世能夠靠近主的光輝
[00:06:36.880 --> 00:06:41.280]  這兩個字把我的思想表達出來
[00:06:41.280 --> 00:06:45.120]  這個名字就把我的思想表達出來了
[00:06:45.120 --> 00:06:46.720]  表達我的心願
[00:06:46.720 --> 00:06:48.320]  也表達我的心願
[00:06:48.320 --> 00:06:50.000]  也表達我的追求
