
[00:00:00.000 --> 00:00:04.000]  聖經列王記上第十六章的最後一段
[00:00:04.000 --> 00:00:08.000]  是講到當時在以利亞時代的情況
[00:00:08.000 --> 00:00:14.000]  大家會留意到在聖經列王記上第十六章第三十節
[00:00:14.000 --> 00:00:16.500]  聖經提到有一個王叫阿哈
[00:00:16.500 --> 00:00:17.700]  聖經說:
[00:00:17.700 --> 00:00:21.700]  「黯尼的兒子阿哈行夜步或眼中看為惡的事
[00:00:21.700 --> 00:00:25.000]  比他以前的列王更甚」
[00:00:25.000 --> 00:00:26.000]  三十一節
[00:00:26.000 --> 00:00:29.000]  「犯有尼伯的兒子耶羅伯安所犯的罪
[00:00:29.000 --> 00:00:34.500]  他還以為兄,又娶了西頓王潔巴力的女兒耶洗別為妻
[00:00:34.500 --> 00:00:37.000]  去侍奉敬拜巴力
[00:00:37.000 --> 00:00:39.500]  在撒瑪利亞建造巴力的廟
[00:00:39.500 --> 00:00:43.500]  在廟內為巴力祝壇」三十三節
[00:00:43.500 --> 00:00:45.500]  「阿哈又造阿赦拉
[00:00:45.500 --> 00:00:49.500]  他所行的也耶和華以色列之神的怒氣
[00:00:49.500 --> 00:00:53.500]  比他以前的以色列諸王更甚」
[00:00:53.500 --> 00:00:55.000]  短短幾節聖經
[00:00:55.000 --> 00:00:56.500]  大家一路讀的時候就會發覺
[00:00:56.500 --> 00:00:59.500]  當時的處境是很黑暗
[00:00:59.500 --> 00:01:01.500]  一個很黑暗的時代
[00:01:01.500 --> 00:01:03.500]  一個人背離神
[00:01:03.500 --> 00:01:05.500]  叛逆神的時代
[00:01:05.500 --> 00:01:07.000]  在那時一位王
[00:01:07.000 --> 00:01:10.500]  聖經說他比以前的王更加惡
[00:01:10.500 --> 00:01:12.500]  更加多的得罪神
[00:01:12.500 --> 00:01:15.500]  他犯了耶羅伯安所犯的罪
[00:01:15.500 --> 00:01:17.000]  如果大家有讀過主學
[00:01:17.000 --> 00:01:19.500]  有讀過列王記上下就會知道
[00:01:19.500 --> 00:01:21.000]  在聖經說到
[00:01:21.000 --> 00:01:23.000]  以色列國曾經分裂
[00:01:23.000 --> 00:01:24.000]  一分為二
[00:01:24.000 --> 00:01:26.000]  所羅門之後分為兩個國
[00:01:26.000 --> 00:01:27.500]  一個北國以色列
[00:01:27.500 --> 00:01:29.000]  一個南國
[00:01:29.000 --> 00:01:30.000]  甚麼呢
[00:01:30.000 --> 00:01:32.500]  猶大國
[00:01:32.500 --> 00:01:35.500]  這兩個國家之間很大的鴻溝
