
[00:00:00.000 --> 00:00:04.000]  今天跟大家思想的是一個聖經人物 是多瑪
[00:00:04.000 --> 00:00:08.000]  當我講到多瑪之前 或者我想先提到
[00:00:08.000 --> 00:00:11.000]  大家都會體會到在過去香港這幾年
[00:00:11.000 --> 00:00:14.000]  香港都面對著很多風風雨雨
[00:00:14.000 --> 00:00:19.000]  在97年之後 大家都會深刻記得香港面對著很多經濟的困難
[00:00:19.000 --> 00:00:23.000]  因此有人曾經描寫香港人的心境
[00:00:23.000 --> 00:00:27.000]  這個形容很特別 叫做集體抑鬱
[00:00:27.000 --> 00:00:30.000]  很多人感覺香港不單止一個
[00:00:30.000 --> 00:00:33.000]  是很多人都面對著很多很低沉的情緒
[00:00:33.000 --> 00:00:36.000]  當然這兩年情況比較好轉
[00:00:36.000 --> 00:00:40.000]  但香港仍然很多時候因為整個社會的環境
[00:00:40.000 --> 00:00:44.000]  或者對政府對社會有不滿的情緒
[00:00:44.000 --> 00:00:47.000]  很多時候都很容易產生一種所謂的怨氣
[00:00:47.000 --> 00:00:52.000]  很多的埋怨 很多的不開心 很多的悲觀的情緒
[00:00:52.000 --> 00:00:57.000]  實際上我們大家都會明白人是容易受環境影響的
[00:00:57.000 --> 00:01:01.000]  但作為基督徒 每當我們面對著不同的環境的時候
[00:01:01.000 --> 00:01:06.000]  我們可以向神祈禱 神求你臨近我
[00:01:06.000 --> 00:01:08.000]  復活的主臨近我
[00:01:08.000 --> 00:01:15.000]  讓我深刻地知道你是得勝死亡 得勝死權的上帝
[00:01:15.000 --> 00:01:20.000]  因此在復活節的時候 我們確認這位主的確復活了
[00:01:20.000 --> 00:01:25.000]  而祂是我們對生命樂觀的憑據
[00:01:25.000 --> 00:01:29.000]  我們可以樂觀 仍然可以樂觀 因為基督復活了
[00:01:29.000 --> 00:01:33.000]  這正是我們可以常常樂觀的憑據
[00:01:33.000 --> 00:01:36.000]  而正因為這樣 我們可以在心裏面
[00:01:36.000 --> 00:01:39.000]  將自己裏面的疑惑 那些疑慮
[00:01:39.000 --> 00:01:42.000]  求主幫我們將它清除
[00:01:42.000 --> 00:01:45.000]  好像一片烏雲將它清散
[00:01:45.000 --> 00:01:49.000]  能夠見到日光照耀在我們生命當中
[00:01:49.000 --> 00:01:54.000]  所以在復活節的時候 我們祈禱神將我們心中的疑慮清散
[00:01:54.000 --> 00:01:58.000]  讓我們再次見到主的復活
[00:01:58.000 --> 00:02:01.000]  我今天和大家思想的一個人物叫多瑪
[00:02:01.000 --> 00:02:06.000]  大家知道聖經所描寫的多瑪 是一個比較多疑慮的人
[00:02:06.000 --> 00:02:11.000]  今天我不知道有沒有碰巧 我們中間的弟兄姊妹叫多瑪
[00:02:11.000 --> 00:02:16.000]  你不會叫他中文多瑪 英文可能叫他Thomas也不一定
[00:02:16.000 --> 00:02:21.000]  如果你叫Thomas 你要特別聽今天的訊息
[00:02:21.000 --> 00:02:25.000]  如果你不是叫Thomas 你也需要特別聽訊息
[00:02:25.000 --> 00:02:28.000]  我們打開聖經一起思想聖經的說話
[00:02:28.000 --> 00:02:31.000]  在聖經的《若人福音》第20章
[00:02:31.000 --> 00:02:41.000]  《若人福音》第20章
[00:02:41.000 --> 00:02:45.000]  第24節
[00:02:46.000 --> 00:02:51.000]  聖經說:那十二個門徒中 有稱為弟徒瑪的多瑪
[00:02:51.000 --> 00:02:55.000]  耶穌來的時候 他們沒有和他們同在
[00:02:55.000 --> 00:02:59.000]  那四個門徒對他說:我們已經看見主了
[00:02:59.000 --> 00:03:03.000]  多瑪卻說:我非看見他手上的釘痕
[00:03:03.000 --> 00:03:08.000]  用指頭探入那釘痕 又用手探入他的肋旁
[00:03:08.000 --> 00:03:10.000]  我總不信
[00:03:10.000 --> 00:03:14.000]  多瑪不願相信耶穌已經復活了
[00:03:14.000 --> 00:03:18.000]  當時主耶穌向他們的門徒顯現
[00:03:18.000 --> 00:03:21.000]  當時剩下的是十一個門徒
[00:03:21.000 --> 00:03:25.000]  而多瑪不在其中 所以只有十個門徒
[00:03:25.000 --> 00:03:29.000]  但十個門徒清楚看到復活的主耶穌
[00:03:29.000 --> 00:03:31.000]  所以當多瑪回來的時候
[00:03:31.000 --> 00:03:34.000]  他們告訴多瑪:我們看到主耶穌了
[00:03:34.000 --> 00:03:36.000]  如同聖經所說
[00:03:36.000 --> 00:03:42.000]  聖經說:門徒對他說:我們已經看見主了
[00:03:42.000 --> 00:03:47.000]  這句說話的原來意思是說他們重複地對多瑪說
[00:03:47.000 --> 00:03:50.000]  我們已經看見主了 他已經復活了
[00:03:50.000 --> 00:03:53.000]  是不斷重複對多瑪說
[00:03:53.000 --> 00:03:57.000]  雖然重複地說 但多瑪仍然不能夠相信
[00:03:57.000 --> 00:04:00.000]  可能他心裏想:你們看見了
[00:04:00.000 --> 00:04:04.000]  可能你們是有幻覺 看錯了
[00:04:04.000 --> 00:04:06.000]  如果我要去相信
[00:04:06.000 --> 00:04:10.000]  我必須要親手摸到主耶穌
[00:04:10.000 --> 00:04:14.000]  用手探入他的肋旁 探入他的丁痕
[00:04:14.000 --> 00:04:17.000]  很實質地摸到耶穌之後
[00:04:17.000 --> 00:04:19.000]  我就相信了
[00:04:19.000 --> 00:04:23.000]  多瑪是一個要求具體見證
[00:04:23.000 --> 00:04:25.000]  具體證據的人
[00:04:25.000 --> 00:04:28.000]  因此這個時候他不願意相信
[00:04:28.000 --> 00:04:32.000]  大家不要誤會 多瑪不是一個不忠心的人
