
[00:00:00.000 --> 00:00:04.000]  各位同工 各位弟兄姊妹 平安
[00:00:04.000 --> 00:00:08.000]  非常感恩有機會再一次在這邊分享上帝的話語
[00:00:08.000 --> 00:00:15.000]  那麼每一次分享上帝的話語 我想都是一件令人感動的事情
[00:00:15.000 --> 00:00:22.000]  就剛纔我們純粹讀這一段內容 就已經很直白地告訴我們的信息
[00:00:22.000 --> 00:00:27.000]  坦白說大概不需要我解釋太多 大家都已經抓住了這個重點
[00:00:27.000 --> 00:00:32.000]  那麼這個重點就是我提令出了一個主題 就是神不偏待人
[00:00:32.000 --> 00:00:38.000]  那麼這個主題不是我給他取的 是最後十一節末尾的時候
[00:00:38.000 --> 00:00:49.000]  保羅來形容上帝的性格 或者說形容上帝的內在的屬性
[00:00:49.000 --> 00:00:50.000]  他不偏待人
[00:00:50.000 --> 00:00:55.000]  那麼所以我們今天會延續着這個話題來看這一段經文
[00:00:55.000 --> 00:00:58.000]  那麼在講之前我們先做一個禱告
[00:00:58.000 --> 00:01:02.000]  親愛的主我們感謝你帶領我們再次返回到教會
[00:01:02.000 --> 00:01:09.000]  有機會來認識你當時透過保羅所寫下來的書信的內容
[00:01:09.000 --> 00:01:16.000]  願主親自看顧我們的身心靈 預備我們能夠了解你的話語
[00:01:16.000 --> 00:01:20.000]  這樣禱告奉耶穌基督的名 阿們
[00:01:20.000 --> 00:01:25.000]  在我們的日常生活當中呢 最容易的
[00:01:25.000 --> 00:01:30.000]  常常會出現的一個拼差呢 是什麼呢
[00:01:30.000 --> 00:01:36.000]  不是說我們評估別人的能力 而是對自己的評估
[00:01:36.000 --> 00:01:42.000]  換句話說 當你去評估一個錯誤的事情發生
[00:01:42.000 --> 00:01:48.000]  但或許那個本身不是錯誤的事情 而是你有一個錯誤的眼光
[00:01:48.000 --> 00:01:54.000]  舉個例子 平時覺得身體非常晉朗 或者身體非常不錯
[00:01:54.000 --> 00:01:59.000]  但是體檢報告呢 把各樣的身體指標一列出來呢
[00:01:59.000 --> 00:02:04.000]  才知道自我感覺良好這個事情呢 是虛假的 或者是說不準確的
[00:02:04.000 --> 00:02:10.000]  那自我感覺健康不等於真健康 我相信很多弟兄姐妹上了年紀
[00:02:10.000 --> 00:02:15.000]  或者是到了一個程度 去醫院一檢查呢 就可以看到自己身體呢
[00:02:15.000 --> 00:02:18.000]  往往會有這種的變化
[00:02:18.000 --> 00:02:22.000]  那這就是我過去也常常會經歷到的
[00:02:22.000 --> 00:02:27.000]  那這些場景呢 通常會提醒我們 人很容易失焦
[00:02:27.000 --> 00:02:33.000]  或者說失去對事物看法的那樣的一個角度
[00:02:33.000 --> 00:02:37.000]  就是自我的認知 那所以有這種拼理感
[00:02:37.000 --> 00:02:42.000]  或者是說 我們今天講的這個主題呢 是神不拼待人
[00:02:42.000 --> 00:02:48.000]  換句話說是神不拼心對待人 或者說上帝不會看錯人
[00:02:48.000 --> 00:02:53.000]  上帝不會看錯一個事情 但是我們人往往會看錯事情
[00:02:53.000 --> 00:02:59.000]  那爲什麼呢 你看這一段經文 實際上保羅就是要講人的屬靈的觀景
[00:02:59.000 --> 00:03:05.000]  把整個第二章的前面部分呢 拉回到我們現實場景的一些問題
[00:03:05.000 --> 00:03:09.000]  人容易怎麼樣呢 你看到這一段經文 就很有趣的
[00:03:09.000 --> 00:03:13.000]  他就是把人所有出現的問題 失焦的問題
[00:03:13.000 --> 00:03:17.000]  看問題出現錯誤的問題呢 都羅列出來
[00:03:17.000 --> 00:03:20.000]  首先你會發現有第一個核心問題
[00:03:20.000 --> 00:03:27.000]  就是人容易看錯 評論出錯了
[00:03:27.000 --> 00:03:31.000]  在第一節裏面說 你這評斷人的人啊
[00:03:31.000 --> 00:03:33.000]  無論你是誰 都無可推諉
[00:03:33.000 --> 00:03:38.000]  你在什麼事情上評斷人 就在什麼事情上定自己的罪
[00:03:38.000 --> 00:03:43.000]  因爲你這評斷人的人 所做的事情其實和別人沒有什麼差別
[00:03:43.000 --> 00:03:45.000]  保羅就這麼講
[00:03:45.000 --> 00:03:50.000]  那實際上如果你知道第二章的開頭是延續第一章的內容的
[00:03:50.000 --> 00:03:54.000]  在希臘文裏面其實是沒有第一第二章的
[00:03:54.000 --> 00:04:01.000]  他沒有章節的 是後來到了16世紀的時候爲了方便人去閱讀聖經
[00:04:01.000 --> 00:04:05.000]  也方便我們說找到哪裏哪裏呢 一定要加上這個章和節
[00:04:05.000 --> 00:04:11.000]  所以第一章和第二章呢 開頭部分有一個連接語叫做所以
[00:04:11.000 --> 00:04:14.000]  不能夠單獨來看第二章的內容的
[00:04:14.000 --> 00:04:17.000]  他延續第一章什麼內容呢
[00:04:17.000 --> 00:04:21.000]  如果你熟悉羅馬書 就知道第一章保羅要講
[00:04:21.000 --> 00:04:25.000]  人其實怎麼樣去抵擋真理
[00:04:25.000 --> 00:04:31.000]  或者是說明知道自己是一個受造物 卻去拜那些受造物
[00:04:31.000 --> 00:04:35.000]  而不去拜那個受造物
[00:04:35.000 --> 00:04:40.000]  所以在第一章的28到32節的內容裏面
[00:04:40.000 --> 00:04:44.000]  保羅就羅列出一連串人的罪惡的問題
[00:04:44.000 --> 00:04:47.000]  概述了人類壓制真理
[00:04:47.000 --> 00:04:51.000]  那麼壓制真理的本質呢 實際上呢
[00:04:51.000 --> 00:04:55.000]  保羅說是上帝任憑你了
[00:04:55.000 --> 00:05:00.000]  就隨意你這麼做 既然如此 那麼就這樣吧
[00:05:00.000 --> 00:05:05.000]  就用了一個詞 很有趣的 就是任憑 隨意
