
[00:00:00.000 --> 00:00:04.160]  我們今天來到馬拉基書第二章第十節
[00:00:04.160 --> 00:00:07.680]  去到第十六節
[00:00:07.680 --> 00:00:12.360]  這幾個問題都關於神喜愛的婚姻的忠誠
[00:00:12.360 --> 00:00:16.440]  一個忠誠的婚姻關係是神所喜愛的
[00:00:16.440 --> 00:00:20.080]  在講解聖經之前我想先提一件事情
[00:00:20.080 --> 00:00:24.120]  我在幾年之前看到一份報紙是講及一件事
[00:00:24.120 --> 00:00:26.120]  我一直都記得這件事
[00:00:26.120 --> 00:00:29.400]  就是在美國的亞利桑那州
[00:00:29.400 --> 00:00:32.760]  這個地方有一個新的措施
[00:00:32.760 --> 00:00:33.480]  什麼措施呢?
[00:00:33.480 --> 00:00:38.960]  就是因為他們發覺很多人都想快點辦妥離婚手續
[00:00:38.960 --> 00:00:42.480]  因此在這間私樓靈機一觸
[00:00:42.480 --> 00:00:46.680]  就做了一個叫自動售賣機
[00:00:46.680 --> 00:00:47.560]  售賣什麼呢?
[00:00:47.560 --> 00:00:52.160]  就是售賣離婚手續的證件
[00:00:52.160 --> 00:00:54.640]  只要你去到這個售賣機前面
[00:00:54.640 --> 00:00:56.720]  將你有關的資料輸入去
[00:00:56.720 --> 00:01:02.240]  他很快速地將離婚的證件印出來給你
[00:01:02.240 --> 00:01:04.000]  可以在短短的時間內
[00:01:04.000 --> 00:01:07.240]  在快速的法院面前
[00:01:07.240 --> 00:01:10.880]  就可以得到有關的離婚證件
[00:01:10.880 --> 00:01:13.240]  我看完之後心裡的感覺就是
[00:01:13.240 --> 00:01:16.440]  離婚好像是一件很輕而易舉的事情
[00:01:16.440 --> 00:01:20.360]  很簡單的事情隨時都可以做的事情
[00:01:20.360 --> 00:01:26.560]  而意味著婚姻變成一件隨時可以放棄的事情
[00:01:26.560 --> 00:01:29.080]  是一件很隨便的事情
[00:01:29.080 --> 00:01:32.960]  我相信聖經很多時候都不斷提醒我們
[00:01:32.960 --> 00:01:34.640]  無論是結婚還是未結婚
[00:01:34.640 --> 00:01:36.400]  都需要很小心明白
[00:01:36.400 --> 00:01:40.760]  神的心意對婚姻是一個很重視的事情
[00:01:40.760 --> 00:01:42.400]  我們說到馬拉基說一件
[00:01:42.400 --> 00:01:44.480]  一路來說道神的約
[00:01:44.480 --> 00:01:46.320]  很重視人神的約
[00:01:46.320 --> 00:01:48.360]  就是人人之間的約
