
[00:00:00.000 --> 00:00:07.400]  今天指定要我講的信息是學校基督
[00:00:07.400 --> 00:00:10.800]  (今天我要講的信息是學像基督)
[00:00:10.800 --> 00:00:14.700]  這是很重要的一個信息
[00:00:14.700 --> 00:00:18.900]  (這是一個很重要的信息)
[00:00:18.900 --> 00:00:23.200]  剛才讀了經文再唸
[00:00:23.200 --> 00:00:26.400]  《已不鎖書》第四章二十節
[00:00:26.400 --> 00:00:30.200]  (剛才所讀的經文是《已不鎖書》第四章)
[00:00:30.200 --> 00:00:35.100]  你們學了基督
[00:00:35.100 --> 00:00:38.600]  卻不是這樣
[00:00:38.600 --> 00:00:44.200]  這樣是指著什麼時候的呢?
[00:00:44.200 --> 00:00:48.900]  這是上文十七節到十九節所說的
[00:00:48.900 --> 00:00:52.600]  (是第十七節到第十九節所說的)
[00:00:52.600 --> 00:00:57.200]  所以我說現在主理確實地說
[00:00:57.200 --> 00:01:02.000]  你們行事不要再像外邦人
[00:01:02.000 --> 00:01:04.600]  (所以我絕第十七節)
[00:01:04.600 --> 00:01:07.000]  且在主裡確實地說
[00:01:07.000 --> 00:01:11.400]  你們行事不要再像外邦人
[00:01:11.400 --> 00:01:19.200]  我們要不像非基督徒
[00:01:19.200 --> 00:01:22.300]  (我們要不像非基督徒)
[00:01:22.300 --> 00:01:27.500]  他們有什麼表現呢?
[00:01:27.500 --> 00:01:33.000]  他們存虛妄的心
[00:01:33.000 --> 00:01:35.700]  我們可以說虛就是虛假
[00:01:35.700 --> 00:01:40.900]  妄就是妄自作是
[00:01:40.900 --> 00:01:42.600]  虛就是虛假
[00:01:42.600 --> 00:01:45.900]  妄就是妄自作是
[00:01:45.900 --> 00:01:52.400]  跟著說他們心地昏昧
[00:01:52.400 --> 00:01:56.400]  心靈黑暗
[00:01:56.400 --> 00:02:02.800]  沒有生命的光照著他們
[00:02:02.800 --> 00:02:10.600]  與神所賜的生命隔絕了
[00:02:10.600 --> 00:02:16.700]  生命之主已經離開
[00:02:16.700 --> 00:02:20.500]  他們和生命之主之間隔絕
[00:02:20.500 --> 00:02:24.700]  (他們與生命之主之間是隔絕了)
[00:02:24.700 --> 00:02:27.500]  這裡有跟著說
[00:02:27.500 --> 00:02:31.400]  都因自己無知心理剛性
[00:02:31.400 --> 00:02:33.000]  (第十八節的中間他說)
[00:02:33.000 --> 00:02:36.500]  (都是因為自己無知心裡剛硬)
[00:02:36.500 --> 00:02:40.200]  因為不認識神也不曉得真理
[00:02:40.200 --> 00:02:42.800]  所以他們的心裡剛硬
[00:02:42.800 --> 00:02:45.800]  (因為他們不曉得真理又不認識神)
[00:02:45.800 --> 00:02:48.600]  (所以他們的心放硬)
[00:02:48.600 --> 00:02:52.200]  十九節良心竟然喪盡
[00:02:52.200 --> 00:02:53.100]  (第十九節說)
[00:02:53.100 --> 00:02:56.700]  (良心既然放盡)
[00:02:56.700 --> 00:03:00.000]  良心的作用完全失去了
[00:03:00.000 --> 00:03:02.600]  (良心的作用完全失去了)
[00:03:02.600 --> 00:03:04.400]  良心沒有作用了
[00:03:04.400 --> 00:03:07.300]  (他的良心已經沒有作用了)
[00:03:07.300 --> 00:03:13.100]  這是一個很可怕可憐的情況
[00:03:13.100 --> 00:03:17.300]  (這是一個很可怕很可憐的情況)
[00:03:17.300 --> 00:03:19.200]  保羅講了這個以後
[00:03:19.200 --> 00:03:21.100]  跟著第二十節
[00:03:21.100 --> 00:03:27.500]  你們學了基督卻不是這樣了
[00:03:27.500 --> 00:03:29.100]  (保羅講了前面那些之後)
[00:03:29.100 --> 00:03:31.100]  (接著他二十節就說)
[00:03:31.100 --> 00:03:34.700]  (你們學了基督卻不是這樣了)
[00:03:34.700 --> 00:03:36.500]  那是過去的事
[00:03:36.500 --> 00:03:38.300]  (這是過去的事)
[00:03:38.300 --> 00:03:40.300]  現在怎麼樣呢?
[00:03:40.300 --> 00:03:42.200]  (現在我們應該是怎麼樣呢?)
[00:03:42.200 --> 00:03:43.600]  第二十節
[00:03:43.600 --> 00:03:45.900]  (第二十一節)
[00:03:45.900 --> 00:03:48.300]  (如果你們聽過他的道)
[00:03:48.300 --> 00:03:49.900]  (領了他的教)
[00:03:49.900 --> 00:03:51.600]  (學了他的真理)
[00:03:51.600 --> 00:03:55.300]  在這裡提到聽
[00:03:55.300 --> 00:03:58.000]  提到領受
[00:03:58.000 --> 00:03:59.800]  又提到學
[00:03:59.800 --> 00:04:02.200]  (這裡提到三個字)
[00:04:02.200 --> 00:04:05.400]  聽、領受和學
[00:04:05.400 --> 00:04:08.700]  (這是三部曲)
[00:04:08.700 --> 00:04:10.300]  (聽道的三部曲)
[00:04:10.300 --> 00:04:12.500]  (這個是聽道的三部曲)
[00:04:12.500 --> 00:04:16.500]  耳朵聽
[00:04:16.500 --> 00:04:25.500]  (然後領受神的教導)
[00:04:25.500 --> 00:04:30.000]  (第三部就是學了他的真理)
[00:04:30.000 --> 00:04:33.100]  (第三部就是學了他的真理)
[00:04:33.100 --> 00:04:38.100]  (這裡我們看到聽)
[00:04:38.100 --> 00:04:43.800]  (領受然後孝法)
[00:04:43.800 --> 00:04:47.200]  (然後就是孝法)
[00:04:47.200 --> 00:04:49.400]  (我們沒有看到)
[00:04:49.400 --> 00:04:55.600]  (下面告訴我們)
[00:04:55.600 --> 00:05:02.900]  (一個人得到了這樣的恩典之後)
[00:05:02.900 --> 00:05:05.500]  (應該有什麼表現)
[00:05:05.500 --> 00:05:07.000]  (我們就看看下面)
[00:05:07.000 --> 00:05:10.000]  (一個人如果得到了這些恩典之後)
[00:05:10.000 --> 00:05:11.400]  (應該有什麼表現呢?)
[00:05:11.400 --> 00:05:12.300]  (二十二節)
[00:05:12.300 --> 00:05:13.400]  (第二十二節)
[00:05:13.400 --> 00:05:20.000]  (就要脫去你們從前行為上的舊人)
[00:05:20.000 --> 00:05:20.800]  (這裡就說)
[00:05:20.800 --> 00:05:25.800]  (就要脫去你們從前行為上的舊人)
[00:05:25.800 --> 00:05:29.800]  (把這個舊人像一件衣服一樣脫去)
[00:05:29.800 --> 00:05:33.700]  (把這個舊人像一件衣服一樣脫去)
[00:05:33.700 --> 00:05:38.900]  (這個舊人脫去的舊人是怎麼樣呢?)
[00:05:38.900 --> 00:05:42.300]  (這個舊人脫去的舊人是怎麼樣呢?)
[00:05:42.300 --> 00:05:49.100]  (這個舊人是因私欲的迷惑漸漸變壞)
[00:05:49.100 --> 00:05:53.900]  (而這個舊人是因為私欲的迷惑漸漸變壞了)
[00:05:53.900 --> 00:05:57.200]  (不是一下子就變壞了)
[00:05:57.200 --> 00:05:59.900]  (不是一下子就變壞了)
[00:05:59.900 --> 00:06:02.000]  (漸漸變壞)
[00:06:02.000 --> 00:06:04.500]  (是慢慢漸漸地變壞的)
[00:06:04.500 --> 00:06:07.200]  (人的墮落也是如此)
[00:06:07.200 --> 00:06:12.800]  (一步一步地墮落得更深一步更深一步更深一步)
[00:06:12.800 --> 00:06:14.700]  (人的墮落也是這樣)
[00:06:14.700 --> 00:06:18.600]  (墮落的時候深一點再深一點更加深一點)
[00:06:18.600 --> 00:06:22.700]  (所以這個漸漸地是很難防備的)
[00:06:22.700 --> 00:06:26.800]  (所以這個漸漸地是很難防備的)
[00:06:26.800 --> 00:06:30.400]  (我們凡是漸漸發生的事)
[00:06:30.400 --> 00:06:32.800]  (我們不容易覺察)
[00:06:32.800 --> 00:06:35.800]  (凡是漸漸地發生的事)
[00:06:35.800 --> 00:06:37.600]  (我們不容易覺察)
[00:06:37.600 --> 00:06:39.600]  (所以不容易防備)
[00:06:39.600 --> 00:06:41.900]  (所以不容易防備)
[00:06:41.900 --> 00:06:48.600]  (這是我們看見舊人的私欲)
[00:06:48.600 --> 00:06:51.400]  (使我們漸漸變壞)
[00:06:51.400 --> 00:06:54.700]  (這裡說的是舊人的私欲)
[00:06:54.700 --> 00:06:56.800]  (這是我們漸漸地變壞的)
[00:06:56.800 --> 00:07:01.100]  (然後從正面來講)
[00:07:01.100 --> 00:07:04.900]  (我們要將你們的心智還新)
[00:07:04.900 --> 00:07:07.900]  (我們要將你們的心智還新)
[00:07:07.900 --> 00:07:10.800]  (一個新的心智)
[00:07:10.800 --> 00:07:12.400]  (一個新的心智)
[00:07:12.400 --> 00:07:16.300]  (這是裏面的缺志)
[00:07:16.300 --> 00:07:18.200]  (是裏面的一個缺志)
[00:07:18.200 --> 00:07:22.100]  (二十四穴並且穿上新人)
[00:07:22.100 --> 00:07:25.700]  (二十四穴並且穿上新人)
[00:07:25.700 --> 00:07:28.700]  (將新人穿上新衣服)
[00:07:28.700 --> 00:07:31.600]  (是表現新的表現)
[00:07:31.600 --> 00:07:34.500]  (將新人穿上新衣服)
[00:07:34.500 --> 00:07:36.400]  (表現一個新的表現)
[00:07:36.400 --> 00:07:40.000]  (這個新的表現是怎樣的呢?)
[00:07:40.000 --> 00:07:42.500]  (這個新的表現是怎樣的呢?)
[00:07:42.500 --> 00:07:46.100]  (是照著神的形象做的)
[00:07:46.100 --> 00:07:48.800]  (是照著神的形象做的)
[00:07:48.800 --> 00:07:52.000]  (有真理的人欲和聖潔)
[00:07:52.000 --> 00:07:54.500]  (有真理的人欲和聖潔)
[00:07:54.500 --> 00:07:57.400]  (這裏又是有三樣)
[00:07:57.400 --> 00:07:59.400]  (這裏又有三樣)
[00:07:59.400 --> 00:08:00.300]  (真理)
[00:08:00.300 --> 00:08:01.400]  (真理)
[00:08:01.400 --> 00:08:05.200]  (是指著理性方面講)
[00:08:05.200 --> 00:08:07.500]  (是講到理性方面的)
[00:08:07.500 --> 00:08:09.200]  (人欲)
[00:08:09.200 --> 00:08:10.100]  (人欲)
[00:08:10.100 --> 00:08:12.100]  (是行為方面講)
[00:08:12.100 --> 00:08:13.900]  (是行為上面的)
[00:08:13.900 --> 00:08:17.600]  (聖潔是指著品格講)
[00:08:17.600 --> 00:08:20.500]  (聖潔是講到品格的)
[00:08:20.500 --> 00:08:23.800]  (這樣這個新人很完備)
[00:08:23.800 --> 00:08:25.600]  (完全的新人)
[00:08:25.600 --> 00:08:27.600]  (這個新人是很完備的)
[00:08:27.600 --> 00:08:29.600]  (是一個很完全的新人)
[00:08:29.600 --> 00:08:32.400]  (跟著告訴我們)
[00:08:32.400 --> 00:08:37.200]  (一個學校基督的人有什麼表現)
[00:08:37.200 --> 00:08:39.600]  (跟著就說一個學習基督的人)
[00:08:39.600 --> 00:08:41.200]  (應該有什麼表現)
[00:08:41.200 --> 00:08:42.800]  (二十五節)
[00:08:42.800 --> 00:08:44.100]  (第二十五節)
[00:08:44.100 --> 00:08:47.100]  (所以你們要棄絕謊言)
[00:08:47.100 --> 00:08:49.700]  (所以你們要棄絕謊言)
[00:08:49.700 --> 00:08:54.400]  (把虛假虛謊都拿出去)
[00:08:54.400 --> 00:08:57.900]  (將虛假虛謊都拿走)
[00:08:57.900 --> 00:09:01.600]  (說的是心裡的話 實話)
[00:09:01.600 --> 00:09:05.400]  (是 講的是心裡的話 是實在的說話)
[00:09:05.400 --> 00:09:07.800]  (這是真誠的人)
[00:09:07.800 --> 00:09:09.200]  (這是一個真誠的人)
[00:09:09.200 --> 00:09:10.900]  (真誠的品格)
[00:09:10.900 --> 00:09:12.400]  (是一個真誠的品格)
[00:09:12.400 --> 00:09:16.000]  (跟著又說我們互為之體)
[00:09:16.000 --> 00:09:19.200]  (跟著他就說我們互為之體)
[00:09:19.200 --> 00:09:22.100]  (我們互為之體弟兄姊妹)
[00:09:22.100 --> 00:09:25.700]  (所以彼此之間應該這樣表現)
[00:09:25.700 --> 00:09:27.500]  (因為我們是互為之體)
[00:09:27.500 --> 00:09:28.900]  (我們是弟兄姊妹)
[00:09:28.900 --> 00:09:31.000]  (所以我們應該有這樣的表現)
[00:09:31.000 --> 00:09:34.700]  (二十六節好像需要一點解釋)
[00:09:34.700 --> 00:09:37.200]  (二十六節需要一點解釋)
[00:09:37.200 --> 00:09:39.500]  (生氣卻不要犯罪)
[00:09:39.500 --> 00:09:42.800]  (生氣卻不要犯罪)
[00:09:42.800 --> 00:09:46.400]  (那就是發脾氣不是罪了)
[00:09:46.400 --> 00:09:50.000]  (那就是發脾氣不是罪了)
[00:09:50.000 --> 00:09:56.200]  (這裡說的 下面解釋)
[00:09:56.200 --> 00:09:59.800]  (什麼意思 不可害怒到日落)
[00:09:59.800 --> 00:10:03.700]  (解釋在這裡 不可含怒到日落)
[00:10:03.700 --> 00:10:08.900]  (你生氣 人人都會有時候生氣)
[00:10:08.900 --> 00:10:12.700]  (生氣 每個人都會有時候生氣)
[00:10:12.700 --> 00:10:16.900]  (如果在世上找一個不會生氣的人)
[00:10:16.900 --> 00:10:18.900]  (我說你永遠找不到)
[00:10:18.900 --> 00:10:20.400]  (如果你在世界上想找一個)
[00:10:20.400 --> 00:10:23.300]  (不會生氣的人 你永遠都找不到)
[00:10:23.300 --> 00:10:27.400]  (沒有生過氣的人 你舉手)
[00:10:27.400 --> 00:10:29.600]  (想未生過氣的人舉手)
[00:10:29.600 --> 00:10:32.100]  (我相信沒有人舉手)
[00:10:32.100 --> 00:10:33.900]  (我想都沒有人會舉手的了)
[00:10:33.900 --> 00:10:35.500]  (我們都會生氣)
[00:10:35.500 --> 00:10:38.000]  (我們都會發怒)
[00:10:38.000 --> 00:10:41.700]  (但是呢 生氣不要犯罪)
[00:10:41.700 --> 00:10:46.000]  (但是呢 生氣不要犯罪)
[00:10:46.000 --> 00:10:48.000]  (什麼叫犯罪呢)
[00:10:48.000 --> 00:10:50.300]  (什麼叫犯罪呢)
[00:10:50.300 --> 00:10:52.600]  (含怒到日落)
[00:10:52.600 --> 00:10:54.200]  (含怒到日落)
[00:10:54.200 --> 00:10:56.500]  (那就是一直的生氣)
[00:10:56.500 --> 00:10:58.400]  (就是一直這樣生氣下去)
[00:10:58.400 --> 00:11:00.100]  (一直發怒)
[00:11:00.100 --> 00:11:01.500]  (一直發怒)
[00:11:01.500 --> 00:11:06.800]  (那麼這個生氣發怒 就變成恨)
[00:11:06.800 --> 00:11:09.300]  (那麼生氣發怒一直下去的話)
[00:11:09.300 --> 00:11:11.300]  (就會變成恨了)
[00:11:11.300 --> 00:11:15.900]  (那就是一天過去了)
[00:11:15.900 --> 00:11:19.000]  (就是說還沒有一天就完了)
[00:11:19.000 --> 00:11:21.500]  (不要把這個怒氣帶到第二天)
[00:11:21.500 --> 00:11:23.800]  (不要把這個怒氣帶到第二天)
[00:11:23.800 --> 00:11:25.200]  (我昨天向你發脾氣)
[00:11:25.200 --> 00:11:28.700]  (對不起 我今天要道歉 我要改變)
[00:11:28.700 --> 00:11:31.900]  (我昨天對你發脾氣 對不起)
[00:11:31.900 --> 00:11:34.000]  (我今天不發了 沒事了)
[00:11:34.000 --> 00:11:37.200]  (跟著有時候就很厲害 很重要)
[00:11:37.200 --> 00:11:39.200]  (那接著是很重要的)
[00:11:39.200 --> 00:11:41.800]  (二十七節)
[00:11:41.800 --> 00:11:45.100]  (不要給魔鬼留地步)
[00:11:45.100 --> 00:11:49.000]  (不要給魔鬼留地步)
[00:11:49.000 --> 00:11:52.900]  (這個魔鬼你給他留地步)
[00:11:52.900 --> 00:11:55.500]  (他就得寸進尺)
[00:11:55.500 --> 00:11:57.300]  (如果你給魔鬼留地步)
[00:11:57.300 --> 00:12:00.000]  (他就會得寸進尺了)
[00:12:00.000 --> 00:12:03.000]  (你給他留一點點的機會)
[00:12:03.000 --> 00:12:08.600]  (他就進去 繼續更加衝動)
[00:12:08.600 --> 00:12:10.200]  (如果你給他一點點機會)
[00:12:10.200 --> 00:12:13.300]  (他就會很厲害地更加來做事)
[00:12:13.300 --> 00:12:15.400]  (你們有沒有聽過一個故事)
[00:12:15.400 --> 00:12:17.700]  (你們有沒有聽過一個故事)
[00:12:17.700 --> 00:12:20.900]  (可惜我不是故事牧師)
[00:12:20.900 --> 00:12:24.600]  (有的故事牧師很受歡迎)
[00:12:24.600 --> 00:12:27.900]  (不過不是很好 我也不是故事牧師)
[00:12:27.900 --> 00:12:31.300]  (因為那些講故事的牧師很受歡迎)
[00:12:31.300 --> 00:12:36.200]  (不過我也講過故事)
[00:12:36.200 --> 00:12:42.000]  (講個比喻)
[00:12:42.000 --> 00:12:45.600]  (講個比喻)
[00:12:45.600 --> 00:12:49.200]  (有一次有一隻駱駝)
[00:12:49.200 --> 00:12:53.000]  (有一次有一隻駱駝)
[00:12:53.000 --> 00:12:55.800]  (牠在冬天的時候)
[00:12:55.800 --> 00:12:57.200]  (在冬天的時候)
[00:12:57.200 --> 00:12:58.200]  (覺得很冷)
[00:12:58.200 --> 00:12:59.600]  (覺得很冷)
[00:12:59.600 --> 00:13:04.600]  (牠就發現有一個帳篷打在附近)
[00:13:04.600 --> 00:13:08.400]  (牠就發現有一個帳篷打在附近)
[00:13:08.400 --> 00:13:11.400]  (牠就走過去)
[00:13:11.400 --> 00:13:13.400]  (牠發現帳篷裏面有人)
[00:13:13.400 --> 00:13:14.800]  (牠發現帳篷裏面有人)
