
[00:00:00.000 --> 00:00:09.360]  上星期我去了宣道會華基堂在田灣,這是他們的禮堂
[00:00:09.360 --> 00:00:19.360]  是一間舊戲院,當年是一間可以容納二三百人的禮堂
[00:00:19.360 --> 00:00:25.760]  上星期六晚上去,晚上六點鐘崇拜
[00:00:25.760 --> 00:00:35.760]  上到去唱詩歌敬拜,然後我講道,講了沒多久,喉嚨有點沙沙的
[00:00:35.760 --> 00:00:46.400]  然後就繼續講,講完就坐巴士,然後我心裡就心感不妙
[00:00:46.400 --> 00:00:57.680]  因為明天華基堂有三堂主宰崇拜,八點,九點九,十一點半左右
[00:00:57.680 --> 00:01:03.040]  講三堂崇拜,一堂就快想死了,還要講三堂
[00:01:03.040 --> 00:01:08.320]  就是這個時候,發生什麼事?
[00:01:08.320 --> 00:01:12.640]  就是這個時候,就想起上帝的說話
[00:01:12.640 --> 00:01:17.440]  起了兩段經文,第一段就是《雅各書》四章十五節
[00:01:17.440 --> 00:01:28.160]  今天明天如何,我們都不知道,主若願意,我們就可以活著
[00:01:28.160 --> 00:01:31.840]  主若願意,我們可以活著,或做者是,或做那是
[00:01:31.840 --> 00:01:36.080]  如果主若願意,明天我可以講三堂
[00:01:36.080 --> 00:01:39.920]  如果不行,因為這是主的心意,你就不要講
[00:01:39.920 --> 00:01:46.320]  講不到就告訴別人,講不到就不是這樣
[00:01:46.320 --> 00:01:51.360]  第二,因為擔心,擔心到底能不能講
[00:01:51.360 --> 00:01:56.160]  就想起一段大家很熟悉的寶貴的英許
[00:01:56.160 --> 00:02:00.880]  應當一無掛慮,只要凡事藉著禱告,祈求和感謝
[00:02:00.880 --> 00:02:03.600]  將我們所需要的告訴神
[00:02:03.600 --> 00:02:09.840]  神所賜出人意外的平安,必在基督耶穌會保守你們的心懷意願
[00:02:09.840 --> 00:02:12.880]  信得過神,仰望神
[00:02:12.880 --> 00:02:19.280]  其實憂慮本身就是一個信不過神的狀況
[00:02:19.280 --> 00:02:26.240]  信不過神,為什麼我們會落在這樣的狀況
[00:02:26.240 --> 00:02:31.280]  或者我們的憂慮是代表著我們看不到一個慈愛的天父
[00:02:31.280 --> 00:02:34.320]  如何拖帶著我們,供應我們日常的所需
[00:02:34.320 --> 00:02:36.720]  就將這些憂慮交給神
[00:02:36.720 --> 00:02:39.520]  每個人都有憂慮,我們都有掛心的地方
[00:02:39.520 --> 00:02:44.000]  交給神,從中能夠看到上帝的作為
[00:02:44.000 --> 00:02:51.760]  到第二天早上,果然有師母的蜜糖
[00:02:51.760 --> 00:02:57.200]  再加上堂會,原來有桑寄生茶喝的,真是太棒了
[00:02:57.200 --> 00:03:02.560]  再加上特別聖人的幫助,就大概講完三堂了
[00:03:02.560 --> 00:03:10.240]  今天的經文也是講我們信靠神,仰望神
[00:03:10.240 --> 00:03:13.520]  這段經文其實大家熟悉的
[00:03:13.520 --> 00:03:18.080]  因為在馬太福音第九章和老家福音第八章都有講
[00:03:18.080 --> 00:03:23.040]  這段經文是講了兩個女人的故事
[00:03:23.040 --> 00:03:28.160]  艾老和他的女兒,加上一個婦人,兩個故事
[00:03:28.160 --> 00:03:34.560]  呈現了一個很典型的,在馬太福音經常出現的三文治式的ABA結構
[00:03:34.560 --> 00:03:39.680]  頭尾都是講艾老和女兒的故事,中間有一個婦人的故事
[00:03:39.680 --> 00:03:46.080]  而這個三文治式的故事有很多共通點
[00:03:46.080 --> 00:03:54.400]  包括兩個被醫治的女人,艾老的女兒是十二歲
[00:03:54.400 --> 00:04:00.560]  這個婦人患了一個慢性的長期血瘤病
[00:04:00.560 --> 00:04:06.960]  即是經期不斷不穩,不單止不穩,而且經常流血
[00:04:06.960 --> 00:04:11.680]  但這個女人的情況是非常困擾
[00:04:11.680 --> 00:04:19.760]  兩個女人,艾老或這個女人,都跪在耶穌的筋前
[00:04:19.760 --> 00:04:24.560]  艾老和這個女人都有自己的目的
[00:04:24.560 --> 00:04:30.240]  就是希望將他們解決不了的事,帶到耶穌的筋前
[00:04:30.240 --> 00:04:35.840]  亦都盼望耶穌解決他們這件事
[00:04:35.840 --> 00:04:42.560]  耶穌稱呼這個女人和女兒為小女兒
[00:04:42.560 --> 00:04:49.600]  亦都是父親式的稱呼
