
[00:00:00.000 --> 00:00:05.800]  約西亞王是猶太國晚期的時候的皇帝
[00:00:05.800 --> 00:00:11.000]  當時北國的以色列已經被亞述所滅了
[00:00:11.000 --> 00:00:14.600]  剩下這個糾纏殘存的猶太國
[00:00:14.600 --> 00:00:20.000]  約西亞王八歲登基
[00:00:20.000 --> 00:00:23.600]  聖經說他十六歲
[00:00:23.600 --> 00:00:28.600]  青少年的時候已經決定要尋求耶和華
[00:00:29.600 --> 00:00:31.000]  等了四年
[00:00:31.000 --> 00:00:33.600]  二十歲的時候他就開始動手
[00:00:33.600 --> 00:00:39.000]  清理國內的偶像和異教崇拜
[00:00:39.000 --> 00:00:41.600]  再等多六年
[00:00:41.600 --> 00:00:44.000]  然後二十六歲的時候
[00:00:44.000 --> 00:00:47.200]  他就重新收集聖殿
[00:00:47.200 --> 00:00:50.200]  在收集聖殿的過程當中
[00:00:50.200 --> 00:00:54.800]  發現了已經失傳了很久的律法書
[00:00:54.800 --> 00:00:56.600]  或者叫做約書
[00:00:56.600 --> 00:01:01.000]  我們相信應該就是摩西所寫的摩西五經
[00:01:01.000 --> 00:01:06.000]  也是在馬期中包括了生命記裡面所說到
[00:01:06.000 --> 00:01:08.800]  神祝福和奏助的說話
[00:01:08.800 --> 00:01:10.000]  跟隨神的
[00:01:10.000 --> 00:01:12.200]  神給他怎樣的祝福
[00:01:12.200 --> 00:01:13.800]  聽從神的
[00:01:13.800 --> 00:01:17.600]  不聽從神的人的結果有什麼不同
[00:01:17.600 --> 00:01:20.200]  應該是生命記二十八章
[00:01:20.200 --> 00:01:24.400]  當這個書卷來到約西亞王的面前的時候
[00:01:24.400 --> 00:01:25.600]  一打開
[00:01:25.600 --> 00:01:27.200]  他就撕裂衣服
[00:01:27.200 --> 00:01:29.200]  在神面前哀哭
[00:01:29.200 --> 00:01:31.600]  大受感動
[00:01:31.600 --> 00:01:35.400]  然後在神面前要改變自己
[00:01:35.400 --> 00:01:37.400]  重新跟神立約
[00:01:37.400 --> 00:01:39.400]  他不單止自己跟神立約
[00:01:39.400 --> 00:01:42.600]  還要求整個國家都參與這個立約
[00:01:42.600 --> 00:01:46.000]  第三十五章就說到他舉行了一個自從
[00:01:46.000 --> 00:01:51.600]  薩姆爾以來從來沒有這麼大型的一個如意節
[00:01:51.600 --> 00:01:55.600]  重新的一個獻祭和聚會
[00:01:55.600 --> 00:01:57.200]  在如意節的聚會裡面
[00:01:57.200 --> 00:02:00.800]  他們獻上數以萬千的牛羊
[00:02:00.800 --> 00:02:03.800]  然後全國一起在神面前復興
[00:02:03.800 --> 00:02:07.400]  剛才我所讀的聖經最後那句很有意思
[00:02:07.400 --> 00:02:10.200]  他說約西亞王在世的日子
[00:02:10.200 --> 00:02:12.000]  人民都跟隨耶和華
[00:02:12.000 --> 00:02:15.600]  他們列祖的神總不離開
[00:02:15.600 --> 00:02:20.200]  這個就是剛才我們所讀的裡面整個的事件的記載
[00:02:21.200 --> 00:02:25.200]  今天我想跟大家說兩個關於復興的真理
[00:02:25.200 --> 00:02:27.200]  在聖經裡面我們看到的
[00:02:27.200 --> 00:02:28.200]  第一
[00:02:28.200 --> 00:02:31.600]  要復興不是得過港幣的
[00:02:31.600 --> 00:02:34.200]  是要付代價的
[00:02:34.200 --> 00:02:36.200]  如果你想復興
[00:02:36.200 --> 00:02:38.800]  如果我們想見到神給我們的復興
[00:02:38.800 --> 00:02:41.200]  我們要付代價
[00:02:41.200 --> 00:02:44.000]  第二個真理
[00:02:44.000 --> 00:02:47.600]  復興在聖經裡面所有的記載
[00:02:47.600 --> 00:02:49.200]  沒有例外的
[00:02:49.200 --> 00:02:51.000]  有條方程式的
[00:02:51.000 --> 00:02:54.200]  復興一定是來自悔改
[00:02:54.200 --> 00:02:57.800]  和在神面前徹底的認罪
[00:02:57.800 --> 00:03:00.600]  感覺到自己對神不住
[00:03:00.600 --> 00:03:03.000]  而這個徹底的悔改
[00:03:03.000 --> 00:03:05.200]  是來自這個人
[00:03:05.200 --> 00:03:06.400]  或者這一群人
[00:03:06.400 --> 00:03:09.000]  真正看見神的標準
[00:03:09.000 --> 00:03:10.400]  是多麼厲害
[00:03:10.400 --> 00:03:11.400]  多麼真實
[00:03:11.400 --> 00:03:13.200]  在這個標準的面前
[00:03:13.200 --> 00:03:14.200]  覺得
[00:03:14.200 --> 00:03:15.200]  體會
[00:03:15.200 --> 00:03:18.400]  深刻的感覺到自己不配
[00:03:18.400 --> 00:03:20.000]  然後向神認錯
[00:03:20.000 --> 00:03:22.200]  復興的火就來臨了
[00:03:22.200 --> 00:03:24.000]  我們都很喜歡復興
