
[00:00:00.000 --> 00:00:03.000]  當我們提到每一天去靈修
[00:00:03.000 --> 00:00:05.680]  去讀聖經親近神的時候
[00:00:05.680 --> 00:00:09.200]  我們都會常常有一個為難的地方
[00:00:09.200 --> 00:00:11.920]  就是對基督徒來說很多時候讀聖經
[00:00:11.920 --> 00:00:16.160]  就會容易聽了之後就忘記了
[00:00:16.160 --> 00:00:19.720]  看完之後又忘記了
[00:00:19.720 --> 00:00:21.560]  因此我們常常有句說話說
[00:00:21.560 --> 00:00:25.200]  好像水過鴨背
[00:00:25.200 --> 00:00:27.920]  不能夠好像吸收到
[00:00:27.920 --> 00:00:30.720]  就算有些時候頭腦上明白了
[00:00:30.720 --> 00:00:33.600]  甚至參加一些聖經問答比賽
[00:00:33.600 --> 00:00:35.080]  拿到第一名
[00:00:35.080 --> 00:00:38.720]  但是發覺如果整個說話停留在頭腦裡
[00:00:38.720 --> 00:00:40.800]  沒有進入內心
[00:00:40.800 --> 00:00:44.280]  或者不能夠在生活上行出來
[00:00:44.280 --> 00:00:48.560]  整個說話都不能夠產生對我們的幫助
[00:00:48.560 --> 00:00:50.880]  所以基督徒上有一種互相的提醒
[00:00:50.880 --> 00:00:54.160]  要將整個說話放在心裏面
[00:00:54.160 --> 00:00:57.280]  大家知道我們剛剛舉行了一個冬令營
[00:00:57.280 --> 00:01:00.320]  冬令營的題目大家記得
[00:01:00.320 --> 00:01:03.840]  比蜜甘甜
[00:01:03.840 --> 00:01:05.560]  是一個很蒙恩的聚會
[00:01:05.560 --> 00:01:07.680]  當中有很寶貴的訊息
[00:01:07.680 --> 00:01:11.880]  楊碩昌牧師在第五堂提到一個很重要的訊息
[00:01:11.880 --> 00:01:14.640]  他說第一節目要留心聖經上提醒我們
[00:01:14.640 --> 00:01:17.920]  要常在主的話裏面
[00:01:17.920 --> 00:01:21.600]  主的話就常在我們裏面
[00:01:21.600 --> 00:01:24.440]  當他提及常在我裏面的時候
[00:01:24.440 --> 00:01:25.800]  他很清楚解釋
[00:01:25.800 --> 00:01:30.400]  意思就是讓整個說話停留在我們心中
[00:01:30.400 --> 00:01:33.040]  常住在我們心中
[00:01:33.040 --> 00:01:37.240]  讓我們好像浸入在神的話裏面
[00:01:37.240 --> 00:01:39.080]  他用一個很簡單的例子說
[00:01:39.080 --> 00:01:41.800]  好像我們將一些食物醃製
[00:01:41.800 --> 00:01:44.200]  一些很美味的調味
[00:01:44.200 --> 00:01:48.720]  能夠慢慢滲入那些食物裏面
[00:01:48.720 --> 00:01:52.200]  讓整個說話能夠進入我們的內心
[00:01:52.200 --> 00:01:55.000]  因為整個說話是帶著能力的
[00:01:55.000 --> 00:01:57.880]  當整個說話停留在你的內心的時候
[00:01:57.880 --> 00:02:00.200]  你要發覺生命有一種能力
[00:02:00.200 --> 00:02:02.520]  可以去更新自己
[00:02:02.520 --> 00:02:05.840]  有一種力量可以去改變自己
[00:02:05.840 --> 00:02:08.440]  但如果整個說話不在你的生命裏面
[00:02:08.440 --> 00:02:10.920]  是忘記了、沒有了的話
[00:02:10.920 --> 00:02:14.680]  就不能產生一種更新的作用
[00:02:14.680 --> 00:02:17.800]  因此其中一個方式去幫助自己
[00:02:17.800 --> 00:02:19.920]  傳記神的話
[00:02:19.920 --> 00:02:22.480]  就是默想神的道
[00:02:22.480 --> 00:02:27.160]  小心祂咀嚼、默想、領受在心裏面
[00:02:27.160 --> 00:02:29.640]  因此我們再看聖經怎樣告訴我們
[00:02:29.640 --> 00:02:32.360]  要留心領受神的話
[00:02:32.360 --> 00:02:35.400]  我們比較集中的是頭八節的經文
[00:02:35.400 --> 00:02:37.000]  首先我們的思想就是
[00:02:37.000 --> 00:02:41.440]  先提醒我們要一心尋求神
[00:02:41.440 --> 00:02:43.960]  大家先看初初的三節
[00:02:43.960 --> 00:02:47.240]  第九節開始
[00:02:47.240 --> 00:02:49.760]  「少年人用甚麼潔淨他的行為
[00:02:49.760 --> 00:02:51.920]  是要遵行你的話
[00:02:51.920 --> 00:02:53.520]  我一心尋求了你
[00:02:53.520 --> 00:02:56.360]  求你不要叫我偏離你的命令
[00:02:56.360 --> 00:02:58.720]  我將你的話藏在心裏
[00:02:58.720 --> 00:03:01.600]  免得我得罪你」
[00:03:01.600 --> 00:03:03.000]  聖經提到在第十節
[00:03:03.000 --> 00:03:06.040]  「我一心尋求了你」
[00:03:06.040 --> 00:03:08.400]  是使人對神一種很大的渴慕
[00:03:08.400 --> 00:03:11.800]  一心一意或者說全心全意
[00:03:11.800 --> 00:03:15.320]  要去得著神、要去尋求神
[00:03:15.320 --> 00:03:20.560]  在第119篇的第二節同樣這樣說
