
[00:00:00.000 --> 00:00:03.640]  我們已經開始看《聖經》裏面
[00:00:03.640 --> 00:00:08.220]  那些被稱爲神人的六個人物
[00:00:08.220 --> 00:00:11.480]  我們已經看了第一位就是摩西
[00:00:11.480 --> 00:00:16.640]  今天我們要看第二位被稱爲神人的人物
[00:00:16.640 --> 00:00:18.640]  就是撒末爾
[00:00:18.640 --> 00:00:20.320]  撒末爾
[00:00:20.320 --> 00:00:24.080]  在《聖經》舊約裏面
[00:00:24.080 --> 00:00:27.680]  撒末爾記上九章六節
[00:00:27.680 --> 00:00:31.640]  撒末爾記上九章六節裏面
[00:00:31.640 --> 00:00:35.200]  稱撒末爾爲神人
[00:00:35.200 --> 00:00:36.960]  我們上一次已經說過
[00:00:36.960 --> 00:00:39.720]  神人就是一個屬神的人
[00:00:39.720 --> 00:00:41.960]  就是一個敬畏神的人
[00:00:41.960 --> 00:00:44.240]  一個被神得着的人
[00:00:44.240 --> 00:00:46.680]  一個合乎神用的人
[00:00:46.680 --> 00:00:50.280]  一個與神之間有美好關係的人
[00:00:50.280 --> 00:00:52.840]  一個有高尚品格的人
[00:00:52.840 --> 00:00:55.600]  一個榮耀神的人
[00:00:55.600 --> 00:00:58.960]  撒末爾被稱爲神人
[00:00:58.960 --> 00:01:01.040]  同時《聖經》又說
[00:01:01.040 --> 00:01:05.000]  他是衆人所尊重的一個人
[00:01:05.000 --> 00:01:09.320]  他真是爲我們留下了極寶貴的榜樣
[00:01:09.320 --> 00:01:13.720]  他是《聖經》裏面最完美的人物之一
[00:01:13.720 --> 00:01:17.560]  他的品格被保守到底
[00:01:17.560 --> 00:01:19.600]  實在是難能可貴
[00:01:19.600 --> 00:01:24.360]  給我們留下了最難得高貴的榜樣
[00:01:24.360 --> 00:01:26.400]  值得我們學習
[00:01:26.400 --> 00:01:31.440]  我們今天要提到關於撒末爾五方面的事
[00:01:31.440 --> 00:01:34.520]  我們從其中來學習
[00:01:34.520 --> 00:01:37.480]  得到幫助 得到建立
[00:01:37.480 --> 00:01:40.040]  關於撒末爾的第一件事
[00:01:40.040 --> 00:01:43.840]  就是撒末爾被稱爲
[00:01:43.840 --> 00:01:49.280]  一切禱告的人的榜樣和代表
[00:01:49.280 --> 00:01:53.080]  在詩篇九十九篇第六節
[00:01:53.080 --> 00:01:58.040]  詩篇九十九篇第六節裏面這樣說
[00:01:58.040 --> 00:02:02.800]  在求告佑華的人中有撒末爾
[00:02:02.800 --> 00:02:08.360]  他們求告神 神就應允他們
