
[00:00:00.000 --> 00:00:06.000]  上一次我收到不少的回調
[00:00:06.000 --> 00:00:10.000]  所以我心裏想想,我想再加多些東西
[00:00:10.000 --> 00:00:12.000]  我覺得是應該的
[00:00:12.000 --> 00:00:18.000]  我們說了有三個人格完成的方向
[00:00:18.000 --> 00:00:20.000]  希望大家還記得
[00:00:20.000 --> 00:00:25.000]  一個就是自我的整合,Self-Integration
[00:00:25.000 --> 00:00:31.000]  一個就是自我的創造,Self-Creativity,Self-Creation
[00:00:31.000 --> 00:00:36.000]  另外一個就是自我的超越,Self-Transcendence
[00:00:36.000 --> 00:00:37.000]  這三方面
[00:00:37.000 --> 00:00:40.000]  我記得Ian Cheng問我一個問題
[00:00:40.000 --> 00:00:47.000]  他說這樣是不是表達完全所有的可能性呢
[00:00:47.000 --> 00:00:50.000]  某種意義來說是相當完整的
[00:00:50.000 --> 00:00:52.000]  我不是隨便抽幾樣東西
[00:00:52.000 --> 00:00:59.000]  一方面我自己在歷史上看過不同的學派對這個問題的了解
[00:00:59.000 --> 00:01:02.000]  我發覺多多少少落在這三個大的方向
[00:01:02.000 --> 00:01:06.000]  另一方面我覺得其實是有它一種完整性的
[00:01:06.000 --> 00:01:13.000]  如果大家記得自我整合是說到自我、真我的尋索
[00:01:13.000 --> 00:01:15.000]  找回真的自我
[00:01:15.000 --> 00:01:20.000]  然後在真的自我裏面再投入到群體當中
[00:01:20.000 --> 00:01:24.000]  所以這個可以說是一種關係
[00:01:24.000 --> 00:01:26.000]  人、自我和其他人的關係
[00:01:26.000 --> 00:01:29.000]  人和人的關係和他自己的關係
[00:01:29.000 --> 00:01:33.000]  然後自我創造就說到人的潛質
[00:01:33.000 --> 00:01:38.000]  如何充分地完成成長,由潛質到成長
[00:01:38.000 --> 00:01:42.000]  這個也可以說是人和他自己的關係
[00:01:42.000 --> 00:01:45.000]  在裏面有一個動態的
[00:01:45.000 --> 00:01:52.000]  由一個潛質慢慢成長到好像一棵植物或一個小朋友一樣
[00:01:52.000 --> 00:01:54.000]  一個成長的過程是動態的
[00:01:54.000 --> 00:01:59.000]  這裡是自我成長的過程當中我們說到個人的
