
[00:00:00.000 --> 00:00:02.600]  (徐克勤)「新明」上次的音很相似
[00:00:02.600 --> 00:00:03.800]  第一次是「使命」
[00:00:03.800 --> 00:00:05.760]  第二次是「新」
[00:00:05.760 --> 00:00:06.960]  「新」教的「新」,「新明」
[00:00:06.960 --> 00:00:08.720]  第三次是「新明」
[00:00:08.720 --> 00:00:09.680]  關於甚麼呢?
[00:00:09.680 --> 00:00:14.720]  其實進入到《新明記》分段第三篇講章
[00:00:14.720 --> 00:00:17.080]  過去大家可以重溫一下
[00:00:17.080 --> 00:00:18.600]  很簡單的
[00:00:18.600 --> 00:00:23.240]  第一篇是一至三或四章的經文歷史回顧
[00:00:23.240 --> 00:00:25.520]  第二篇是重申十屆
[00:00:25.520 --> 00:00:27.800]  亦是整個《新明記》很重要的篇章
[00:00:27.800 --> 00:00:31.040]  有六及十一章的事馬經文
[00:00:31.040 --> 00:00:32.240]  是一個很忠心
[00:00:32.240 --> 00:00:34.200]  要盡心、盡性、盡義、盡力
[00:00:34.200 --> 00:00:35.680]  愛主理的神
[00:00:35.680 --> 00:00:38.360]  並且講到如何去實踐
[00:00:38.360 --> 00:00:39.920]  第三篇的講章
[00:00:39.920 --> 00:00:42.120]  甚至整個段落
[00:00:42.120 --> 00:00:43.520]  十二至二十六章
[00:00:43.520 --> 00:00:46.240]  是講很多關於一些律例
[00:00:46.240 --> 00:00:49.440]  將是很實際生活上的應用
[00:00:49.440 --> 00:00:53.080]  針對他們將會進入到迦南地
[00:00:53.080 --> 00:00:54.400]  要預備好自己
[00:00:54.400 --> 00:00:55.760]  亦是一個提醒
[00:00:55.760 --> 00:00:57.240]  不要犯以前的錯
[00:00:57.240 --> 00:00:59.560]  在歷史裏犯很多錯
[00:00:59.560 --> 00:01:01.040]  但當然在歷史裏
[00:01:01.040 --> 00:01:03.600]  亦看到上帝有很多的恩典
[00:01:03.600 --> 00:01:05.280]  如何遵守戒明律法
[00:01:05.280 --> 00:01:06.680]  是甚麼一回事呢?
[00:01:06.680 --> 00:01:08.920]  上一代很善忘
[00:01:08.920 --> 00:01:10.000]  要重新
[00:01:10.000 --> 00:01:14.920]  新的一代未經歷過可能的事情
[00:01:14.920 --> 00:01:19.640]  所以當《新明記》重覆再講時間
[00:01:19.640 --> 00:01:23.400]  這幅圖包括了過去兩次
[00:01:23.400 --> 00:01:27.120]  或者講的訊息的重點
[00:01:27.120 --> 00:01:28.760]  第一篇的講章
[00:01:28.760 --> 00:01:30.480]  一至三章歷史回顧
[00:01:30.480 --> 00:01:32.600]  是那位洗人得勝的主
[00:01:32.600 --> 00:01:34.640]  在何列山重拾
[00:01:34.640 --> 00:01:36.640]  肯定他們的身份
[00:01:36.640 --> 00:01:39.000]  進入到去侍奉
[00:01:39.000 --> 00:01:40.440]  他們經歷生命
[00:01:40.440 --> 00:01:42.920]  上帝很實在在歷程裏面
[00:01:42.920 --> 00:01:44.160]  這個旅程的保護
[00:01:44.160 --> 00:01:45.880]  你生命的歷程
[00:01:45.880 --> 00:01:48.440]  是否也是這樣經歷神的保護呢?
[00:01:48.440 --> 00:01:50.360]  並且不單止得保護
[00:01:50.360 --> 00:01:52.600]  是可以靠著得勝
[00:01:52.600 --> 00:01:53.880]  進入第二篇的講章
[00:01:53.880 --> 00:01:58.720]  講到律法誡命是洗人得福
[00:01:58.720 --> 00:02:00.480]  賜福的那位上帝
[00:02:00.480 --> 00:02:02.280]  當我們信服上主的時候
[00:02:02.280 --> 00:02:05.240]  所以由聽到傳人愛神
[00:02:05.240 --> 00:02:07.000]  讓主去管教
[00:02:07.000 --> 00:02:09.200]  管教的意思是指示
[00:02:09.200 --> 00:02:14.720]  指示並且走在祂賜福的道路裏面
[00:02:14.720 --> 00:02:16.880]  今天去到第二篇講章
[00:02:16.880 --> 00:02:18.360]  最後還記得一件事情
[00:02:18.360 --> 00:02:20.560]  就是他去到十一章
[00:02:20.560 --> 00:02:21.840]  他說有兩條路
[00:02:21.840 --> 00:02:23.840]  就是上帝和其他
[00:02:23.840 --> 00:02:26.160]  上帝和其他
[00:02:26.160 --> 00:02:28.800]  即是你不是跟上帝的路
[00:02:28.800 --> 00:02:29.920]  就是其他
[00:02:29.920 --> 00:02:31.720]  所以你不要誤會了
[00:02:31.720 --> 00:02:33.720]  我沒有拜其他別神
[00:02:33.720 --> 00:02:34.720]  不是的
[00:02:34.720 --> 00:02:36.840]  其他的路就不是上帝的路
[00:02:36.840 --> 00:02:40.040]  上帝道是要二選一的時間
[00:02:40.040 --> 00:02:42.040]  為何進入到第三篇講章呢?
[00:02:42.040 --> 00:02:46.360]  講明律法法典和禍福
[00:02:46.360 --> 00:02:48.560]  要進入耕耘地
[00:02:48.560 --> 00:02:50.960]  準備自己的生命狀態
[00:02:50.960 --> 00:02:53.800]  很實際的裏面有一些提醒
[00:02:53.800 --> 00:02:58.600]  就是講到預備進入耕耘地
[00:02:58.600 --> 00:03:01.280]  進行帶來一個很重要的
[00:03:01.280 --> 00:03:05.520]  在他們的社會家庭的穩定
[00:03:05.520 --> 00:03:09.640]  包括公平的律法
[00:03:09.640 --> 00:03:16.520]  當然信仰核心是以色列人對耶和華有責任
[00:03:16.520 --> 00:03:17.760]  進入第三篇講章
[00:03:17.760 --> 00:03:20.760]  十二章到十七章開始
[00:03:20.760 --> 00:03:24.520]  十七章到十九章講到以色列的領袖
[00:03:24.520 --> 00:03:28.120]  二十章到二十六章講其他律法
[00:03:28.120 --> 00:03:28.920]  講到甚麼呢?
[00:03:28.920 --> 00:03:30.880]  當你選擇跟隨神
[00:03:30.880 --> 00:03:32.880]  按他的心意去生活
[00:03:32.880 --> 00:03:35.160]  這個信仰核心基礎
[00:03:35.160 --> 00:03:40.120]  才是真正我們生命安穩的所在
[00:03:40.120 --> 00:03:43.200]  不是那些律法或法律
[00:03:43.200 --> 00:03:44.520]  所有東西多完美
[00:03:44.520 --> 00:03:48.920]  你知道沒有所謂完美的法制或方法
[00:03:48.920 --> 00:03:51.240]  真正核心其實在上帝那裡
[00:03:51.240 --> 00:03:53.240]  但是這個核心體
[00:03:53.240 --> 00:03:56.760]  帶來社會家庭的可靠穩定
[00:03:56.760 --> 00:03:58.760]  從來不是其他的事情
[00:03:58.760 --> 00:04:01.160]  所以當你二選一的時候
[00:04:01.160 --> 00:04:03.160]  是上帝和其他
[00:04:03.160 --> 00:04:05.440]  其他包括其他不是上帝
[00:04:05.440 --> 00:04:08.080]  只有二選一的情況
[00:04:08.080 --> 00:04:11.600]  第三篇講章講甚麼事情呢?
