
[00:00:00.000 --> 00:00:01.440]  好 鄭志明 余平安
[00:00:01.440 --> 00:00:04.040]  我們在過去一年
[00:00:04.040 --> 00:00:07.160]  跟大家分享一起思想十屆的訊息
[00:00:07.160 --> 00:00:08.440]  去到第八屆
[00:00:08.440 --> 00:00:10.240]  不是很簡單的記事
[00:00:10.240 --> 00:00:11.840]  不過在開始
[00:00:11.840 --> 00:00:16.560]  因為疫情後很多人都在家裡看電視
[00:00:16.560 --> 00:00:20.320]  某個電視的頻道網絡可以看
[00:00:20.320 --> 00:00:24.000]  我看了今年香港電影的最佳電影
[00:00:24.000 --> 00:00:26.480]  有一個片段頗有趣的
[00:00:26.480 --> 00:00:28.480]  謝霆鋒這個角色
[00:00:28.480 --> 00:00:32.120]  他準備跟一群人去搶劫
[00:00:32.120 --> 00:00:35.560]  跟他們警告他的隊友
[00:00:35.560 --> 00:00:37.760]  如果有人犯錯
[00:00:37.760 --> 00:00:40.320]  累倒全隊全家
[00:00:40.320 --> 00:00:42.080]  他說了一句話
[00:00:42.080 --> 00:00:43.840]  我本來沒有留意
[00:00:43.840 --> 00:00:46.120]  他說累倒全家
[00:00:46.120 --> 00:00:47.880]  耶穌都沒有面子給
[00:00:47.880 --> 00:00:49.160]  我職業病
[00:00:49.160 --> 00:00:53.760]  你準備搶劫關耶穌什麼事呢?
[00:00:53.760 --> 00:00:56.320]  你做壞事關耶穌什麼事呢?
[00:00:56.320 --> 00:00:57.600]  我覺得很認真
[00:00:57.600 --> 00:00:59.520]  可能是普通對白
[00:00:59.520 --> 00:01:02.720]  電影裡他說了兩次
[00:01:02.720 --> 00:01:04.680]  不過我想是有道理的
[00:01:04.680 --> 00:01:07.440]  人自我中心想犯罪
[00:01:07.440 --> 00:01:09.680]  甚至不跟從上帝
[00:01:09.680 --> 00:01:11.400]  從來都沒有給面子給耶穌
[00:01:11.400 --> 00:01:12.400]  給面子給耶穌的話
[00:01:12.400 --> 00:01:13.640]  就是你給面子給人
[00:01:13.640 --> 00:01:16.120]  你會尊重他
[00:01:16.120 --> 00:01:17.520]  或者你重視他
[00:01:17.520 --> 00:01:19.400]  你就會
[00:01:19.400 --> 00:01:20.680]  是不是?
[00:01:20.680 --> 00:01:25.280]  他做壞事需要給面子給耶穌嗎?
[00:01:25.280 --> 00:01:29.400]  信仰是否重視我們所信的
[00:01:29.400 --> 00:01:31.080]  以致我們所行出來的呢?
