
[00:00:00.000 --> 00:00:02.000]  我上一節的聖經
[00:00:02.000 --> 00:00:05.300]  在我們常常都會大家背誦的
[00:00:05.300 --> 00:00:10.000]  在聖經《針研書》第四章第23節所說
[00:00:10.000 --> 00:00:13.500]  聖經就說你們要保守你們的心
[00:00:13.500 --> 00:00:17.000]  勝過保守一切
[00:00:17.000 --> 00:00:22.000]  因為一生的果效是從心而出
[00:00:22.000 --> 00:00:27.000]  聖經很強調內心的真實的狀況
[00:00:27.000 --> 00:00:30.000]  所以留心聖經提醒我們
[00:00:30.000 --> 00:00:32.000]  你要留意你的內心
[00:00:32.000 --> 00:00:34.000]  你的生命的實況
[00:00:34.000 --> 00:00:37.000]  怎樣去保守你的心
[00:00:37.000 --> 00:00:39.000]  有很多不同的途徑
[00:00:39.000 --> 00:00:44.000]  但最重要的是將神的話放在心裏
[00:00:44.000 --> 00:00:51.000]  去聽、去聆聽、去默想、去計劃
[00:00:51.000 --> 00:00:55.000]  怎樣將所聽的行出來
[00:00:55.000 --> 00:01:00.000]  因為當你真的去小心、去聆聽、去默想
[00:01:00.000 --> 00:01:03.000]  然後一步步這樣行出來的時候
[00:01:03.000 --> 00:01:05.000]  你發覺你就是保走了你的心
[00:01:05.000 --> 00:01:13.000]  不再被其他的慾望、其他的思慮牽引著
[00:01:13.000 --> 00:01:16.000]  而你的生命也都隨著你的心的方向
[00:01:16.000 --> 00:01:20.000]  可以走在神的路上
[00:01:20.000 --> 00:01:23.000]  你要保守你的心勝過保守一切
[00:01:23.000 --> 00:01:25.000]  也都讓我們看到
[00:01:25.000 --> 00:01:27.000]  在聖經裏面主常常提醒我們
[00:01:27.000 --> 00:01:29.000]  不要單單聽
[00:01:29.000 --> 00:01:31.000]  一定要行
[00:01:31.000 --> 00:01:33.000]  我們基督徒都常常這樣說
[00:01:33.000 --> 00:01:35.000]  但在這個過程裏面
[00:01:35.000 --> 00:01:37.000]  你要對自己說
[00:01:37.000 --> 00:01:40.000]  不是說你還沒有行
[00:01:40.000 --> 00:01:42.000]  而是不斷地幫自己
[00:01:42.000 --> 00:01:47.000]  怎樣能夠真正按明白、真正聽到的
[00:01:47.000 --> 00:01:50.000]  讓我們的教導行出來
[00:01:50.000 --> 00:01:54.000]  今天聖經來到登山部分的一段最後的經文
[00:01:54.000 --> 00:01:56.000]  你發覺聖經一直都在強調
[00:01:56.000 --> 00:01:58.000]  要聽而行
[00:01:58.000 --> 00:02:03.000]  在第五章、第七章的第十五節
[00:02:03.000 --> 00:02:05.000]  這裡聖經一開始就提及一件事情
[00:02:05.000 --> 00:02:08.000]  你們要分辨那些假先知
[00:02:08.000 --> 00:02:12.000]  或者進一步說去分辨你自己
[00:02:12.000 --> 00:02:15.000]  這裡提到要提放假先知
[00:02:15.000 --> 00:02:18.000]  他們披著羊皮到你們當中
[00:02:18.000 --> 00:02:20.000]  裏面卻是殘暴的羊
[00:02:20.000 --> 00:02:22.000]  但是憑著他們的果子
[00:02:22.000 --> 00:02:24.000]  就可以認出他們內
[00:02:24.000 --> 00:02:27.000]  荊棘裏面不會有葡萄
[00:02:27.000 --> 00:02:31.000]  在那些窒礪裏面不會有無花果
[00:02:31.000 --> 00:02:33.000]  聖經提醒你要留心
[00:02:33.000 --> 00:02:36.000]  你要留心不要被那些假先知
[00:02:36.000 --> 00:02:40.000]  迷惑了你、誤導了你
[00:02:40.000 --> 00:02:42.000]  當說起假先知的時候
[00:02:42.000 --> 00:02:44.000]  可能大家都會留意到
[00:02:44.000 --> 00:02:47.000]  在我們生活上常常出現很多假的東西
[00:02:47.000 --> 00:02:51.000]  不單止是假的食品
[00:02:51.000 --> 00:02:53.000]  或者是假的信息
[00:02:53.000 --> 00:02:55.000]  或者是欺騙的事件
[00:02:55.000 --> 00:02:58.000]  我留意到最近新聞有一件事情說
[00:02:58.000 --> 00:03:00.000]  有很多人被騙
[00:03:00.000 --> 00:03:02.000]  是因為有一個欺詐的集團
[00:03:02.000 --> 00:03:06.000]  他們冒銀行的職員打電話給你
[00:03:06.000 --> 00:03:09.000]  告訴你我們銀行有一些低息貸款
[00:03:09.000 --> 00:03:12.000]  你要不要這個機會
[00:03:12.000 --> 00:03:14.000]  很低息
[00:03:14.000 --> 00:03:16.000]  你說要的時候
[00:03:16.000 --> 00:03:19.000]  他說不要緊你開一個戶口
[00:03:19.000 --> 00:03:23.000]  不過你先把一筆錢放進戶口
[00:03:23.000 --> 00:03:25.000]  我們不會動用那些錢
[00:03:25.000 --> 00:03:26.000]  一定要你授權
[00:03:26.000 --> 00:03:28.000]  總之你開個戶口
[00:03:28.000 --> 00:03:31.000]  以後我們就可以把低息貸款額給你
[00:03:31.000 --> 00:03:34.000]  很多人就受騙開了戶口
[00:03:34.000 --> 00:03:38.000]  但是發覺後來那筆錢不翼而飛
[00:03:38.000 --> 00:03:41.000]  沒有授權,為什麼會沒有了
[00:03:41.000 --> 00:03:43.000]  打電話銀行追問
[00:03:43.000 --> 00:03:45.000]  銀行問誰跟你說的
[00:03:45.000 --> 00:03:46.000]  那個職員呢
[00:03:46.000 --> 00:03:49.000]  我們沒有這個職員
[00:03:49.000 --> 00:03:54.000]  有人失了十萬至三百萬
[00:03:54.000 --> 00:03:57.000]  有些時候你會不意識到
[00:03:57.000 --> 00:03:59.000]  在旁邊有很多虛假的事情
[00:03:59.000 --> 00:04:02.000]  以致你受到損失
[00:04:02.000 --> 00:04:04.000]  但是更大的損失就是
[00:04:04.000 --> 00:04:07.000]  你以為是神的道理
[00:04:07.000 --> 00:04:10.000]  聽從了一些假先知
[00:04:10.000 --> 00:04:13.000]  帶給你的一些迷惑
[00:04:13.000 --> 00:04:16.000]  聖就提到假先知來到的時候
[00:04:16.000 --> 00:04:18.000]  他在羊群中出現
[00:04:18.000 --> 00:04:20.000]  披著羊毛
[00:04:20.000 --> 00:04:23.000]  意味著你不能夠在表面上分出
[00:04:23.000 --> 00:04:25.000]  他不是羊來的
[00:04:25.000 --> 00:04:27.000]  以為他也是羊
[00:04:27.000 --> 00:04:30.000]  甚至可能他是能言善辯
[00:04:30.000 --> 00:04:33.000]  好像在說神的道理一樣
[00:04:33.000 --> 00:04:36.000]  在教導人的先知一樣
[00:04:36.000 --> 00:04:40.000]  但是裡面是殘暴的羊
[00:04:40.000 --> 00:04:41.000]  殘暴的狼
[00:04:41.000 --> 00:04:44.000]  意味著他只是為自己的利益
[00:04:44.000 --> 00:04:47.000]  甚至不理其他人的生死
[00:04:47.000 --> 00:04:49.000]  只是為了自己的利益
[00:04:49.000 --> 00:04:52.000]  因此聖經說他是殘暴的
[00:04:52.000 --> 00:04:54.000]  聖經的《馬太福音》
[00:04:54.000 --> 00:04:56.000]  在這段經文提及假先知
[00:04:56.000 --> 00:04:57.000]  你一直讀的時候
[00:04:57.000 --> 00:04:59.000]  到聖經說到末世的時候
