
[00:00:00.000 --> 00:00:04.160]  我們今天一起再打開聖經其中的哥羅西書
[00:00:04.160 --> 00:00:07.160]  來思想一件事情
[00:00:07.160 --> 00:00:09.920]  思想一個奧秘
[00:00:09.920 --> 00:00:12.760]  剛才大家讀到哥羅西書的時候
[00:00:12.760 --> 00:00:16.400]  你都會知道哥羅西書一直的重心的訊息
[00:00:16.400 --> 00:00:19.920]  是在說耶穌基督是那位至尊榮的上帝
[00:00:19.920 --> 00:00:23.800]  祂是一切的源始、源首
[00:00:23.800 --> 00:00:29.120]  因此每個人當領受基督的救恩之餘
[00:00:29.120 --> 00:00:32.400]  我們都進入了這種豐盛的生命裏面
[00:00:32.400 --> 00:00:35.520]  在經文裏面當我們讀的時候
[00:00:35.520 --> 00:00:38.200]  特別留意到保羅講述一件事情
[00:00:38.200 --> 00:00:40.600]  講述到一個奧秘
[00:00:40.600 --> 00:00:42.440]  這個奧秘是甚麼呢?
[00:00:42.440 --> 00:00:44.120]  我們今天一起去看看
[00:00:44.120 --> 00:00:46.720]  大家先看聖經在第一章
[00:00:46.720 --> 00:00:49.520]  其中的第26節
[00:00:49.520 --> 00:00:52.520]  第一章26節
[00:00:52.520 --> 00:00:55.680]  保羅說:我照著神為你們
[00:00:55.680 --> 00:00:58.200]  而賜給我管家的積分
[00:00:58.200 --> 00:01:00.200]  作祖教會的瀑葉
[00:01:00.200 --> 00:01:02.200]  要把神的道
[00:01:02.200 --> 00:01:05.880]  就是歷世歷代隱藏的奧秘
[00:01:05.880 --> 00:01:07.480]  傳得完備
[00:01:07.480 --> 00:01:11.760]  現在這奧秘已經向他的眾聖徒顯明了
[00:01:11.760 --> 00:01:12.720]  27節
[00:01:12.720 --> 00:01:15.720]  神願意使他們知道
[00:01:15.720 --> 00:01:20.280]  這奧秘在外族人中有多麼榮耀的豐盛
[00:01:20.280 --> 00:01:21.320]  這奧秘
[00:01:21.320 --> 00:01:24.520]  就是基督在你們裏面
[00:01:24.520 --> 00:01:27.200]  成了榮耀的盼望
[00:01:28.200 --> 00:01:30.360]  這兩節經文講述一件事情
[00:01:30.360 --> 00:01:32.360]  就是有一個奧秘
[00:01:32.360 --> 00:01:35.760]  這個奧秘不是我們現在一般人所說
[00:01:35.760 --> 00:01:39.200]  一些好像很虛無飄渺的故事
[00:01:39.200 --> 00:01:41.200]  聖經說這個奧秘
[00:01:41.200 --> 00:01:44.320]  是在歷世歷代好像是隱藏著
[00:01:44.320 --> 00:01:47.720]  或者說是神的一些計劃
[00:01:47.720 --> 00:01:50.200]  是暫時未讓人知道的
[00:01:50.200 --> 00:01:55.480]  但這個計劃關乎到一個極重要的人類的永恆
[00:01:55.920 --> 00:01:58.440]  因此在適當的時候
[00:01:58.440 --> 00:02:01.520]  神就讓這個奧秘顯明出來
[00:02:01.520 --> 00:02:04.000]  或者說是在舊恩時代
[00:02:04.000 --> 00:02:07.360]  神讓這個奧秘顯明給我們知道
[00:02:07.360 --> 00:02:12.640]  而本來就是立志要把這個奧秘傳得完備
[00:02:12.640 --> 00:02:15.760]  或者我們問這個奧秘是甚麼呢?
[00:02:15.760 --> 00:02:18.000]  聖經在27節剛才讀的時候
[00:02:18.000 --> 00:02:19.040]  你會看到
[00:02:19.040 --> 00:02:23.440]  聖經說這奧秘就是基督在你們裏面
[00:02:24.000 --> 00:02:26.400]  成了榮耀的盼望
[00:02:26.400 --> 00:02:31.320]  耶穌基督在我們裏面成為榮耀的盼望
[00:02:31.320 --> 00:02:34.400]  或者說這個奧秘可以分開兩件事情
[00:02:34.400 --> 00:02:38.320]  第一就是耶穌基督在你們裏面
[00:02:38.320 --> 00:02:42.080]  這位天地的主 榮耀的上帝
[00:02:42.080 --> 00:02:44.680]  祂進入你們生命中
[00:02:44.680 --> 00:02:47.440]  第二因為祂在你們裏面
[00:02:47.440 --> 00:02:51.880]  成為了你們永遠的榮耀的盼望
[00:02:52.200 --> 00:02:55.600]  你對你的人生不再是無望的
[00:02:55.600 --> 00:02:57.600]  不再是沒有方向的
[00:02:57.600 --> 00:02:59.680]  而是你知道在將來
[00:02:59.680 --> 00:03:02.600]  神給你有榮耀的盼望
[00:03:02.600 --> 00:03:08.840]  我記得有一次參加一個在外國的研討會
[00:03:08.840 --> 00:03:10.520]  他們用一個題目
[00:03:10.520 --> 00:03:12.200]  這個題目是英文說
[00:03:12.200 --> 00:03:15.320]  Christ in you
[00:03:15.320 --> 00:03:18.000]  Hope of glory
[00:03:18.000 --> 00:03:20.720]  正正是在講述這個奧秘
[00:03:21.800 --> 00:03:23.720]  耶穌基督在你們裏面
[00:03:23.720 --> 00:03:26.200]  是一個極其偉大的奧秘
[00:03:26.200 --> 00:03:28.080]  第一次每你讀聖經的時候
[00:03:28.080 --> 00:03:28.880]  讀到詩篇
[00:03:28.880 --> 00:03:30.160]  詩篇之人就說
[00:03:30.160 --> 00:03:33.600]  「他人算甚麼 你竟眷顧他」
[00:03:33.600 --> 00:03:36.400]  世人算甚麼呢
[00:03:36.400 --> 00:03:37.800]  神眷顧我們
[00:03:37.800 --> 00:03:39.360]  祂怎樣眷顧我們呢
[00:03:39.360 --> 00:03:42.640]  就是讓祂自己進入我們生命中
[00:03:42.640 --> 00:03:46.160]  所以你記得當主耶穌離開世界的時候
[00:03:46.160 --> 00:03:48.040]  祂就告訴我們
[00:03:48.240 --> 00:03:49.800]  祂說我要求父
[00:03:49.800 --> 00:03:53.920]  父就賜給你們另一位保衛師
[00:03:53.920 --> 00:03:57.480]  大家知道保衛師的意思是在講聖靈
[00:03:57.480 --> 00:04:01.200]  而保衛師的意思是在講一位被召
[00:04:01.200 --> 00:04:04.320]  來到我們旁邊幫助我們的意思
[00:04:04.320 --> 00:04:09.480]  因為保衛師是耶穌基督以外的另一位
[00:04:09.480 --> 00:04:11.120]  但祂來到的時候
[00:04:11.120 --> 00:04:13.880]  聖經就說要永遠與我們同在
[00:04:15.560 --> 00:04:18.960]  並不是說耶穌因此沒有跟我們一起
[00:04:18.960 --> 00:04:21.400]  而是主耶穌藉著聖靈
[00:04:21.400 --> 00:04:24.200]  在我們生命當中與我們同在
[00:04:24.200 --> 00:04:26.800]  因此三位一體的真神
[00:04:26.800 --> 00:04:30.280]  藉著耶穌基督進入我們生命當中
[00:04:30.280 --> 00:04:33.880]  我們與神有永恆的同在
[00:04:33.880 --> 00:04:36.280]  當我們思想的時候
[00:04:36.280 --> 00:04:38.200]  我們會發覺聖經裡講述到的
[00:04:38.200 --> 00:04:40.160]  這是一個奧秘
[00:04:40.160 --> 00:04:44.480]  當所羅門在建築聖殿的時候
[00:04:44.880 --> 00:04:46.880]  他建了一個很宏偉的聖殿
[00:04:46.880 --> 00:04:49.120]  但建造聖殿之後
[00:04:49.120 --> 00:04:51.880]  他也會有很深刻的感動
[00:04:51.880 --> 00:04:53.560]  就是他告訴神
[00:04:53.560 --> 00:04:56.080]  「神啊 天和天上的天
[00:04:56.080 --> 00:04:58.240]  尚且不足以你居住
[00:04:58.240 --> 00:05:02.160]  但你竟然樂意住在聖殿當中」
[00:05:02.160 --> 00:05:04.480]  同樣對我們基督徒來說
[00:05:04.480 --> 00:05:06.680]  我們領受了神給我們的救恩之餘
[00:05:06.680 --> 00:05:07.960]  有沒有想過
[00:05:07.960 --> 00:05:10.440]  竟然一位天地的上帝
[00:05:10.440 --> 00:05:14.240]  祂願意進入你的生命當中與你同在
