
[00:00:00.000 --> 00:00:07.120]  我非常地寶貴這兩個星期的時間
[00:00:07.120 --> 00:00:14.260]  能夠和各位弟兄姊妹彼此的勉勵
[00:00:14.260 --> 00:00:18.920]  求主保守我們愛主的心
[00:00:18.920 --> 00:00:21.420]  侍奉主的心
[00:00:21.420 --> 00:00:25.840]  和見證主的心
[00:00:25.840 --> 00:00:29.740]  今天早上我要傳的信息
[00:00:29.740 --> 00:00:34.940]  是耶穌基督生命的改造者
[00:00:34.940 --> 00:00:39.940]  在聖經裏面
[00:00:39.940 --> 00:00:44.980]  我們看見主耶穌改變了很多人的生命
[00:00:44.980 --> 00:00:48.780]  我要提出四類的人
[00:00:48.780 --> 00:00:52.820]  他們都是得到主改變了他們的人生
[00:00:52.820 --> 00:01:01.300]  每一類的人
[00:01:01.300 --> 00:01:07.540]  我要提一個人做代表
[00:01:07.540 --> 00:01:13.060]  今天早上我們一同在聖經裏看這方面的信息
[00:01:13.060 --> 00:01:21.460]  我們先低頭祈禱
[00:01:21.460 --> 00:01:25.460]  天父我們感謝你將耶穌基督賜給我們
[00:01:25.460 --> 00:01:27.260]  做我們的救主
[00:01:27.260 --> 00:01:30.900]  做我們的道路真理生命
[00:01:30.900 --> 00:01:32.820]  我們在基督的裏面
[00:01:32.820 --> 00:01:37.900]  真是找到了我們的內心深處所最需要的
[00:01:37.900 --> 00:01:42.060]  是我們有心靈的滿足喜樂安息
[00:01:42.060 --> 00:01:44.580]  也是我們看見人生的道路
[00:01:44.580 --> 00:01:49.700]  我們看見人生的目標意義歸屬
[00:01:49.700 --> 00:01:56.500]  我們在基督裏看見了我們父神的一切的傭媒彰顯出來
[00:01:56.500 --> 00:01:58.460]  所以我們今天早上要看
[00:01:58.460 --> 00:02:02.980]  我們的主在世的時候如何改變了人生
[00:02:02.980 --> 00:02:04.260]  我們看的時候
[00:02:04.260 --> 00:02:09.580]  我們願意從其中得到提醒得到幫助得到造就
[00:02:09.580 --> 00:02:12.020]  求你幫助你的兩個孩子
[00:02:12.020 --> 00:02:14.660]  把你的信息傳達的清楚
[00:02:14.660 --> 00:02:16.860]  我們一同領受
[00:02:16.860 --> 00:02:20.260]  我們這樣的禱告奉祝耶穌基督的生命
[00:02:20.260 --> 00:02:22.260]  阿們
[00:02:22.260 --> 00:02:31.700]  我要提到四類的人被主改變人生
[00:02:31.700 --> 00:02:33.700]  第一類的人
[00:02:33.700 --> 00:02:37.580]  就是功利主義者
[00:02:37.580 --> 00:02:39.780]  第二類的人
[00:02:39.780 --> 00:02:43.180]  享樂主義者
[00:02:43.180 --> 00:02:45.100]  第三類的人
[00:02:45.100 --> 00:02:48.300]  宗教主義者
[00:02:48.300 --> 00:02:50.300]  第四類的人
[00:02:50.300 --> 00:02:53.940]  暴力主義者
[00:02:53.940 --> 00:02:58.500]  我們每一類舉一個例子
[00:02:58.500 --> 00:02:59.980]  第一類
[00:02:59.980 --> 00:03:02.820]  功利主義者
[00:03:02.820 --> 00:03:06.700]  例子就是殺該
[00:03:06.700 --> 00:03:12.700]  請大家再翻回我們讀過的經文
[00:03:12.700 --> 00:03:16.940]  《路加福音》第19章
[00:03:16.940 --> 00:03:18.780]  第一節到第十節
[00:03:18.780 --> 00:03:20.220]  一到十節
[00:03:20.220 --> 00:03:23.660]  在這裡我們看見一個人
[00:03:23.660 --> 00:03:25.580]  叫殺該
[00:03:25.580 --> 00:03:28.260]  他是一個怎樣的人呢?
[00:03:28.260 --> 00:03:33.540]  第二節有一個很簡明的介紹
[00:03:33.540 --> 00:03:38.540]  很簡短但很值得我們注意
[00:03:38.540 --> 00:03:40.420]  第二節
[00:03:40.420 --> 00:03:44.340]  他要看見耶穌有一個人名叫殺該
[00:03:44.340 --> 00:03:47.460]  作稅吏長是個財主
[00:03:47.460 --> 00:03:49.860]  殺該是個稅吏長
[00:03:49.860 --> 00:03:51.860]  殺該是一個稅吏長
[00:03:51.860 --> 00:03:55.860]  今天的話來講就是稅官主任
