
[00:00:00.000 --> 00:00:02.000]  當我們說到崇拜的時候
[00:00:02.000 --> 00:00:05.680]  或者很多時候我們都會問一個基本的問題
[00:00:05.680 --> 00:00:07.520]  崇拜是什麼呢?
[00:00:07.520 --> 00:00:10.480]  究竟崇拜有什麼意義呢?
[00:00:10.480 --> 00:00:15.680]  為什麼我們每個主日會來教會敬拜神呢?
[00:00:15.680 --> 00:00:18.000]  或者簡單來說
[00:00:18.000 --> 00:00:19.760]  我們說到崇拜的時候
[00:00:19.760 --> 00:00:25.680]  崇拜就是人與神相遇相會的時間
[00:00:25.680 --> 00:00:28.720]  人神一段相會的時間
[00:00:29.280 --> 00:00:30.800]  在這段時間裡面
[00:00:30.800 --> 00:00:33.360]  人去承認這位上帝
[00:00:33.360 --> 00:00:35.520]  祂的確是天地的主
[00:00:35.520 --> 00:00:37.040]  祂是大君王
[00:00:37.040 --> 00:00:39.360]  因此將敬拜
[00:00:39.360 --> 00:00:43.360]  神當得的敬拜和讚美獻呈給神
[00:00:43.360 --> 00:00:45.680]  在獻呈的過程當中
[00:00:45.680 --> 00:00:48.000]  人聽到神的話
[00:00:48.000 --> 00:00:50.000]  而去聽從
[00:00:50.000 --> 00:00:52.720]  在聽從的過程裡面
[00:00:52.720 --> 00:00:54.880]  去更加的認識神
[00:00:54.880 --> 00:00:57.360]  或者說更加像神
[00:00:58.160 --> 00:00:59.680]  在整個過程裡面
[00:00:59.680 --> 00:01:03.920]  好像一段很自然的生命轉化的過程
[00:01:03.920 --> 00:01:06.320]  但卻是一種很寶貴
[00:01:06.320 --> 00:01:10.480]  是人神一種生命的會合、會面的時間
[00:01:10.480 --> 00:01:14.000]  當我們很多時候來到神的殿當中敬拜的時候
[00:01:14.000 --> 00:01:16.960]  不是一個好像循例的活動
[00:01:16.960 --> 00:01:19.520]  而是每一次帶著一種期待
[00:01:19.520 --> 00:01:21.520]  一種更新的心
[00:01:21.520 --> 00:01:24.000]  很想能夠去見神
[00:01:24.000 --> 00:01:27.520]  很想能夠將敬拜獻給祂
[00:01:27.920 --> 00:01:29.280]  當然當大家讀聖經的時候
[00:01:29.280 --> 00:01:31.520]  你會發覺聖經也會常常提到
[00:01:31.520 --> 00:01:34.320]  有些人當他向神敬拜
[00:01:34.320 --> 00:01:37.280]  或者說獻祭給上帝的時候
[00:01:37.280 --> 00:01:38.640]  獻祭
[00:01:38.640 --> 00:01:44.080]  一方面好像是一種對神的尊崇
[00:01:44.080 --> 00:01:47.520]  但日常的生活行為卻是得罪神
[00:01:47.520 --> 00:01:49.920]  好像我們今天讀的《熱狀亞書》的第一章
[00:01:49.920 --> 00:01:51.200]  就不斷提到
[00:01:51.200 --> 00:01:53.680]  有些人當他們獻祭給神的時候
[00:01:53.680 --> 00:01:56.480]  一邊獻祭但一邊犯罪
[00:01:57.120 --> 00:01:58.640]  所以神就告訴他們
[00:01:58.640 --> 00:02:01.440]  我厭煩你們的獻祭
[00:02:01.440 --> 00:02:04.480]  我憎惡你們的敬拜
[00:02:04.480 --> 00:02:08.560]  有些時候我們敬拜神的時候
[00:02:08.560 --> 00:02:11.040]  我們很想能夠與神會面
[00:02:11.040 --> 00:02:13.920]  但同時很留心著
[00:02:13.920 --> 00:02:17.920]  自己所敬拜的一位天地的大君王
[00:02:17.920 --> 00:02:21.360]  小心獻上是神喜悅的敬拜
[00:02:21.360 --> 00:02:23.760]  免得我們敬拜的時候
[00:02:23.760 --> 00:02:27.200]  神會告訴我們我厭煩你們的敬拜
[00:02:27.200 --> 00:02:28.640]  所以我們要留心
[00:02:28.640 --> 00:02:31.760]  如何能夠明白敬拜的意思
[00:02:31.760 --> 00:02:33.200]  又真是靠著神
[00:02:33.200 --> 00:02:35.360]  獻上神喜悅的敬拜
[00:02:35.360 --> 00:02:37.600]  因此我們今天從一個敬拜的角度
[00:02:37.600 --> 00:02:39.440]  去思想這段經文
[00:02:39.440 --> 00:02:41.040]  也讓我們看到
[00:02:41.040 --> 00:02:44.560]  在當以塞亞見到神的呼召的時候
[00:02:44.560 --> 00:02:47.760]  裡面有很多很重要的崇拜要素
