
[00:00:00.000 --> 00:00:02.000]  今天和大家思想的題目是
[00:00:02.000 --> 00:00:05.000]  甘願貧窮叫人富足
[00:00:05.000 --> 00:00:08.000]  我剛剛這個星期有幾天去了菲律賓
[00:00:08.000 --> 00:00:10.000]  來做一些培訓的工作
[00:00:10.000 --> 00:00:13.000]  在當中遇到我們教會的底任主任牧師
[00:00:13.000 --> 00:00:15.000]  梁德仁牧師
[00:00:15.000 --> 00:00:17.000]  在當中我和他分享聊天的時候
[00:00:17.000 --> 00:00:20.000]  知道他現在都差不多八十多歲
[00:00:20.000 --> 00:00:23.000]  在過程當中我再想起過去他的一些事情
[00:00:23.000 --> 00:00:27.000]  牧師1990年在美國的華人
[00:00:27.000 --> 00:00:30.000]  紐約華人宣道會退休之後
[00:00:30.000 --> 00:00:32.000]  他就立刻申請參會
[00:00:32.000 --> 00:00:35.000]  就去到南美繼續他的服事
[00:00:35.000 --> 00:00:37.000]  六十多歲的一個長者
[00:00:37.000 --> 00:00:40.000]  他就開始他的宣教的生活
[00:00:40.000 --> 00:00:42.000]  在南美的蘇聯南
[00:00:42.000 --> 00:00:45.000]  他開始了第一間當地的華人教會
[00:00:45.000 --> 00:00:47.000]  在蘇聯南服事的時候
[00:00:47.000 --> 00:00:49.000]  他常常掛念在旁邊一個地方
[00:00:49.000 --> 00:00:53.000]  叫做佳欣一個法屬的國家
[00:00:53.000 --> 00:00:55.000]  當地一間的華人教會都沒有
[00:00:55.000 --> 00:00:57.000]  也有很多華人
[00:00:57.000 --> 00:00:59.000]  因為他們地方比較富裕
[00:00:59.000 --> 00:01:02.000]  很多華人想在那個地方做踏腳石
[00:01:02.000 --> 00:01:04.000]  再申請去美國
[00:01:04.000 --> 00:01:06.000]  因此過去有幾年時間
[00:01:06.000 --> 00:01:08.000]  他就參選了
[00:01:08.000 --> 00:01:09.000]  也自己參與了
[00:01:09.000 --> 00:01:12.000]  總共有十三次的斷宣隊去佳欣的地方
[00:01:12.000 --> 00:01:14.000]  一二三年之後
[00:01:14.000 --> 00:01:19.000]  1993年佳欣開設了第一間華人宣道會
[00:01:19.000 --> 00:01:21.000]  然後他似乎心裏面仍向神求
[00:01:21.000 --> 00:01:23.000]  求神給他更大恩典
[00:01:23.000 --> 00:01:26.000]  以至可以繼續開展宣教的工作
[00:01:26.000 --> 00:01:30.000]  因此陸續在跟著的不同的年代
[00:01:30.000 --> 00:01:33.000]  在危地馬拉和在委內瑞拉
[00:01:33.000 --> 00:01:36.000]  開始了其他的華人宣道會
[00:01:36.000 --> 00:01:39.000]  大概在1997、98年的時候
[00:01:39.000 --> 00:01:43.000]  他聽到在巴拿馬有一個2000、2000的運動
[00:01:43.000 --> 00:01:45.000]  當地華人教會很弱
[00:01:45.000 --> 00:01:47.000]  因此他希望在2000年的時候
[00:01:47.000 --> 00:01:49.000]  有2000個信徒
[00:01:49.000 --> 00:01:51.000]  當梁牧師兄聽到這個消息的時候
[00:01:51.000 --> 00:01:54.000]  他上去上面看當地的情況
