
[00:00:00.000 --> 00:00:05.600]  這次我回到北宣家
[00:00:05.600 --> 00:00:13.180]  我非常珍貴這三天晚上的聚會
[00:00:13.180 --> 00:00:23.400]  能夠和主所愛的弟兄姊妹在一起彼此的勉勵
[00:00:23.400 --> 00:00:27.320]  我心裏懇切地禱告
[00:00:27.320 --> 00:00:31.480]  求主向我們講話
[00:00:31.480 --> 00:00:38.040]  讓主的話進到我們的心裏面
[00:00:38.040 --> 00:00:42.360]  今天晚上我要傳的信息
[00:00:42.360 --> 00:00:46.560]  就是奉獻的生命
[00:00:46.560 --> 00:00:50.280]  我希望今天在這裏的所有弟兄姊妹
[00:00:50.280 --> 00:00:52.640]  都把自己獻給主
[00:00:52.640 --> 00:01:00.440]  我希望在這裏只有三種的人
[00:01:00.440 --> 00:01:04.160]  第一種
[00:01:04.160 --> 00:01:10.400]  今天晚上第一次把自己獻給主
[00:01:10.400 --> 00:01:12.760]  第二種
[00:01:12.760 --> 00:01:20.040]  今天晚上重新把自己獻給主
[00:01:20.040 --> 00:01:28.160]  第三種人就是繼續的奉獻給主
[00:01:28.160 --> 00:01:31.120]  過去已經奉獻了
[00:01:31.120 --> 00:01:34.480]  現在繼續奉獻
[00:01:34.480 --> 00:01:39.000]  我希望在我們當中沒有第四種人
[00:01:39.000 --> 00:01:44.160]  都是奉獻給主的人
[00:01:44.160 --> 00:01:49.840]  剛才施班唱的詩很寶貴
[00:01:49.840 --> 00:01:55.920]  向主的心聲說:我願意
[00:01:55.920 --> 00:01:57.920]  主啊 我願意
[00:01:57.920 --> 00:02:05.280]  最後一句話:忠心愛主
[00:02:05.280 --> 00:02:11.040]  我們今天晚上每一個人從心裏對著說:我願意
[00:02:11.040 --> 00:02:18.440]  我願意忠心地愛主到底
[00:02:18.440 --> 00:02:21.760]  我願意忠心地愛主到底
[00:02:21.760 --> 00:02:25.480]  什麼叫奉獻呢?
[00:02:25.480 --> 00:02:31.120]  奉獻就是把自己放在祭壇上為主而活
[00:02:31.120 --> 00:02:40.200]  在祭壇上讓我們的生命為主燃燒
[00:02:40.200 --> 00:02:46.160]  為什麼我們要奉獻自己呢?
[00:02:46.160 --> 00:02:48.920]  為什麼我們要奉獻自己呢?
[00:02:48.920 --> 00:02:51.880]  只有一個動力
[00:02:51.880 --> 00:03:00.320]  就是我們看見主為我們走上祭壇
[00:03:00.320 --> 00:03:03.960]  祂為了我們把祂自己放在祭壇上
[00:03:03.960 --> 00:03:10.680]  祂在那裏為我們犧牲、為我們燃燒
[00:03:10.680 --> 00:03:13.600]  祂在那裏為我們犧牲、為我們燃燒
[00:03:13.600 --> 00:03:16.960]  我們被這個愛感動
[00:03:16.960 --> 00:03:19.800]  我們被這個愛吸引
[00:03:19.800 --> 00:03:22.560]  我們被這個愛激勵
[00:03:22.560 --> 00:03:29.640]  我們也願意和主一同走上祭壇
[00:03:29.640 --> 00:03:37.280]  所以在祭壇上我們看見主和我們同在
[00:03:37.280 --> 00:03:43.280]  在祭壇上這邊是主這邊是我們
[00:03:43.280 --> 00:03:49.920]  主的奉獻激勵了我們也奉獻
[00:03:49.920 --> 00:03:56.480]  我們和主一起來奉獻
[00:03:56.480 --> 00:04:01.400]  當我們為主燃燒的時候
[00:04:01.400 --> 00:04:04.280]  我們看見一個異象
[00:04:04.280 --> 00:04:11.280]  就是當日摩西看見的異象
[00:04:11.280 --> 00:04:18.360]  就是剛才葛弟兄為我們讀的那段經文
[00:04:18.360 --> 00:04:21.920]  《古埃及記》第三章
[00:04:21.920 --> 00:04:24.480]  1至6節
[00:04:24.480 --> 00:04:28.960]  在那裏摩西看見這個異象
[00:04:28.960 --> 00:04:33.560]  荊棘被火燃燒
[00:04:33.560 --> 00:04:36.600]  卻沒有燒毀
[00:04:36.600 --> 00:04:38.960]  意思就是說繼續燃燒
[00:04:38.960 --> 00:04:43.280]  這個異象有兩個意思
[00:04:43.280 --> 00:04:49.160]  第一個意思是關於以色列人的
[00:04:49.160 --> 00:04:53.120]  這個火代表試煉
[00:04:53.120 --> 00:04:56.480]  荊棘代表以色列人
[00:04:56.480 --> 00:05:01.360]  他們在如火的試煉中
[00:05:01.360 --> 00:05:05.640]  得到神的保守
[00:05:05.640 --> 00:05:08.320]  沒有毀滅
[00:05:08.320 --> 00:05:09.800]  沒有毀滅
[00:05:09.800 --> 00:05:12.120]  還有第二個意思
[00:05:12.120 --> 00:05:15.960]  是關於摩西個人的
[00:05:15.960 --> 00:05:19.200]  摩西為神燃燒
[00:05:19.200 --> 00:05:22.600]  他的生命在祭壇上
[00:05:22.600 --> 00:05:25.080]  為神燃燒
[00:05:25.080 --> 00:05:28.120]  燒而不回
[00:05:28.120 --> 00:05:32.440]  神供應他燃燒的力量
[00:05:32.440 --> 00:05:35.080]  他繼續燃燒
[00:05:35.080 --> 00:05:37.600]  一直到底
[00:05:37.600 --> 00:05:42.480]  四十年為神燃燒
[00:05:42.480 --> 00:05:44.960]  神保守他
[00:05:44.960 --> 00:05:47.280]  神供應他
[00:05:47.280 --> 00:05:51.360]  使他的燃燒不停止
[00:05:51.360 --> 00:05:56.160]  他的愛主的心沒有燒盡
[00:05:56.160 --> 00:05:59.720]  他的忠心沒有燒盡
[00:05:59.720 --> 00:06:03.080]  他的熱心沒有燒盡
[00:06:03.080 --> 00:06:08.120]  他繼續為神燃燒
[00:06:08.120 --> 00:06:11.720]  當我們走上祭壇的時候
[00:06:11.720 --> 00:06:15.840]  我們也要看見這個異象
[00:06:15.840 --> 00:06:19.720]  我們一起為神燃燒
[00:06:19.720 --> 00:06:22.320]  燒而不回
[00:06:22.320 --> 00:06:24.720]  繼續地燃燒
