
[00:00:00.000 --> 00:00:02.840]  很開心能夠和大家一起敬拜
[00:00:02.840 --> 00:00:08.340]  我知道在座也有一些像我一樣在做療程的人
[00:00:08.340 --> 00:00:10.140]  所以我們見到面的時候
[00:00:10.140 --> 00:00:12.040]  我見到你,你也見到我
[00:00:12.040 --> 00:00:16.000]  那種感恩就是心裏感受到
[00:00:16.000 --> 00:00:19.440]  多謝大家一直的關心和支持
[00:00:19.440 --> 00:00:22.640]  我們但願我們時常都將我們的焦點
[00:00:22.640 --> 00:00:27.080]  放在我們同一位的耶穌基督的身上
[00:00:27.080 --> 00:00:31.960]  最近香港也有很多颱風,也很厲害
[00:00:31.960 --> 00:00:38.680]  在風暴當中,我們也感受到那些電源是很重要的
[00:00:38.680 --> 00:00:42.960]  原來在城市當中,很多重要的系統
[00:00:42.960 --> 00:00:47.800]  和那些電源都是有後備電的
[00:00:47.800 --> 00:00:50.880]  其實教會也有,不知道你家裏面
[00:00:50.880 --> 00:00:53.240]  或者你知不知道其實手機也有
[00:00:53.240 --> 00:00:58.040]  當你打出一些緊急的電話,原來是可以的
[00:00:58.040 --> 00:01:02.840]  我們試想一下,其實我們生命裏面也已經很奇妙
[00:01:02.840 --> 00:01:07.440]  因為我們生命裏面有一個系統是會不停的
[00:01:07.440 --> 00:01:12.760]  當我們試一下將手放在我們的胸口上
[00:01:12.760 --> 00:01:17.800]  你會感受到那個心臟的跳動
[00:01:17.800 --> 00:01:20.680]  這種跳動是很有節奏
[00:01:20.680 --> 00:01:24.520]  竟然是由我們出生一直到現在
[00:01:24.520 --> 00:01:29.520]  你將你的年紀套進去,它運作了多少年
[00:01:29.520 --> 00:01:33.240]  竟然是這樣不停的跳動
[00:01:33.240 --> 00:01:36.920]  我最近也是一直檢查自己的身體各樣的機械
[00:01:36.920 --> 00:01:41.400]  所以更加感受到上帝創造的奇妙
[00:01:41.400 --> 00:01:47.400]  上帝的永能和神聖是明明可以知道的
[00:01:47.400 --> 00:01:49.680]  我們看到祂所創造的天地
[00:01:49.680 --> 00:01:52.320]  和在我們生命的深處
[00:01:52.320 --> 00:01:55.800]  都能夠了解和看到
[00:01:55.800 --> 00:01:59.560]  今天跟大家分享到這個人物
[00:01:59.560 --> 00:02:02.520]  彩雲篇,來到十四講了
[00:02:02.520 --> 00:02:04.240]  真的很親切
[00:02:04.240 --> 00:02:07.280]  是一個紮根在香港的
[00:02:07.280 --> 00:02:11.680]  成長和維生在香港的一個人物蘇恩佩
[00:02:11.680 --> 00:02:15.880]  也是我生命裏面一個非常重要的影響
[00:02:15.880 --> 00:02:18.080]  她一定能夠深深的感受到
[00:02:18.080 --> 00:02:24.560]  因為她是時刻在死亡邊緣的一個信徒
