
[00:00:00.000 --> 00:00:04.000]  我們今天思想的就是神使用禱告的人
[00:00:04.000 --> 00:00:08.400]  很多時候我們都會很想在禱告當中建立與神密切的關係
[00:00:08.400 --> 00:00:10.600]  這方面是非常重要
[00:00:10.600 --> 00:00:14.800]  但同時我們經常看到神常常使用禱告的人
[00:00:14.800 --> 00:00:17.400]  成就很奇妙的事
[00:00:17.400 --> 00:00:20.800]  很多時候我們以為神使用的是站在前線
[00:00:20.800 --> 00:00:23.000]  或站在港台的人
[00:00:23.000 --> 00:00:24.800]  神先使用他們
[00:00:24.800 --> 00:00:27.400]  但歷史當中我們看到有很多的教徒
[00:00:27.400 --> 00:00:31.000]  他們被神使用是因為他們祈禱
[00:00:31.000 --> 00:00:34.400]  神使用他們禱告成就很多奇妙的事情
[00:00:34.400 --> 00:00:38.400]  亦都很多時候用他們在禱告過程當中
[00:00:38.400 --> 00:00:42.400]  感動他們去造成很多意想不到的事情
[00:00:42.400 --> 00:00:45.000]  因此我們今天思想《十行傳》第十章
[00:00:45.000 --> 00:00:47.000]  是講到兩個很重要的人物
[00:00:47.000 --> 00:00:50.000]  一個是彼得,一個是哥利林
[00:00:50.000 --> 00:00:54.000]  他們所做的事情是一件極其重要的事情
[00:00:54.000 --> 00:00:58.000]  甚至可以說是劃時代的大事
[00:00:58.000 --> 00:01:01.800]  《十行傳》十章記載有哥利留信主
[00:01:01.800 --> 00:01:04.000]  亦在聖經裏清楚記載
[00:01:04.000 --> 00:01:09.600]  第一個正式受洗歸入主名下的愛邦人
[00:01:09.600 --> 00:01:12.400]  而他家中信主的一班親友
[00:01:12.400 --> 00:01:17.600]  亦都是第一群信主的愛邦人,非猶太人
[00:01:17.600 --> 00:01:19.400]  而因為他們的開始
[00:01:19.400 --> 00:01:22.400]  今天你和我,全世界很多的愛邦人
[00:01:22.400 --> 00:01:26.400]  非猶太人都領受了神的救恩
[00:01:26.400 --> 00:01:29.400]  因此第十章是一章極其重要的聖經
[00:01:29.400 --> 00:01:30.800]  告訴我們知道
[00:01:30.800 --> 00:01:35.400]  神如何用兩個很全心禱告的人
[00:01:35.400 --> 00:01:37.400]  成就了奇妙的事情
[00:01:37.400 --> 00:01:39.800]  因此我們分別思想這兩位弟兄
[00:01:39.800 --> 00:01:42.000]  帶給我們的提醒和鼓勵
[00:01:42.000 --> 00:01:46.400]  我們先看第十章第一節第二節
[00:01:46.400 --> 00:01:49.400]  聖經提到哥利留是一個虔誠的人
[00:01:49.400 --> 00:01:52.400]  聖經說在凱撒利亞有一個人名叫哥利留
[00:01:52.400 --> 00:01:55.400]  是意大利營的白夫長
[00:01:55.400 --> 00:01:57.400]  他是一個虔誠人
[00:01:57.400 --> 00:01:59.400]  他和他全家都敬畏神
[00:01:59.400 --> 00:02:03.400]  多多周濟百姓,常常禱告神
[00:02:03.400 --> 00:02:07.400]  大家會留意到凱撒利亞是一個很重要的城市
[00:02:07.400 --> 00:02:11.400]  是當時猶太省的一個首府
[00:02:11.400 --> 00:02:13.400]  亦是羅馬很多兵兵的駐防城
[00:02:13.400 --> 00:02:16.400]  隔著海邊一個好的海港
[00:02:16.400 --> 00:02:20.400]  很多官兵在那裏生活駐防
[00:02:20.400 --> 00:02:24.400]  其中一個叫哥利留,是一個白夫長
[00:02:24.400 --> 00:02:27.400]  大家知道白夫長管理多少人
[00:02:27.400 --> 00:02:30.400]  很明顯100個兵
[00:02:30.400 --> 00:02:32.400]  是有地位的一個軍官
[00:02:32.400 --> 00:02:37.400]  但聖經特別強調的是他是一個虔誠人
[00:02:37.400 --> 00:02:39.400]  他敬虔,敬畏神
[00:02:39.400 --> 00:02:42.400]  不單止他和他全家都敬畏神
[00:02:42.400 --> 00:02:44.400]  很明顯他影響了他的家人
[00:02:44.400 --> 00:02:46.400]  全家都敬畏神
[00:02:46.400 --> 00:02:49.400]  或者可以相信當時的哥利留
[00:02:49.400 --> 00:02:52.400]  是接受耶和華上帝
[00:02:52.400 --> 00:02:56.400]  以猶太人所信的天地的主為他的神
[00:02:56.400 --> 00:02:59.400]  亦都在會堂參與敬拜
[00:02:59.400 --> 00:03:03.400]  他都是研讀律法書認識聖經的人
[00:03:03.400 --> 00:03:06.400]  當時他未曾認識耶穌基督的福音
[00:03:06.400 --> 00:03:12.400]  但聖經就說他是周濟百姓常常禱告神
[00:03:12.400 --> 00:03:15.400]  大家特別留心他的禱告是怎樣的
[00:03:15.400 --> 00:03:18.400]  是常常禱告的
[00:03:18.400 --> 00:03:22.400]  我們都知道我們可以隨時隨地禱告
[00:03:22.400 --> 00:03:24.400]  我們今個月的金句你會留意到
[00:03:24.400 --> 00:03:30.400]  靠著聖命隨時多方禱告祈求
[00:03:30.400 --> 00:03:32.400]  任何時間你都可以祈禱
[00:03:32.400 --> 00:03:35.400]  你行路的時候想起一些很重要的事情
[00:03:35.400 --> 00:03:38.400]  可以簡單向神來禱告
[00:03:38.400 --> 00:03:41.400]  當然你要打開眼睛祈禱
[00:03:41.400 --> 00:03:43.400]  你行路的時候你起身的時候
[00:03:43.400 --> 00:03:45.400]  你任何情況都可以祈禱
[00:03:45.400 --> 00:03:50.400]  但並不表示你不需要一段穩定的時間
[00:03:50.400 --> 00:03:56.400]  安靜地在密室或者一些安靜的環境祈禱
[00:03:56.400 --> 00:03:59.400]  有一個固定的時間常常禱告
[00:03:59.400 --> 00:04:05.400]  你才能夠有一種意識隨時向神請求呼求
[00:04:05.400 --> 00:04:08.400]  如果你不能夠有穩定的每一天的禱告
[00:04:08.400 --> 00:04:15.400]  你都難以去有一種警覺隨時多方禱告祈求
[00:04:15.400 --> 00:04:17.400]  所以當時曾經被我們看到有些人
[00:04:17.400 --> 00:04:19.400]  特別是這位白夫長
[00:04:19.400 --> 00:04:22.400]  他在一個時候向神禱告
[00:04:22.400 --> 00:04:24.400]  大家留心到是什麼時候
[00:04:24.400 --> 00:04:27.400]  在第三節在新初
[00:04:27.400 --> 00:04:30.400]  新初是當時下午三時
[00:04:30.400 --> 00:04:36.400]  猶太人他們的習慣是早上和下午都會獻祭
[00:04:36.400 --> 00:04:39.400]  在獻祭的同時他們會向神祈禱
[00:04:39.400 --> 00:04:44.400]  因此新初的禱告是他們習慣禱告的時刻
[00:04:44.400 --> 00:04:46.400]  哥尼劉也用這個時間
[00:04:46.400 --> 00:04:50.400]  相信他每一天都集中一兩段時段
[00:04:50.400 --> 00:04:52.400]  特別是向神禱告
[00:04:52.400 --> 00:04:54.400]  當時曾經告訴他
[00:04:54.400 --> 00:04:58.400]  有一位使者告訴哥尼劉
[00:04:58.400 --> 00:04:59.400]  哥尼劉當時很害怕
[00:04:59.400 --> 00:05:00.400]  不知道發生什麼事情
[00:05:00.400 --> 00:05:02.400]  但使者告訴他
[00:05:02.400 --> 00:05:06.400]  在第四節的中間
[00:05:06.400 --> 00:05:08.400]  使者說天使說
[00:05:08.400 --> 00:05:10.400]  你的禱告和你的州祭
