
[00:00:00.000 --> 00:00:02.000]  (字幕:張超)
[00:00:02.000 --> 00:00:07.000]  有一個信徒
[00:00:07.000 --> 00:00:09.000]  回完教會
[00:00:09.000 --> 00:00:11.000]  和團契一起去喝茶
[00:00:11.000 --> 00:00:15.000]  去到茶樓等了很久都沒有位置
[00:00:15.000 --> 00:00:19.000]  後來有一班人又來了
[00:00:19.000 --> 00:00:21.000]  誰知他們遲來才上岸
[00:00:21.000 --> 00:00:22.000]  才拿了桌子
[00:00:22.000 --> 00:00:24.000]  有沒有搞錯?
[00:00:24.000 --> 00:00:26.000]  好了,有桌子了
[00:00:26.000 --> 00:00:28.000]  坐下了
[00:00:28.000 --> 00:00:30.000]  選了什麼菜,什麼點心
[00:00:30.000 --> 00:00:33.000]  拿好紙張,請請請
[00:00:33.000 --> 00:00:37.000]  很久都沒有人來,收了單
[00:00:37.000 --> 00:00:40.000]  終於有個侍應很不情願地
[00:00:40.000 --> 00:00:41.000]  望了一眼之後
[00:00:41.000 --> 00:00:44.000]  要過來拿點菜單
[00:00:44.000 --> 00:00:45.000]  拿進廚房
[00:00:45.000 --> 00:00:47.000]  過了十分鐘
[00:00:47.000 --> 00:00:50.000]  有第一道菜到了
[00:00:50.000 --> 00:00:51.000]  再過了十分鐘
[00:00:51.000 --> 00:00:54.000]  第二道菜還沒有到
[00:00:54.000 --> 00:00:58.000]  再追問,為什麼這麼久?
[00:00:58.000 --> 00:01:00.000]  漏單
[00:01:00.000 --> 00:01:03.000]  有沒有搞錯?
[00:01:03.000 --> 00:01:07.000]  其中一個信徒忍耐不住
[00:01:07.000 --> 00:01:08.000]  對著侍應說
[00:01:08.000 --> 00:01:10.000]  你們有沒有搞錯?
[00:01:10.000 --> 00:01:11.000]  這樣做生意的?
[00:01:11.000 --> 00:01:15.000]  一邊說一邊不停罵他
[00:01:15.000 --> 00:01:20.000]  之後還覺得忿忿不平
[00:01:20.000 --> 00:01:21.000]  叫經理來
[00:01:21.000 --> 00:01:22.000]  又叫經理來
[00:01:22.000 --> 00:01:24.000]  又罵罵罵
[00:01:24.000 --> 00:01:25.000]  還是覺得不夠
[00:01:25.000 --> 00:01:26.000]  吃完飯回去
