
[00:00:00.000 --> 00:00:06.000]  好,姐妹平安,我們今天一起思想神話語
[00:00:06.000 --> 00:00:10.000]  今天是6月1日,一個特別的日子
[00:00:10.000 --> 00:00:14.000]  因為6月是我們堂慶,30週年
[00:00:14.000 --> 00:00:21.000]  昨晚才想到,6月1日對我個人來說是一個特別的日子
[00:00:21.000 --> 00:00:23.000]  因為我是6月1日入職的
[00:00:23.000 --> 00:00:27.000]  第二天就去飲酒了
[00:00:27.000 --> 00:00:32.000]  因為5週年堂慶是星期五晚來的
[00:00:32.000 --> 00:00:37.000]  在海兒半島當時的酒樓
[00:00:37.000 --> 00:00:42.000]  現在已經改了,總之那裡擺酒,晚宴
[00:00:42.000 --> 00:00:49.000]  所以很記得,6月的日子
[00:00:49.000 --> 00:00:53.000]  今天跟大家分享的時候
[00:00:53.000 --> 00:00:58.000]  跟我們三天後的靜日,聯合崇拜
[00:00:58.000 --> 00:01:01.000]  這個堂慶的崇拜就在22號安排
[00:01:01.000 --> 00:01:04.000]  所以我們就叫做堂慶月
[00:01:04.000 --> 00:01:08.000]  整個月都可以分享一些回顧也好,感恩也好
[00:01:08.000 --> 00:01:11.000]  所以今天的訊息都在安排上
[00:01:11.000 --> 00:01:16.000]  思想我們教會在設立的時間
[00:01:16.000 --> 00:01:19.000]  地上的目的、意義
[00:01:19.000 --> 00:01:22.000]  我們再反思究竟30年過去了
[00:01:22.000 --> 00:01:24.000]  是一個怎樣的想法呢?
[00:01:24.000 --> 00:01:27.000]  先說30是什麼概念對你來說?
[00:01:27.000 --> 00:01:30.000]  30歲的時候你在想什麼呢?
[00:01:30.000 --> 00:01:33.000]  假設你已經過了30歲
[00:01:33.000 --> 00:01:36.000]  或者你還沒到,你也想一下
[00:01:36.000 --> 00:01:39.000]  30歲的時候在想什麼呢?可能太遠了,忘記了
[00:01:39.000 --> 00:01:42.000]  或者很可能一般就開始工作
[00:01:42.000 --> 00:01:45.000]  人生有些閱歷
[00:01:45.000 --> 00:01:47.000]  理論成熟了一些
[00:01:47.000 --> 00:01:51.000]  又進入了新的未知階段
[00:01:51.000 --> 00:01:57.000]  有些興奮、緊張,但又有些擔心
[00:01:57.000 --> 00:02:01.000]  成熟了,但又經歷多了,看的東西多了
[00:02:01.000 --> 00:02:07.000]  多了一些智慧,但又可能少了一份冒險和憧憬
[00:02:07.000 --> 00:02:11.000]  不知道哪些適合可以堂的狀況呢?
[00:02:11.000 --> 00:02:17.000]  可能都是值得轉字頭的月年份去思考一下
[00:02:17.000 --> 00:02:19.000]  聖經又怎樣說呢?
[00:02:19.000 --> 00:02:24.000]  特別從耶穌基督的福音的即時
[00:02:24.000 --> 00:02:27.000]  我們的思想教會存在的目的
[00:02:27.000 --> 00:02:31.000]  合理來說可以堂多少年呢?30年
[00:02:31.000 --> 00:02:36.000]  但我經常去想,應該廣義去思考
[00:02:36.000 --> 00:02:44.000]  2000加30,2000就是耶穌基督來設立教會到現在
[00:02:44.000 --> 00:02:47.000]  應該還超過,多過
[00:02:47.000 --> 00:02:50.000]  因為我們的教會不是獨立
