
[00:00:00.000 --> 00:00:04.480]  在今天讀完經文 耶穌講了兩個比喻
[00:00:04.480 --> 00:00:10.320]  這兩個比喻其實都是關於禱告的內容
[00:00:10.320 --> 00:00:14.720]  但其實耶穌在這裡不是教我們
[00:00:14.720 --> 00:00:20.240]  用什麼方法祈禱就可以上帝聽
[00:00:20.240 --> 00:00:23.840]  不是 其實第一個比喻的焦點
[00:00:23.840 --> 00:00:27.280]  是放在耶穌基督的「再來」那裡
[00:00:27.280 --> 00:00:32.080]  究竟耶穌終極的審判降臨之先
[00:00:32.080 --> 00:00:36.240]  究竟我們應該要存著什麼態度
[00:00:36.240 --> 00:00:38.480]  去等待著耶穌的「再來」
[00:00:38.480 --> 00:00:42.480]  等待著上帝終極的審判的降臨呢?
[00:00:42.480 --> 00:00:46.480]  所以耶穌不是在說上帝的「覺」何時來到
[00:00:46.480 --> 00:00:48.560]  《巴利初人》問的問題就是
[00:00:48.560 --> 00:00:50.320]  上帝的「覺」何時來到呢?
[00:00:50.320 --> 00:00:53.120]  但耶穌的回應就是
[00:00:53.120 --> 00:00:56.720]  祂沒有說上帝的「覺」或上帝公爺的審判何時來到
[00:00:56.720 --> 00:00:59.040]  祂只是問一個問題
[00:00:59.040 --> 00:01:01.840]  究竟上帝的「覺」來到的時候
[00:01:01.840 --> 00:01:07.200]  你們有沒有份在上帝的「覺」的因典當中呢?
[00:01:07.200 --> 00:01:10.320]  究竟你們有沒有已經預備好
[00:01:10.320 --> 00:01:15.040]  等待著上帝的「覺」的公義審判的降臨呢?
[00:01:15.040 --> 00:01:17.280]  當在面對困難挑戰的時候
[00:01:17.280 --> 00:01:19.920]  我們是否仍然會持守信仰
[00:01:19.920 --> 00:01:23.760]  持守著一個仰望上帝
[00:01:23.760 --> 00:01:26.960]  等待上帝公義審判降臨的心呢?
[00:01:26.960 --> 00:01:29.760]  其實耶穌是在問這個問題
[00:01:29.760 --> 00:01:31.760]  在第十八章第一節說
[00:01:31.760 --> 00:01:33.120]  耶穌似一個比喻
[00:01:33.120 --> 00:01:36.800]  「與人常常禱告,不可灰心」
[00:01:36.800 --> 00:01:38.800]  在這裡其實耶穌的意思
[00:01:38.800 --> 00:01:41.840]  是要讓人藉著祈禱
[00:01:41.840 --> 00:01:47.680]  去等待著上帝降臨的那一刻
[00:01:47.680 --> 00:01:51.440]  上帝公義的審判何時降臨我們不知道
[00:01:51.440 --> 00:01:54.400]  但是要禱告、警醒的心
[00:01:54.400 --> 00:01:56.000]  因為在禱告當中
[00:01:56.000 --> 00:01:59.440]  人更加容易警醒著
[00:01:59.440 --> 00:02:03.360]  耶穌基督的審判必定會再來
[00:02:03.360 --> 00:02:07.600]  這是耶穌在這裡很強調的內容
[00:02:07.600 --> 00:02:09.360]  所以祂用了一個比喻去說
[00:02:09.360 --> 00:02:11.120]  祂說有一個官
[00:02:11.120 --> 00:02:16.480]  這個官用了兩個重複的字眼形容
[00:02:16.480 --> 00:02:21.360]  這個官本來在地上應該是代表公義的地位
[00:02:21.360 --> 00:02:24.160]  和他應該是一個施行公義審判的人
[00:02:24.160 --> 00:02:26.080]  但是這個官是一個什麼官呢?
[00:02:26.080 --> 00:02:28.320]  說到他不懼怕上帝
[00:02:28.320 --> 00:02:30.320]  他也不尊重世人
[00:02:30.320 --> 00:02:32.720]  重複形容這個官的特性
[00:02:32.720 --> 00:02:35.280]  他有一個不懼怕上帝
[00:02:35.280 --> 00:02:38.560]  也不尊重世人的一個人的官
[00:02:38.560 --> 00:02:44.800]  然後有一個寡婦有冤希望去申訴
[00:02:44.800 --> 00:02:49.280]  但是這個官因為他不懼怕上帝
