
[00:00:00.000 --> 00:00:04.560]  今天我們身處一個動盪不安失控的年代
[00:00:04.560 --> 00:00:13.040]  世界已經縮小成為一個村落的環境
[00:00:13.040 --> 00:00:18.840]  在地球一端所發生的事
[00:00:18.840 --> 00:00:23.640]  很自然就牽扯到另外地球一端人的情緒
[00:00:23.640 --> 00:00:30.880]  沒有人可以置身於道外
[00:00:30.880 --> 00:00:33.840]  其實很多年前
[00:00:33.840 --> 00:00:37.600]  我在我退休之後的那段日子裏面
[00:00:37.600 --> 00:00:42.160]  有一次被馬來西亞的神學院
[00:00:42.160 --> 00:00:44.160]  是衛理工會的神學院
[00:00:44.160 --> 00:00:47.920]  邀請我去對一班資深的牧師
[00:00:47.920 --> 00:00:52.520]  他們會長、主任牧師教科的博士班的課程
[00:00:52.520 --> 00:00:55.080]  有一次馬來西亞衛理工會的神學院
[00:00:55.080 --> 00:00:59.560]  邀請我到當地去教授資深牧師長老
[00:00:59.560 --> 00:01:02.200]  他們一些神學的課程
[00:01:02.200 --> 00:01:05.880]  過了兩天
[00:01:05.880 --> 00:01:07.600]  我休息我就突然收到
[00:01:07.600 --> 00:01:11.120]  在手機裏面收到兩個消息
[00:01:11.120 --> 00:01:13.840]  是令我心裏面情緒一沉的
[00:01:13.840 --> 00:01:16.200]  我在手機收到了兩個信息
[00:01:16.200 --> 00:01:18.600]  令我心情為之沉
[00:01:18.600 --> 00:01:23.040]  第一個就是剛才我們已經介紹過
[00:01:23.040 --> 00:01:26.960]  萊特牧師的上一任創辦人
[00:01:26.960 --> 00:01:29.080]  就是斯托德牧師
[00:01:29.080 --> 00:01:34.640]  (廣東話)
[00:01:34.640 --> 00:01:36.000]  我收到的消息是說
[00:01:36.000 --> 00:01:39.400]  剛剛離世歸主回到榮耀天父那裏
[00:01:39.400 --> 00:01:42.960]  (廣東話)
[00:01:42.960 --> 00:01:46.360]  作為他機構所創辦的一個童工
[00:01:46.360 --> 00:01:48.440]  心裏面當然很不舒服
[00:01:48.440 --> 00:01:52.760]  (廣東話)
[00:01:52.760 --> 00:01:54.840]  只能夠交託楊王主
[00:01:54.840 --> 00:01:57.760]  楊主在這個時間對他的家人
[00:01:57.760 --> 00:01:59.320]  他沒有家庭的
[00:01:59.320 --> 00:02:00.720]  他沒有妻子
[00:02:00.720 --> 00:02:02.720]  一生都是獨生侍奉神
[00:02:02.720 --> 00:02:07.240]  (廣東話)
[00:02:07.240 --> 00:02:09.760]  這個牽扯到我的情緒突然間沉下去
[00:02:09.760 --> 00:02:11.400]  (廣東話)
[00:02:11.400 --> 00:02:13.960]  這個消息是從英國發出來的
[00:02:13.960 --> 00:02:15.280]  (廣東話)
[00:02:15.280 --> 00:02:17.560]  但我當時身在馬來西亞
[00:02:17.560 --> 00:02:19.200]  (廣東話)
[00:02:19.200 --> 00:02:21.480]  另一個消息傳來是
[00:02:21.480 --> 00:02:23.800]  中國溫州裏面一列火車
[00:02:23.800 --> 00:02:25.480]  橋斷了
[00:02:25.480 --> 00:02:29.840]  很多列車撞了地下
[00:02:29.840 --> 00:02:31.200]  大家記得的嗎?
[00:02:31.200 --> 00:02:40.040]  (廣東話)
[00:02:40.040 --> 00:02:42.640]  這個又是令到我心裏面一沉的
[00:02:42.640 --> 00:02:44.880]  (廣東話)
[00:02:44.880 --> 00:02:48.840]  我會想有沒有我認識的溫州弟兄姊妹在裏面
[00:02:48.840 --> 00:02:52.640]  (廣東話)
[00:02:52.640 --> 00:02:56.560]  後來我再以史後再查到真的有
[00:02:56.560 --> 00:02:57.920]  (廣東話)
[00:02:57.920 --> 00:02:59.800]  差不多全島人都死了
[00:02:59.800 --> 00:03:02.280]  (廣東話)
[00:03:02.280 --> 00:03:04.800]  這個就是今天世界所發生的事
[00:03:04.800 --> 00:03:06.360]  立刻我們就知道了
[00:03:06.360 --> 00:03:09.320]  (廣東話)
[00:03:09.320 --> 00:03:12.840]  因為科技發達已經遠超任何的時代
[00:03:12.840 --> 00:03:15.120]  (廣東話)
[00:03:15.120 --> 00:03:18.880]  人隨時可以透過手機互聯網絡
[00:03:18.880 --> 00:03:21.880]  步入一個大家可以互相聯繫的
[00:03:21.880 --> 00:03:24.480]  這種所謂溝通的裏面
[00:03:24.480 --> 00:03:30.160]  (廣東話)
[00:03:30.160 --> 00:03:32.960]  信息是傳得非常飛快
[00:03:32.960 --> 00:03:34.320]  (廣東話)
[00:03:34.320 --> 00:03:36.520]  但很多事情是
[00:03:36.520 --> 00:03:39.720]  世界有時都沒有辦法去控制
[00:03:39.720 --> 00:03:41.760]  (廣東話)
[00:03:41.760 --> 00:03:45.240]  你面對這些環境不能受控的時候
[00:03:45.240 --> 00:03:49.040]  你都一時之間不知所措
[00:03:49.040 --> 00:03:52.240]  (廣東話)
[00:03:52.240 --> 00:03:55.560]  心理的狀態會在諸多的壓力困擾底下
[00:03:55.560 --> 00:03:58.640]  陷入各樣恐懼的當中
[00:03:58.640 --> 00:04:02.120]  (廣東話)
[00:04:02.120 --> 00:04:06.120]  有一次幾年前我去寧波教書的時候
[00:04:06.120 --> 00:04:07.760]  我一飛機下去
[00:04:07.760 --> 00:04:10.640]  同工安排了我進入房間
[00:04:10.640 --> 00:04:13.360]  (廣東話)
[00:04:13.360 --> 00:04:15.840]  下了飛機就被安排進入房間
[00:04:15.840 --> 00:04:17.400]  但手機響了
[00:04:17.400 --> 00:04:18.800]  (廣東話)
[00:04:18.800 --> 00:04:20.720]  我的兒子打電話給我
[00:04:20.720 --> 00:04:22.080]  (廣東話)
[00:04:22.080 --> 00:04:23.760]  媽媽跌倒了
[00:04:23.760 --> 00:04:24.600]  (廣東話)
[00:04:24.600 --> 00:04:27.400]  現在我們送她去東區醫院
[00:04:27.400 --> 00:04:29.200]  (廣東話)
[00:04:29.200 --> 00:04:31.920]  我當時心裏面是怎麽想的
[00:04:31.920 --> 00:04:34.680]  (廣東話)
[00:04:34.680 --> 00:04:36.880]  你都很明白我的心情
[00:04:36.880 --> 00:04:38.600]  (廣東話)
[00:04:38.600 --> 00:04:41.600]  但我剛剛飛到我不可以立刻走
[00:04:41.600 --> 00:04:44.840]  (廣東話)
[00:04:44.840 --> 00:04:49.040]  我一定要完成教學的責任才能離開
[00:04:49.040 --> 00:04:51.480]  (廣東話)
[00:04:51.480 --> 00:04:55.400]  但非常擔心我親愛的太太的情況
