
[00:00:00.000 --> 00:00:05.720]  事實上我們今天所思想的這一個詩篇46篇
[00:00:05.720 --> 00:00:09.840]  就是在說倚靠主的人所得到的福氣
[00:00:09.840 --> 00:00:12.880]  那些倚靠主的人在詩篇46篇說
[00:00:12.880 --> 00:00:17.560]  雖然是大海奔騰澎湃
[00:00:17.560 --> 00:00:19.560]  山都搖動
[00:00:19.560 --> 00:00:22.840]  但我心也不害怕
[00:00:22.840 --> 00:00:24.840]  這個是祝福,是嗎?
[00:00:24.840 --> 00:00:26.440]  詩篇46篇也都說到說
[00:00:26.440 --> 00:00:33.000]  縱然刀柱刀兵,刀光劍影,被人圍困
[00:00:33.000 --> 00:00:36.120]  但我心可以休息
[00:00:36.120 --> 00:00:40.960]  因為我知道神的作為是什麼
[00:00:40.960 --> 00:00:43.800]  我想這是一個很適合我們在香港
[00:00:43.800 --> 00:00:47.400]  在現代人那種每天在緊張
[00:00:47.400 --> 00:00:52.360]  在患得患失,被受攻擊的生活當中
[00:00:52.360 --> 00:00:55.000]  實在是一個很大的祝福
[00:00:55.000 --> 00:00:57.120]  我希望我們今天每一個頂姐妹
[00:00:57.120 --> 00:00:58.640]  或者你不相信神的人
[00:00:58.640 --> 00:00:59.880]  你今天坐在這裏的時候
[00:00:59.880 --> 00:01:01.720]  我相信神有個意思叫你坐在這裏
[00:01:01.720 --> 00:01:04.200]  看看為什麼在神的裏面
[00:01:04.200 --> 00:01:06.200]  可以有這樣的祝福
[00:01:06.200 --> 00:01:09.320]  正是我們渴慕已久的祝福
[00:01:09.320 --> 00:01:11.320]  一切變幻當中
[00:01:11.320 --> 00:01:13.320]  我們裏面有平安
[00:01:13.320 --> 00:01:16.320]  我時常都說
[00:01:16.320 --> 00:01:20.320]  有很多人在很平安的環境裏面
[00:01:20.320 --> 00:01:23.320]  他心是很不平安,很不安的那種情感
[00:01:23.320 --> 00:01:26.320]  相反有些人在很不安全的地方
[00:01:26.320 --> 00:01:28.920]  但心裏面是很有安全感的
[00:01:28.920 --> 00:01:32.920]  安全的環境和安全感是兩回事
[00:01:32.920 --> 00:01:37.920]  正如有錢和滿足是兩回事
[00:01:37.920 --> 00:01:40.920]  我們今天一齊打開詩篇46篇
[00:01:40.920 --> 00:01:43.920]  我們一齊看神自己寶貴的話
[00:01:43.920 --> 00:01:47.920]  詩篇46篇剛才我們讀過一次了
[00:01:47.920 --> 00:01:49.920]  我們也不在這裏再讀了
[00:01:49.920 --> 00:01:53.920]  你看詩篇46篇就感覺到
[00:01:53.920 --> 00:01:55.920]  應該是有些背景的
[00:01:55.920 --> 00:01:57.920]  因為他裏面說的一些說話
[00:01:57.920 --> 00:01:59.920]  當然是有些意思
[00:01:59.920 --> 00:02:02.920]  第四節說有一道河
[00:02:02.920 --> 00:02:07.920]  流入神的城
[00:02:07.920 --> 00:02:09.920]  就是指耶路撒冷
