
[00:00:00.000 --> 00:00:05.800]  羅馬書是史陀保羅所寫的書
[00:00:05.800 --> 00:00:15.560]  很多學者都說這本書不單止是史陀保羅整本聖經的66卷書
[00:00:15.560 --> 00:00:17.280]  最重要的是哪一卷書呢?
[00:00:17.280 --> 00:00:19.280]  很多人都認為是羅馬書
[00:00:19.280 --> 00:00:21.000]  是很值得我們去思考的
[00:00:21.000 --> 00:00:24.160]  因為羅馬書改變了很多人的生命
[00:00:24.160 --> 00:00:34.960]  包括第四世紀的奧古斯丁
[00:00:34.960 --> 00:00:36.240]  不知道大家聽過沒有
[00:00:36.240 --> 00:00:38.240]  他研讀了羅馬書之後
[00:00:38.240 --> 00:00:42.160]  寫了他的懺悔
[00:00:42.160 --> 00:00:45.440]  改革中1517年
[00:00:45.440 --> 00:00:47.440]  改革的運動開始
[00:00:47.440 --> 00:00:49.440]  我們知道是馬丁路德
[00:00:49.440 --> 00:00:54.480]  但他在1515至16年自己研讀羅馬書
[00:00:54.480 --> 00:01:02.080]  特別是一章17節讀到神可以改變自己的生命
[00:01:02.080 --> 00:01:05.120]  從此就展開了改革的運動
[00:01:05.120 --> 00:01:09.400]  之後約翰韋斯利
[00:01:09.400 --> 00:01:11.400]  巡禮會的創辦人
[00:01:11.400 --> 00:01:18.080]  也是因著研讀了馬丁路德羅馬書的引言而改變了自己的生命
[00:01:18.080 --> 00:01:21.160]  他說感受到一份溫暖充滿了他的心
[00:01:21.160 --> 00:01:26.920]  很希望他能夠繼續展開巡禮會的聖潔運動
[00:01:26.920 --> 00:01:29.920]  羅馬書這本書
[00:01:29.920 --> 00:01:31.920]  我又按不到
[00:01:31.920 --> 00:01:39.840]  羅馬書這本書分為兩大部分
[00:01:39.840 --> 00:01:42.720]  1至11章 12至16章
[00:01:42.720 --> 00:01:49.000]  1至11章是說神的憤怒臨在所有罪人身上
[00:01:49.000 --> 00:01:52.000]  神是公義聖潔的神
[00:01:52.000 --> 00:01:54.000]  看到世人都犯了罪
[00:01:54.000 --> 00:01:56.000]  所以神的憤怒臨在
[00:01:56.000 --> 00:01:58.400]  同時另外一面是
[00:01:58.400 --> 00:02:05.520]  神的公義、憐憫、愛臨在蒙恩的罪人身上
[00:02:05.520 --> 00:02:07.520]  所以有憤怒
[00:02:07.520 --> 00:02:09.520]  有神的義臨在
[00:02:09.520 --> 00:02:11.520]  這些東西是如何構成的?
[00:02:11.520 --> 00:02:17.280]  如何將神的屬性和公義臨在罪人身上?
[00:02:17.280 --> 00:02:20.280]  羅馬書三章24至26節
[00:02:20.280 --> 00:02:21.280]  是透過甚麼呢?
[00:02:21.280 --> 00:02:23.280]  神設立了一個挽回制
[00:02:23.280 --> 00:02:25.280]  透過耶穌基督的血
[00:02:25.280 --> 00:02:26.280]  恩著人的信
[00:02:26.280 --> 00:02:28.280]  為要成就神的義
[00:02:28.280 --> 00:02:34.280]  所以整本聖經指向耶穌基督為核心
[00:02:34.280 --> 00:02:41.280]  如何去成就神從創世以先所設立的救贖計劃
[00:02:41.280 --> 00:02:43.280]  在這裏我們知道
[00:02:43.280 --> 00:02:46.280]  在11章最後的四節經文
[00:02:46.280 --> 00:02:49.280]  33至36節是一個哆嗦的主題
[00:02:49.280 --> 00:02:50.280]  三一頌
[00:02:50.280 --> 00:02:57.280]  是說將尊貴榮耀歸給滿有智慧、滿有能力的神
[00:02:57.280 --> 00:02:59.280]  因為每一個人都會想到
[00:02:59.280 --> 00:03:02.280]  無論是猶太人、愛邦人
[00:03:02.280 --> 00:03:05.280]  都可以因著耶穌基督而蒙恩得救
[00:03:05.280 --> 00:03:07.280]  所以神的智慧就是這樣
[00:03:07.280 --> 00:03:11.280]  如果要總結羅馬書頭十一章
[00:03:11.280 --> 00:03:13.280]  有四節經文值得我們思考
[00:03:13.280 --> 00:03:14.280]  我都說過了
[00:03:14.280 --> 00:03:16.280]  不過再重溫
[00:03:16.280 --> 00:03:18.280]  四節經文都是講述了
[00:03:18.280 --> 00:03:22.280]  或者說整本聖經想說甚麼
[00:03:22.280 --> 00:03:24.280]  羅馬書三章23節
[00:03:24.280 --> 00:03:28.280]  世人因為犯了罪
[00:03:28.280 --> 00:03:30.280]  而規決了神的榮耀
[00:03:30.280 --> 00:03:32.280]  神原本是榮耀的上帝
[00:03:32.280 --> 00:03:33.280]  創造天地萬有
[00:03:33.280 --> 00:03:34.280]  應該人去認識他
[00:03:34.280 --> 00:03:36.280]  尊崇他、敬拜他
[00:03:36.280 --> 00:03:38.280]  但因為遲早犯罪
[00:03:38.280 --> 00:03:40.280]  所以世人都犯了罪
[00:03:40.280 --> 00:03:41.280]  規決了
[00:03:41.280 --> 00:03:44.280]  達不到或者不能夠滿足
[00:03:44.280 --> 00:03:46.280]  去認識神
[00:03:46.280 --> 00:03:48.280]  去到榮耀神
[00:03:48.280 --> 00:03:53.280]  接著就是六章23節的羅馬書
[00:03:53.280 --> 00:03:56.280]  罪的功架就是死
[00:03:56.280 --> 00:04:00.280]  所以我們要面對死的審判
[00:04:00.280 --> 00:04:02.280]  每一個人都是
[00:04:02.280 --> 00:04:04.280]  不過我們要知道
[00:04:04.280 --> 00:04:05.280]  在死亡當中
[00:04:05.280 --> 00:04:07.280]  好像很絕望的時候
[00:04:07.280 --> 00:04:09.280]  有一線曙光出現
[00:04:09.280 --> 00:04:10.280]  就是神預備的曙光
[00:04:10.280 --> 00:04:12.280]  羅馬書五章八節
[00:04:12.280 --> 00:04:17.280]  唯有基督在我們還作罪人的時候
[00:04:17.280 --> 00:04:19.280]  為我們死
[00:04:19.280 --> 00:04:21.280]  從此神的愛
[00:04:21.280 --> 00:04:23.280]  就再次向我們顯現
[00:04:23.280 --> 00:04:25.280]  所以當我們明白到十字架
[00:04:25.280 --> 00:04:28.280]  為什麼基督教除了聖誕節
[00:04:28.280 --> 00:04:30.280]  復活節也是一個盼望的記號
[00:04:30.280 --> 00:04:33.280]  羞辱但是榮耀的記號
[00:04:33.280 --> 00:04:36.280]  受苦但是也是復活的記號
[00:04:36.280 --> 00:04:37.280]  讓我們知道
[00:04:37.280 --> 00:04:39.280]  唯有在耶穌基督裡
