
[00:00:00.000 --> 00:00:07.000]  今天我們繼續地查考《聖經》《新約》《七十路》的寶貴的信息
[00:00:07.000 --> 00:00:10.000]  這是第八講
[00:00:10.000 --> 00:00:13.000]  今天我們要查考的題目是
[00:00:13.000 --> 00:00:15.000]  七十路里面
[00:00:15.000 --> 00:00:18.000]  撒旦的七個名字
[00:00:18.000 --> 00:00:20.000]  撒旦也就是魔鬼
[00:00:20.000 --> 00:00:24.000]  七個名字代表它的七種的作爲
[00:00:24.000 --> 00:00:27.000]  撒旦是可怕的
[00:00:27.000 --> 00:00:31.000]  撒旦也是在人類中間
[00:00:31.000 --> 00:00:35.000]  引誘人犯罪、作惡、墮落的
[00:00:35.000 --> 00:00:38.000]  我們對撒旦的認識
[00:00:38.000 --> 00:00:41.000]  與我們的靈性有密切的關係
[00:00:41.000 --> 00:00:44.000]  這是孰靈的知識和智慧
[00:00:44.000 --> 00:00:48.000]  我們可以從七十路里面來領受
[00:00:48.000 --> 00:00:50.000]  撒旦的第一個名字
[00:00:50.000 --> 00:00:53.000]  是在第十二章第九節
[00:00:53.000 --> 00:00:57.000]  十二章第九節
[00:00:57.000 --> 00:00:59.000]  我要讀給大家聽
[00:00:59.000 --> 00:01:02.000]  大龍就是那孤蛇
[00:01:02.000 --> 00:01:05.000]  這裏提到龍
[00:01:05.000 --> 00:01:08.000]  這是魔鬼的第一個名字
[00:01:08.000 --> 00:01:11.000]  龍在七十路里面
[00:01:11.000 --> 00:01:15.000]  代表一種神祕的能力
[00:01:15.000 --> 00:01:18.000]  我們和龍作戰
[00:01:18.000 --> 00:01:21.000]  所以我們必須很小心
[00:01:21.000 --> 00:01:23.000]  我們憑着自己的力量
[00:01:23.000 --> 00:01:26.000]  我們不能夠勝過這龍
[00:01:26.000 --> 00:01:29.000]  所以我們必須穿戴
[00:01:29.000 --> 00:01:32.000]  神所賜給我們的全服的軍裝
[00:01:32.000 --> 00:01:36.000]  這就是在《伊夫所書》第六章
[00:01:36.000 --> 00:01:38.000]  所告訴我們的
[00:01:38.000 --> 00:01:41.000]  在那裏提到軍裝的
[00:01:41.000 --> 00:01:44.000]  七樣的裝備
[00:01:44.000 --> 00:01:47.000]  我現在要讀給大家聽
[00:01:47.000 --> 00:01:49.000]  我們每一個人要知道
[00:01:49.000 --> 00:01:52.000]  神已經爲我們預備了軍裝
[00:01:52.000 --> 00:01:54.000]  既然已經爲我們預備了
[00:01:54.000 --> 00:01:57.000]  我們就應該穿戴起來
