
[00:00:00.000 --> 00:00:04.000]  今晚我們一起思想《馬拉基書》第三講
[00:00:04.000 --> 00:00:07.800]  經文是在《馬拉基書》第二章
[00:00:07.800 --> 00:00:09.800]  今晚比較短的經文
[00:00:09.800 --> 00:00:14.600]  但裏面有很多很重要、很豐富的信息
[00:00:14.600 --> 00:00:18.300]  《馬拉基書》第二章我們看第十節
[00:00:18.300 --> 00:00:20.600]  到第十六節
[00:00:20.600 --> 00:00:23.200]  短短的七節聖經
[00:00:23.200 --> 00:00:28.300]  第十節至第十六節
[00:00:29.600 --> 00:00:31.200]  既然這麼短
[00:00:31.200 --> 00:00:33.300]  我們今天很多人行山了
[00:00:33.300 --> 00:00:34.600]  這麼夠氣
[00:00:34.600 --> 00:00:36.300]  一起讀好不好?
[00:00:36.300 --> 00:00:37.300]  一起讀
[00:00:37.300 --> 00:00:39.300]  不用開這麼大聲
[00:00:39.300 --> 00:00:40.800]  稍後你們就會後悔了
[00:00:40.800 --> 00:00:47.300]  第十節我們一起讀到第十六節
[00:00:47.300 --> 00:00:48.700]  我們一起來
[00:00:48.700 --> 00:00:52.800]  我們豈不是都是一位父嗎?
[00:00:52.800 --> 00:00:56.400]  豈不是一位神所做的嗎?
[00:00:56.700 --> 00:01:01.100]  我們各人怎麼以鬼詐待弟兄
[00:01:01.100 --> 00:01:06.200]  背棄了神與我們列祖所立的約呢?
[00:01:06.200 --> 00:01:09.500]  猶大人行事鬼詐
[00:01:09.500 --> 00:01:13.600]  並且在以色列和耶路撒冷中
[00:01:13.600 --> 00:01:16.200]  行一件可憎的事
[00:01:16.200 --> 00:01:22.100]  因為猶大人實屬耶和華所喜愛的聖潔
[00:01:22.600 --> 00:01:26.900]  取侍奉愛邦神的女子為妻
[00:01:26.900 --> 00:01:29.200]  凡行者時的
[00:01:29.200 --> 00:01:31.100]  無論何人
[00:01:31.100 --> 00:01:35.700]  就是天公物給萬君之耶和華
[00:01:35.700 --> 00:01:41.600]  耶和華也必從雅各的帳篷中剪除她
[00:01:41.600 --> 00:01:45.800]  你們又行了一件這樣的事
[00:01:45.800 --> 00:01:50.000]  使前妻嘆息哭泣的眼淚
[00:01:50.200 --> 00:01:53.000]  遮蓋耶和華的痕
[00:01:53.000 --> 00:01:57.600]  以至耶和華不再看顧共物
