
[00:00:00.000 --> 00:00:04.400]  我們今天繼續思想聖經有關主耶穌的比喻
[00:00:04.400 --> 00:00:09.300]  大家剛才讀經文會留意到我們今天所思想的
[00:00:09.300 --> 00:00:13.000]  會特別提到我們作為神的僕人
[00:00:13.000 --> 00:00:14.300]  我們的身份
[00:00:14.300 --> 00:00:16.700]  沒錯 每一個弟兄姊妹
[00:00:16.700 --> 00:00:19.000]  我們都是神的僕人
[00:00:19.000 --> 00:00:22.100]  我們都是一齊來侍奉祂
[00:00:22.100 --> 00:00:25.200]  但想到神的僕人之前
[00:00:25.200 --> 00:00:27.700]  我想我們大家一定會想到
[00:00:27.700 --> 00:00:33.300]  聖經清楚說 主耶穌祂成為了人的僕人
[00:00:33.300 --> 00:00:37.000]  菲律賓書二章我們熟悉的經文
[00:00:37.000 --> 00:00:38.600]  一路提醒我們
[00:00:38.600 --> 00:00:42.800]  提到一位主他本有神的形象
[00:00:42.800 --> 00:00:46.900]  卻不以與神同等為強奪的
[00:00:46.900 --> 00:00:49.800]  每見執著這個身份
[00:00:49.800 --> 00:00:55.000]  反倒虛己成了奴僕的形象
[00:00:56.900 --> 00:00:59.500]  這位主祂成為了奴僕
[00:00:59.500 --> 00:01:02.800]  當你再盡心想一想的時候
[00:01:02.800 --> 00:01:05.000]  你會覺得很不可思議
[00:01:05.000 --> 00:01:09.200]  怎麼可能這位創造天地的主
[00:01:09.200 --> 00:01:13.300]  永恆的上帝會成為人的奴僕
[00:01:13.300 --> 00:01:18.500]  我記得一位華人的目者
[00:01:18.500 --> 00:01:21.500]  他在美國服侍 講述他的經歷
[00:01:21.500 --> 00:01:25.300]  他提到他去到當地的黑人教會
[00:01:25.300 --> 00:01:28.300]  叫港道 間中也會被邀請去港道
[00:01:28.300 --> 00:01:30.300]  去到的時候很興奮
[00:01:30.300 --> 00:01:32.500]  因為黑人弟兄姊妹他們的表達
[00:01:32.500 --> 00:01:36.500]  很直接 很響亮的表達
[00:01:36.500 --> 00:01:39.200]  每一次當他講一句話的時候
[00:01:39.200 --> 00:01:41.400]  大家就會「Hallelujah」
[00:01:41.400 --> 00:01:42.900]  立刻就和應
[00:01:42.900 --> 00:01:44.900]  再說兩句「Amen」
[00:01:44.900 --> 00:01:46.900]  起初好像有點不習慣
[00:01:46.900 --> 00:01:49.700]  但慢慢發覺很可以與弟兄姊妹一起
[00:01:49.700 --> 00:01:51.300]  很同心地敬拜
[00:01:51.300 --> 00:01:54.700]  他說那次去港道的時候
[00:01:54.700 --> 00:01:57.700]  照常弟兄姊妹有很好的回應
[00:01:57.700 --> 00:01:59.700]  一邊講的時候
[00:01:59.700 --> 00:02:02.200]  他就提到菲律賓書第二章
[00:02:02.200 --> 00:02:06.200]  主耶穌為了愛我們的緣故
[00:02:06.200 --> 00:02:08.200]  成為了奴僕
[00:02:08.200 --> 00:02:10.700]  一講到那時候
[00:02:10.700 --> 00:02:14.200]  突然間發覺弟兄姊妹靜了
[00:02:14.200 --> 00:02:15.700]  沒有反應
[00:02:15.700 --> 00:02:18.200]  沒有「Hallelujah」 沒有「Amen」
[00:02:18.200 --> 00:02:21.700]  他很奇怪 是不是我說錯話了
[00:02:23.000 --> 00:02:26.000]  之後他問弟兄姊妹
[00:02:26.000 --> 00:02:29.000]  為甚麼你們剛才會這樣
[00:02:29.000 --> 00:02:31.000]  弟兄姊妹告訴他
[00:02:31.000 --> 00:02:35.000]  他說當你講到主耶穌成為了人的奴僕的時候
[00:02:35.000 --> 00:02:38.000]  我們有很多很多回憶
[00:02:38.000 --> 00:02:40.000]  因為他們的上一代
[00:02:40.000 --> 00:02:43.500]  他們的先輩很多都是做奴僕的
[00:02:43.500 --> 00:02:49.000]  而他們明白奴僕的身份是多麼淒慘的生活
[00:02:49.000 --> 00:02:51.000]  多受壓迫
[00:02:51.000 --> 00:02:53.000]  多少的捆綁
[00:02:53.000 --> 00:02:56.000]  是他們深刻親自的體會
[00:02:56.000 --> 00:02:59.000]  所以當他們一聽到
[00:02:59.000 --> 00:03:03.000]  聖經說主耶穌成為人的奴僕的時候
[00:03:03.000 --> 00:03:06.500]  他們是一時間難以接受
