
[00:00:00.000 --> 00:00:02.000]  「天父,我們恭敬在祢面前」
[00:00:02.000 --> 00:00:04.000]  「我們打開祢的華語」
[00:00:04.000 --> 00:00:08.000]  「願祢的靈在我們心中指教我們」
[00:00:08.000 --> 00:00:10.000]  「以致我們讀的,我們看的」
[00:00:10.000 --> 00:00:13.000]  「不單只是文字、說話」
[00:00:13.000 --> 00:00:16.000]  「而是祢自己寶貴華語的真光」
[00:00:16.000 --> 00:00:18.000]  「照亮我們的內心」
[00:00:18.000 --> 00:00:21.000]  「指引我們人生當走的路」
[00:00:21.000 --> 00:00:22.000]  「多謝祢」
[00:00:22.000 --> 00:00:25.000]  「祈禱奉主耶穌基督得聖名字祈求」
[00:00:25.000 --> 00:00:27.000]  「祢是我們人生的光芒」
[00:00:27.000 --> 00:00:29.000]  「祢是我們人生的光芒」
[00:00:29.000 --> 00:00:31.000]  「祈禱奉主耶穌基督得聖名字祈求」
[00:00:31.000 --> 00:00:33.000]  「阿們」
[00:00:33.000 --> 00:00:36.000]  現在以色列人有沒有得入迦南呢?
[00:00:36.000 --> 00:00:39.000]  你幫我讀第一節,33章第一節
[00:00:39.000 --> 00:00:40.000]  預備起
[00:00:40.000 --> 00:00:43.000]  「耶和華對方西斷」
[00:00:43.000 --> 00:00:47.000]  「幾和光速帶入地靈身在的人」
[00:00:47.000 --> 00:00:49.000]  「要離開這地裡」
[00:00:49.000 --> 00:00:52.000]  「想找神經起神經裡」
[00:00:52.000 --> 00:00:54.000]  「今晚打開堂」
[00:00:54.000 --> 00:00:56.000]  「是神馬不敵地裡」
[00:00:56.000 --> 00:01:00.000]  「我要拿下你的屍體」
[00:01:00.000 --> 00:01:02.000]  這裡說了
[00:01:02.000 --> 00:01:03.000]  去
[00:01:03.000 --> 00:01:04.000]  你們去吧
[00:01:04.000 --> 00:01:06.000]  去迦南地吧
[00:01:06.000 --> 00:01:09.000]  這裡就是上帝重申他之前答應的事
[00:01:09.000 --> 00:01:11.000]  他答應了阿伯拉罕
[00:01:11.000 --> 00:01:12.000]  答應了以撒
[00:01:12.000 --> 00:01:13.000]  答應了雅各
[00:01:13.000 --> 00:01:15.000]  會照做的
[00:01:15.000 --> 00:01:18.000]  他沒有因為以色列人所犯的錯
[00:01:18.000 --> 00:01:21.000]  取消他之前對列祖的應許
[00:01:21.000 --> 00:01:23.000]  但當你細心看的時候
[00:01:23.000 --> 00:01:24.000]  你會看見
[00:01:24.000 --> 00:01:26.000]  是有些不同的
