
[00:00:00.000 --> 00:00:06.120]  現在說到深層心理學和性靈的工作
[00:00:06.120 --> 00:00:09.600]  這是在我過去十年來都想解決的問題
[00:00:09.600 --> 00:00:12.420]  現在我不敢說我解決
[00:00:12.420 --> 00:00:17.080]  不過也算是一個中期報告
[00:00:17.080 --> 00:00:20.160]  算是有些總結
[00:00:20.160 --> 00:00:21.840]  對自己看了這麼多書
[00:00:21.840 --> 00:00:23.000]  我看了很多書
[00:00:23.000 --> 00:00:24.360]  不過不想告訴你多少本
[00:00:24.360 --> 00:00:25.840]  總之很多
[00:00:25.840 --> 00:00:28.920]  你會發覺我今天的筆記裡面
[00:00:28.920 --> 00:00:31.600]  講潛意識的部分是很多的
[00:00:31.600 --> 00:00:35.080]  你會說不用聽你說潛意識
[00:00:35.080 --> 00:00:36.560]  心理學的東西
[00:00:36.560 --> 00:00:39.080]  我有點不贊成
[00:00:39.080 --> 00:00:41.520]  因為在我看了這麼多書裡面
[00:00:41.520 --> 00:00:46.800]  似乎不是很多書對潛意識有一個全面的了解
[00:00:46.800 --> 00:00:48.320]  很多書講潛意識
[00:00:48.320 --> 00:00:49.720]  很多學派
[00:00:49.720 --> 00:00:52.440]  不下一百幾十個學派來看潛意識
[00:00:52.440 --> 00:00:54.760]  每個學派都看它一面
[00:00:54.760 --> 00:00:56.880]  我嘗試看完這麼多
[00:00:56.880 --> 00:01:03.240]  把它總合起來找出我自己一些所謂潛意識的藍圖和了解
[00:01:03.240 --> 00:01:06.160]  我相信我們中間有些人都是讀心理學的
[00:01:06.160 --> 00:01:07.320]  如果我說錯了
[00:01:07.320 --> 00:01:09.680]  請你幫我補充
[00:01:09.680 --> 00:01:10.800]  我始終覺得
[00:01:10.800 --> 00:01:11.880]  為什麼我寫這麼多
[00:01:11.880 --> 00:01:13.520]  第一對自己有一個總結
[00:01:13.520 --> 00:01:16.040]  第二我覺得應該有一些貢獻
[00:01:16.040 --> 00:01:17.920]  甚至在心理學的角度來說
[00:01:17.920 --> 00:01:20.560]  直到現在來說
[00:01:20.560 --> 00:01:22.080]  我可能還沒看完這麼多書
[00:01:22.080 --> 00:01:23.680]  但是起碼我看的書裡面
[00:01:23.680 --> 00:01:25.880]  還沒有一本書可以這麼全面
[00:01:25.880 --> 00:01:29.120]  對潛意識這個問題有交代
[00:01:29.120 --> 00:01:30.360]  比較平衡一點
[00:01:30.360 --> 00:01:32.840]  很多書講潛意識都很神秘很爽
[00:01:32.840 --> 00:01:33.480]  很特別
[00:01:33.480 --> 00:01:35.000]  但是可能不是很準確
[00:01:35.000 --> 00:01:35.720]  偏差
[00:01:35.720 --> 00:01:40.880]  希望今天跟大家先花不少時間
[00:01:40.880 --> 00:01:45.880]  跟大家去探索所謂潛意識這麼特別的課題
[00:01:45.880 --> 00:01:50.760]  然後我們第二部分就處理究竟聖靈的工作
[00:01:50.760 --> 00:01:52.520]  神的啟示
[00:01:52.520 --> 00:01:54.520]  神對我們所說的話
[00:01:54.520 --> 00:01:56.760]  神的能力在我們生命裡面
[00:01:56.760 --> 00:01:58.120]  新生命的工作
[00:01:58.120 --> 00:02:01.840]  以及我們所說的潛意識之間的關係是怎麼樣
[00:02:01.840 --> 00:02:04.480]  希望大家可以試一試
[00:02:04.480 --> 00:02:07.280]  跟著這條路
[00:02:07.280 --> 00:02:09.200]  去掙扎、思想
[00:02:09.200 --> 00:02:10.360]  跟我一起思考
[00:02:10.360 --> 00:02:11.280]  一起掙扎
[00:02:11.280 --> 00:02:12.800]  我們不是為了好奇
[00:02:12.800 --> 00:02:15.280]  我們希望可以透過了解
[00:02:15.280 --> 00:02:17.240]  摸到我們自己內心的世界
[00:02:17.240 --> 00:02:19.160]  明天晚上你就知道我說的有意思
[00:02:19.160 --> 00:02:20.480]  因為我們讀書的時候
[00:02:20.480 --> 00:02:22.840]  其實是一個很重要的部分
[00:02:22.840 --> 00:02:25.320]  你對自己內心真實世界的發現
[00:02:25.320 --> 00:02:27.560]  你發現你內心世界是怎麼樣
[00:02:27.560 --> 00:02:29.240]  夠膽去面對的話
[00:02:29.240 --> 00:02:31.720]  你就摸到讀書的真正意義
[00:02:31.720 --> 00:02:32.840]  如果不是讀書的話
[00:02:32.840 --> 00:02:33.760]  你會很痛苦
[00:02:33.760 --> 00:02:35.520]  甚至可能很孤立也說不定
[00:02:35.520 --> 00:02:38.280]  一個好的讀書讓一個人更加自由
[00:02:38.280 --> 00:02:41.640]  一個不好的讀書讓一個人更加枯萎
[00:02:41.640 --> 00:02:47.120]  關鍵在於你自己摸不摸到你真正內心世界的圖畫是怎麼樣
[00:02:47.120 --> 00:02:49.040]  這個是牽涉到潛意識的
[00:02:49.040 --> 00:02:53.360]  所以今天所說的話是引導明天也有意思在當中
[00:02:53.360 --> 00:02:57.960]  希望大家一起留心思考
[00:02:57.960 --> 00:02:59.720]  我們一起先祈禱
[00:02:59.720 --> 00:03:01.320]  求我們的主幫助我們
[00:03:01.320 --> 00:03:03.160]  奇妙的傳授的主
[00:03:03.160 --> 00:03:08.240]  我們今晚謙卑、恭敬
[00:03:08.240 --> 00:03:14.400]  在你面前我們求你幫我們了解我們自己有了解你
[00:03:14.400 --> 00:03:17.680]  主讓我們知道你做我們的時候
[00:03:18.120 --> 00:03:20.720]  實在給我們一個很奇妙的世界
[00:03:20.720 --> 00:03:23.040]  在我們的心靈裏面
[00:03:23.040 --> 00:03:27.680]  我們也承認有很多我們未明白、未知道的地方
[00:03:27.680 --> 00:03:31.880]  但當我們仰望你的時候
[00:03:31.880 --> 00:03:33.280]  主讓我們看見
[00:03:33.280 --> 00:03:36.400]  你是那位創造我們的神
[00:03:36.400 --> 00:03:40.720]  你看透我們心裏每一個部份
[00:03:40.720 --> 00:03:44.200]  所以我們就帶著這份愚昧
[00:03:44.200 --> 00:03:47.480]  主讓我們帶著這份渴求來到你面前
[00:03:47.480 --> 00:03:52.080]  我們求你幫助我們今晚可以靠著你自己的恩典
[00:03:52.080 --> 00:03:54.200]  靠著你性命的幫助
[00:03:54.200 --> 00:03:57.720]  引導我們揭開我們內心世界的一些真理
[00:03:57.720 --> 00:03:59.800]  讓我們不會偏差
[00:03:59.800 --> 00:04:02.920]  更加讓我們不是單停留在好奇
[00:04:02.920 --> 00:04:08.360]  讓我們真的體會到我們背後這個未發現的世界的時候
[00:04:08.360 --> 00:04:10.280]  就更加能夠欣賞
[00:04:10.280 --> 00:04:14.560]  甚至更加能夠經歷你在我們的生命當中所做的工作
[00:04:15.120 --> 00:04:17.480]  主祢知道我們所想的、所希望的
[00:04:17.480 --> 00:04:19.280]  不是知道一些資料
[00:04:19.280 --> 00:04:22.480]  但想知道究竟我們怎樣可以分辨
[00:04:22.480 --> 00:04:26.080]  去學習聆聽你自己在我們心裏面對我們所說的話
[00:04:26.080 --> 00:04:29.360]  主啊,求你就欣賞我們這份的祈求
[00:04:29.360 --> 00:04:31.000]  你自己恩代我們
[00:04:31.000 --> 00:04:33.200]  幫助我們每一個人特別是說的
[00:04:33.200 --> 00:04:34.520]  是聽的
[00:04:34.520 --> 00:04:37.640]  都有你自己的恩典在你面前蒙恩
[00:04:37.640 --> 00:04:38.800]  奉耶穌名祈禱
[00:04:38.800 --> 00:04:39.760]  阿們
[00:04:39.760 --> 00:04:44.000]  好了,我不知道你有多少認識關於潛意識
[00:04:44.320 --> 00:04:48.200]  我就當大家對潛意識是不認識的角度
[00:04:48.200 --> 00:04:51.840]  從頭跟大家說一說關於潛意識的問題
[00:04:51.840 --> 00:04:56.640]  我相信潛意識這個詞
[00:04:56.640 --> 00:05:00.600]  對於大部分的人來說都有一點點觀念
[00:05:00.600 --> 00:05:03.200]  中文譯作潛意識是不錯的
[00:05:03.200 --> 00:05:05.760]  英文就引起不少的爭論
[00:05:05.760 --> 00:05:09.200]  究竟應該譯作subconsciousness
[00:05:09.200 --> 00:05:11.600]  還是譯作unconscious
[00:05:11.600 --> 00:05:13.360]  大草的unconscious
[00:05:13.600 --> 00:05:18.960]  很多比較近代的書都是習慣將它譯作unconscious的
[00:05:18.960 --> 00:05:22.120]  但是unconscious就有一點點是
[00:05:22.120 --> 00:05:23.920]  我覺得這個詞不是太好
[00:05:23.920 --> 00:05:26.400]  因為unconscious就表示一個人睡在街邊
[00:05:26.400 --> 00:05:28.840]  叫他不醒就叫unconscious
[00:05:28.840 --> 00:05:30.960]  這個當然不是說那種
[00:05:30.960 --> 00:05:32.360]  不是說暈了
[00:05:32.360 --> 00:05:35.240]  或者是昏迷那種unconscious
[00:05:35.240 --> 00:05:37.160]  那種昏迷狀態
[00:05:37.160 --> 00:05:42.440]  是擋到我們在有意識的活動的背後
[00:05:42.560 --> 00:05:46.120]  潛存某一些的意念或者衝動
[00:05:46.120 --> 00:05:48.000]  是我們不自覺的
[00:05:48.000 --> 00:05:50.560]  有時候它透過我們自覺
[00:05:50.560 --> 00:05:52.800]  出來了東西我們無法控制的
[00:05:52.800 --> 00:05:54.000]  那個部分
[00:05:54.000 --> 00:05:58.400]  所以可以說是我們的意識背後的世界
[00:05:58.400 --> 00:06:01.800]  所以譯作潛意識是不錯的
[00:06:01.800 --> 00:06:04.320]  就是潛有一個未顯露
[00:06:04.320 --> 00:06:05.960]  但是在那裡的意思
[00:06:05.960 --> 00:06:08.840]  所以我喜歡的中文譯作潛意識
[00:06:09.000 --> 00:06:13.040]  英文來講我比較喜歡老古老的一種說法
[00:06:13.040 --> 00:06:15.000]  就叫做subconsciousness
