
[00:00:00.000 --> 00:00:03.000]  在信教馴服當中的特性
[00:00:03.000 --> 00:00:05.000]  這是我們今天齊思想的方向
[00:00:05.000 --> 00:00:08.000]  大家知道我們已經來到第六章的經文
[00:00:08.000 --> 00:00:10.000]  之前我們提到
[00:00:10.000 --> 00:00:14.000]  只要剛強壯膽是神吩咐若書雅的說話
[00:00:14.000 --> 00:00:17.000]  接著我們提到拉合的信心
[00:00:17.000 --> 00:00:19.000]  這位姐妹的信心
[00:00:19.000 --> 00:00:22.000]  成為整個以色列民族的一個重要的激勵
[00:00:22.000 --> 00:00:24.000]  接著我們提到就是
[00:00:24.000 --> 00:00:28.000]  我們要同神重建我們的關係
[00:00:28.000 --> 00:00:30.000]  其中我們清楚知道
[00:00:30.000 --> 00:00:31.000]  不是我們自己
[00:00:31.000 --> 00:00:34.000]  是神與我們重新的納約
[00:00:34.000 --> 00:00:35.000]  在納約之前
[00:00:35.000 --> 00:00:37.000]  神已經清楚顯明出祂的能力
[00:00:37.000 --> 00:00:40.000]  帶領我們經過了約旦河
[00:00:40.000 --> 00:00:41.000]  憑著信心
[00:00:41.000 --> 00:00:45.000]  走一條向來沒有走過的路
[00:00:45.000 --> 00:00:46.000]  經過了約旦河
[00:00:46.000 --> 00:00:48.000]  神就告訴我們知道
[00:00:48.000 --> 00:00:49.000]  我願你們重新納約
[00:00:49.000 --> 00:00:52.000]  從今之後不是你自己走這條路
[00:00:52.000 --> 00:00:54.000]  是耶和華軍中的元帥
[00:00:54.000 --> 00:00:58.000]  你跟我走屬靈的成長之路
[00:00:58.000 --> 00:01:00.000]  這些一切的準備
[00:01:00.000 --> 00:01:02.000]  準備完之後
[00:01:02.000 --> 00:01:05.000]  他們面對著耶利哥大城
[00:01:05.000 --> 00:01:07.000]  這個似乎是不能破的
[00:01:07.000 --> 00:01:10.000]  不能摧毀的一座大城
[00:01:10.000 --> 00:01:13.000]  在以色列的眼前倒塌下來
[00:01:13.000 --> 00:01:15.000]  一切邪惡權勢在神面前
[00:01:15.000 --> 00:01:18.000]  都無地步可走
[00:01:18.000 --> 00:01:20.000]  要俯伏敬拜
[00:01:20.000 --> 00:01:24.000]  光明聖潔的偉大上帝
[00:01:24.000 --> 00:01:26.000]  今天我們思想讀的耶利哥大城
[00:01:26.000 --> 00:01:29.000]  不單是象徵著罪惡的權勢
[00:01:29.000 --> 00:01:31.000]  也象徵著在你
[00:01:31.000 --> 00:01:32.000]  在我心中
[00:01:32.000 --> 00:01:35.000]  有罪惡的一種勢力
[00:01:35.000 --> 00:01:36.000]  一種的淫慾
[00:01:36.000 --> 00:01:39.000]  是我們覺得好像不能夠攻陷
[00:01:39.000 --> 00:01:40.000]  生命當中很多時候
[00:01:40.000 --> 00:01:43.000]  有一些的壞習慣
[00:01:43.000 --> 00:01:45.000]  有一些的脾氣
[00:01:45.000 --> 00:01:48.000]  有一些不正當的關係
[00:01:48.000 --> 00:01:49.000]  有一些得罪神的事情
[00:01:49.000 --> 00:01:51.000]  好像一座一座的淫慾
[00:01:51.000 --> 00:01:55.000]  是我們不能夠摧毀
