
[00:00:00.000 --> 00:00:08.000]  我知道有些弟兄姊妹已經一年參加了四次的聚會
[00:00:08.000 --> 00:00:15.000]  顯出了你們愛主話的心
[00:00:15.000 --> 00:00:22.000]  我面對一班喝不著話語的弟兄姊妹
[00:00:22.000 --> 00:00:25.000]  心裡有時候覺得緊張
[00:00:25.000 --> 00:00:30.000]  怕辜負了大家的心
[00:00:30.000 --> 00:00:37.000]  不能夠把好的力量給大家
[00:00:37.000 --> 00:00:41.000]  有時候這個壓力很重
[00:00:41.000 --> 00:00:45.000]  請大家為我禱告
[00:00:45.000 --> 00:00:50.000]  我們一同在主的面前領受
[00:00:50.000 --> 00:00:57.000]  我們一同在主的面前領受
[00:00:57.000 --> 00:01:02.000]  在基督徒的生命裡
[00:01:02.000 --> 00:01:06.000]  有一個很大的難處
[00:01:06.000 --> 00:01:10.000]  也是一個很大的問題
[00:01:10.000 --> 00:01:12.000]  是什麼呢?
[00:01:12.000 --> 00:01:16.000]  就是矛盾
[00:01:16.000 --> 00:01:22.000]  每逢有屬靈的矛盾的時候
[00:01:22.000 --> 00:01:25.000]  就好像一個人的血管裡頭
[00:01:25.000 --> 00:01:32.000]  有了一堆一堆的東西攔阻了血液的運行
[00:01:32.000 --> 00:01:37.000]  就好像在人的血管裡有一堆堆的東西攔阻了血的運行
[00:01:37.000 --> 00:01:42.000]  所以我們要把這些屬靈的矛盾除去
[00:01:42.000 --> 00:01:45.000]  所以我們要把這些屬靈的矛盾除去
[00:01:45.000 --> 00:01:49.000]  在新約裡面有一本書
[00:01:49.000 --> 00:01:55.000]  是特別面對這個問題的
[00:01:55.000 --> 00:02:01.000]  向我們指出來問題的所在
[00:02:01.000 --> 00:02:06.000]  告訴我們矛盾是什麼
[00:02:06.000 --> 00:02:10.000]  讓我們看得清清楚楚
[00:02:10.000 --> 00:02:18.000]  然後靠著主去對付去消除它們
[00:02:18.000 --> 00:02:23.000]  這本書就是《雅各書》
[00:02:23.000 --> 00:02:31.000]  《雅各書》的主題就是屬靈的矛盾
[00:02:31.000 --> 00:02:36.000]  在《雅各書》裡面有一句話用了兩次
[00:02:36.000 --> 00:02:42.000]  在《雅各書》裡面有一句話用了兩次
[00:02:42.000 --> 00:02:44.000]  可以說是這本書的主題
[00:02:44.000 --> 00:02:50.000]  請看第一章第八節
[00:02:50.000 --> 00:02:55.000]  329頁
[00:02:55.000 --> 00:02:59.000]  第一章第八節
[00:02:59.000 --> 00:03:04.000]  心懷異議的人
[00:03:04.000 --> 00:03:10.000]  這四個字心懷異議
[00:03:10.000 --> 00:03:14.000]  也就是三心兩意
[00:03:14.000 --> 00:03:18.000]  也就是矛盾
[00:03:18.000 --> 00:03:25.000]  這四個字在第四章又出現了
[00:03:25.000 --> 00:03:28.000]  第八節
[00:03:28.000 --> 00:03:36.000]  下半節心懷異議的人
[00:03:36.000 --> 00:03:43.000]  不但有這兩次出現這一句話
[00:03:43.000 --> 00:03:48.000]  其實在全書裡面
[00:03:48.000 --> 00:03:56.000]  這個矛盾的意思出現了又出現又出現
[00:03:56.000 --> 00:04:00.000]  一共有九次那麼多
[00:04:00.000 --> 00:04:09.000]  所以我們可以說在《雅各書》裡面提到九種的矛盾
[00:04:09.000 --> 00:04:13.000]  今天晚上我們要看一看
[00:04:13.000 --> 00:04:20.000]  把主的話和我們自己做一個對照
[00:04:20.000 --> 00:04:23.000]  好像一面鏡子一樣
[00:04:23.000 --> 00:04:26.000]  我們的目的是什麼?
[00:04:26.000 --> 00:04:32.000]  就是要再一次好好地看看自己的靈性裡面有沒有矛盾
[00:04:32.000 --> 00:04:36.000]  就是再次好好地看看自己在靈性裡面有什麼矛盾
[00:04:36.000 --> 00:04:38.000]  如果有
[00:04:38.000 --> 00:04:44.000]  靠著主的恩典去除去它們
[00:04:44.000 --> 00:04:48.000]  我們每一次除去一個矛盾
[00:04:48.000 --> 00:04:51.000]  我們的靈性就長進一次
[00:04:51.000 --> 00:04:54.000]  我們的靈性就長進一次
