
[00:00:00.000 --> 00:00:06.000]  各位好,我是何兆斌
[00:00:06.000 --> 00:00:10.000]  今日想和大家介紹一本書
[00:00:10.000 --> 00:00:16.000]  是一位德國神學家田納克所寫的一本
[00:00:16.000 --> 00:00:19.000]  英文叫Dynamics of Faith
[00:00:19.000 --> 00:00:22.000]  有中譯本,叫做信仰的動力
[00:00:22.000 --> 00:00:28.000]  介紹這本書是因為我做博士研究的其中一個對象
[00:00:28.000 --> 00:00:29.000]  就是田納克
[00:00:29.000 --> 00:00:35.000]  另一方面這本書也是一個簡單的簡介
[00:00:35.000 --> 00:00:38.000]  可以進入到田納克的思想
[00:00:38.000 --> 00:00:41.000]  還有一個原因就是這本書比較薄
[00:00:41.000 --> 00:00:48.000]  相信大家很容易看,容易消化
[00:00:48.000 --> 00:00:51.000]  這本書的重要性在於
[00:00:51.000 --> 00:00:55.000]  我覺得它可以幫助我們重新理解
[00:00:55.000 --> 00:00:58.000]  這個信仰是甚麼
[00:00:58.000 --> 00:01:02.000]  事實上田納克在這本書一開始的時候
[00:01:02.000 --> 00:01:05.000]  他就是因為覺得Faith這個字
[00:01:05.000 --> 00:01:08.000]  在現代,特別是在英語的世界
[00:01:08.000 --> 00:01:11.000]  越來越有很多不同的想法
[00:01:11.000 --> 00:01:15.000]  甚至對這個概念變得很泛濫
[00:01:15.000 --> 00:01:19.000]  就好像我們今天經常說的愛
[00:01:19.000 --> 00:01:23.000]  這個詞語我們可能都沒有深思熟慮過就說
[00:01:23.000 --> 00:01:26.000]  而如果中文來說,Faith就是信念
[00:01:26.000 --> 00:01:33.000]  有時候我們說信念或者是說一些方便的詞
[00:01:33.000 --> 00:01:36.000]  我們很多時候都想到一些很宗教性的東西
[00:01:36.000 --> 00:01:38.000]  但田納克對於這個概念
[00:01:38.000 --> 00:01:40.000]  他有一番另一個見解
[00:01:40.000 --> 00:01:45.000]  拉闊了我們對信仰或者是信念的看法
[00:01:45.000 --> 00:01:49.000]  他一開始就在這本書說
[00:01:49.000 --> 00:01:54.000]  Faith對於他來說其實就是一種英文所謂叫做
[00:01:54.000 --> 00:01:58.000]  Ultimate Concern,即是一種終極的關懷
[00:01:58.000 --> 00:02:01.000]  每個人都有他的終極關懷
[00:02:01.000 --> 00:02:04.000]  而終極關懷對於他來說就是
[00:02:04.000 --> 00:02:08.000]  一個人彷彿就像鱷高頭,放下所有東西
[00:02:08.000 --> 00:02:12.000]  目光只有向天,就是你信仰的對象
[00:02:12.000 --> 00:02:16.000]  其他一切的東西你都是看不到
[00:02:16.000 --> 00:02:21.000]  或者是這樣說,其他一切東西都是預備你去望見
[00:02:21.000 --> 00:02:27.000]  你朝見鱷高頭望見的信仰對象
[00:02:27.000 --> 00:02:31.000]  這個對於信仰的解讀
[00:02:31.000 --> 00:02:37.000]  大家覺得很陌生或者是覺得很奇怪
[00:02:37.000 --> 00:02:41.000]  但是這個想法卻能夠幫助我們思考
[00:02:41.000 --> 00:02:45.000]  我們今日社會,特別是現代社會
[00:02:45.000 --> 00:02:48.000]  解釋到很多的一些現象
[00:02:48.000 --> 00:02:53.000]  包括為何有些人會對於一些民族主義
