
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹平安
[00:00:02.000 --> 00:00:05.000]  願神賜你們平安
[00:00:05.000 --> 00:00:07.000]  我回來了
[00:00:07.000 --> 00:00:10.000]  我好感謝神
[00:00:10.000 --> 00:00:13.000]  今日見到好多好久沒見的頂姐妹
[00:00:13.000 --> 00:00:16.000]  見到大家持續的侍奉神
[00:00:16.000 --> 00:00:18.000]  敬拜上帝
[00:00:18.000 --> 00:00:20.000]  我很開心很感謝神
[00:00:20.000 --> 00:00:22.000]  過去半年
[00:00:22.000 --> 00:00:25.000]  神給我安息年的進修假期
[00:00:25.000 --> 00:00:28.000]  在裏面有很多機會休息
[00:00:28.000 --> 00:00:30.000]  調養身體
[00:00:30.000 --> 00:00:32.000]  亦有機會有很多新的學習
[00:00:32.000 --> 00:00:34.000]  我心很感恩
[00:00:34.000 --> 00:00:36.000]  過去這半年
[00:00:36.000 --> 00:00:38.000]  有不同的地方有崇拜
[00:00:38.000 --> 00:00:41.000]  特別是每次都可以和師妹一起坐崇拜
[00:00:41.000 --> 00:00:44.000]  是我好快樂好感恩的事情
[00:00:44.000 --> 00:00:46.000]  今日回來的時候很多頂姐妹見到面
[00:00:46.000 --> 00:00:49.000]  他們都說師母師你肥了一點
[00:00:49.000 --> 00:00:52.000]  有些說你靚了
[00:00:52.000 --> 00:00:54.000]  我肥了一點點
[00:00:54.000 --> 00:00:57.000]  不過好像之前還肥多一點
[00:00:57.000 --> 00:00:59.000]  但感謝神給我一段時間
[00:00:59.000 --> 00:01:02.000]  身體上可以調理一下
[00:01:02.000 --> 00:01:04.000]  亦可以有神給我的健康
[00:01:04.000 --> 00:01:08.000]  亦在整個假期的過程當中
[00:01:08.000 --> 00:01:10.000]  一些體會
[00:01:10.000 --> 00:01:14.000]  體會就是無論是全職
[00:01:14.000 --> 00:01:16.000]  或者沒職份
[00:01:16.000 --> 00:01:19.000]  或者是工作或者是休息
[00:01:19.000 --> 00:01:23.000]  人生最重要的都是去愛主
[00:01:23.000 --> 00:01:25.000]  不一定做些什麼
[00:01:25.000 --> 00:01:29.000]  但在生活上有不同的活動
[00:01:29.000 --> 00:01:31.000]  不同的工作
[00:01:31.000 --> 00:01:33.000]  不同的休息
[00:01:33.000 --> 00:01:37.000]  但心裏知道透過一切去表達對主的愛
