
[00:00:00.000 --> 00:00:01.120]  今天我們再去講
[00:00:01.120 --> 00:00:03.800]  《貼薩羅尼加》後書第二章的十三節
[00:00:03.800 --> 00:00:05.480]  至到三章的第五節
[00:00:05.480 --> 00:00:06.400]  這一段經文
[00:00:06.400 --> 00:00:08.680]  保羅在這段經文裡面
[00:00:08.680 --> 00:00:12.600]  再去提醒一班在貼薩羅尼加教會的信徒
[00:00:12.600 --> 00:00:14.400]  因為當時在教會當中
[00:00:14.400 --> 00:00:17.960]  有一些錯誤的信仰出現了
[00:00:17.960 --> 00:00:20.720]  就是說主再來的日子已經到了
[00:00:20.720 --> 00:00:26.000]  而這些錯誤的一些說法和一些信念
[00:00:26.000 --> 00:00:28.960]  影響了當時不少教會當中的信徒
[00:00:28.960 --> 00:00:32.000]  讓他們失去了可以說冷靜的頭腦
[00:00:32.000 --> 00:00:35.080]  去思考這一方面的信仰的真理
[00:00:35.080 --> 00:00:38.400]  也都影響他們很多情緒上有很多的不安
[00:00:38.400 --> 00:00:41.880]  因此保羅在第二章的一至十二節
[00:00:41.880 --> 00:00:42.880]  他再重申
[00:00:42.880 --> 00:00:44.240]  主再來之前
[00:00:44.240 --> 00:00:47.720]  必有最後的反叛和不法者的出現
[00:00:47.720 --> 00:00:51.560]  他用這個信念去表明
[00:00:51.560 --> 00:00:55.160]  這些說主再來了已經來到了
[00:00:55.160 --> 00:00:57.840]  這個錯誤的一些思想
[00:00:57.840 --> 00:00:59.000]  在這一段裡面
[00:00:59.000 --> 00:01:01.280]  保羅更加的積極去建立
[00:01:01.280 --> 00:01:04.560]  讀者或者信徒的一些信心
[00:01:04.560 --> 00:01:09.400]  去抗衡這些錯誤的一些說法
[00:01:09.400 --> 00:01:11.680]  關於主再來的信仰
[00:01:11.680 --> 00:01:14.480]  和這一班的信徒是不是得救
[00:01:14.480 --> 00:01:17.360]  這一種不確定的心理的狀況
[00:01:17.360 --> 00:01:20.240]  是有一個很大的安慰和鼓勵
[00:01:20.240 --> 00:01:23.840]  保羅在第二章的十三至十七節裡面
[00:01:23.840 --> 00:01:26.240]  他首先的去說出
[00:01:26.240 --> 00:01:29.120]  上帝對他們的揀選
[00:01:29.120 --> 00:01:31.640]  和上帝對他們的呼召
[00:01:31.640 --> 00:01:35.520]  圍到上帝這個恩典去感謝上帝
[00:01:35.520 --> 00:01:38.360]  之後他再鼓勵這一班的信徒
[00:01:38.360 --> 00:01:40.080]  要堅守之前
