
[00:00:00.000 --> 00:00:03.000]  各位主內的弟兄姊妹 你們好
[00:00:03.000 --> 00:00:08.000]  今天我們一同從聖經裏面查考
[00:00:08.000 --> 00:00:11.000]  關於侍奉的比喻
[00:00:11.000 --> 00:00:14.000]  這些比喻內容很簡單
[00:00:14.000 --> 00:00:17.000]  但是很深刻而生動
[00:00:17.000 --> 00:00:19.000]  我們藉着這些比喻
[00:00:19.000 --> 00:00:23.000]  可以更深的更完全的瞭解
[00:00:23.000 --> 00:00:26.000]  我們應該如何侍奉神
[00:00:26.000 --> 00:00:30.000]  讓我們一同來從這些比喻裏面
[00:00:30.000 --> 00:00:33.000]  學習侍奉的真理
[00:00:33.000 --> 00:00:35.000]  第一個比喻
[00:00:35.000 --> 00:00:37.000]  侍奉的人
[00:00:37.000 --> 00:00:41.000]  好像一粒麥子落在地裏死了
[00:00:41.000 --> 00:00:45.000]  約翰福音十二章二十三到二十六節
[00:00:45.000 --> 00:00:47.000]  這樣的記載
[00:00:47.000 --> 00:00:49.000]  耶穌說
[00:00:49.000 --> 00:00:52.000]  我實實在在地告訴你們
[00:00:52.000 --> 00:00:55.000]  一粒麥子不落在地裏死了
[00:00:55.000 --> 00:00:57.000]  仍舊是一粒
[00:00:57.000 --> 00:00:58.000]  若是死了
[00:00:58.000 --> 00:01:01.000]  就解出許多支粒來
[00:01:01.000 --> 00:01:03.000]  愛惜自己生命的
[00:01:03.000 --> 00:01:05.000]  就施葬生命
[00:01:05.000 --> 00:01:08.000]  在這世上恨惡自己生命的
[00:01:08.000 --> 00:01:11.000]  就要保守生命到永生
[00:01:11.000 --> 00:01:15.000]  若有人服侍我就當跟從我
[00:01:15.000 --> 00:01:16.000]  我在哪裏
[00:01:16.000 --> 00:01:20.000]  服侍我的人也要在哪裏
[00:01:20.000 --> 00:01:22.000]  若有人服侍我
[00:01:22.000 --> 00:01:25.000]  必尊重他
[00:01:25.000 --> 00:01:26.000]  這裏告訴我們
[00:01:26.000 --> 00:01:29.000]  一粒麥子落在地裏死了
[00:01:29.000 --> 00:01:31.000]  那麼這粒麥子
[00:01:31.000 --> 00:01:34.000]  是形容主耶穌自己
[00:01:34.000 --> 00:01:35.000]  同時呢
[00:01:35.000 --> 00:01:36.000]  另外一方面
[00:01:36.000 --> 00:01:41.000]  也形容每一個侍奉主和跟從主的人
[00:01:41.000 --> 00:01:43.000]  主就是這粒麥子
[00:01:43.000 --> 00:01:46.000]  已經落在地裏死了
[00:01:46.000 --> 00:01:49.000]  他爲千千萬萬的人死了
[00:01:49.000 --> 00:01:54.000]  因爲他的死是千千萬萬的人得生
[00:01:54.000 --> 00:01:56.000]  有一位醫生
[00:01:56.000 --> 00:01:59.000]  他時常提到他的父親
[00:01:59.000 --> 00:02:02.000]  朋友聽他講多了就說
[00:02:02.000 --> 00:02:04.000]  好不好介紹令尊
[00:02:04.000 --> 00:02:06.000]  給我們認識一下
[00:02:06.000 --> 00:02:08.000]  他就安排了一個時間
[00:02:08.000 --> 00:02:09.000]  到了那天
[00:02:09.000 --> 00:02:13.000]  朋友們都坐在他的客廳裏面
[00:02:13.000 --> 00:02:17.000]  從房間裏面走出一位老先生
[00:02:17.000 --> 00:02:20.000]  一見面大家就注意到
[00:02:20.000 --> 00:02:25.000]  他臉上有一道很深的刀痕
[00:02:25.000 --> 00:02:28.000]  這位醫生就向朋友們解釋
[00:02:28.000 --> 00:02:31.000]  這個刀痕從哪裏來的
[00:02:31.000 --> 00:02:33.000]  他說他幼年的時候
[00:02:33.000 --> 00:02:36.000]  和父親住在廣東的鄉下
[00:02:36.000 --> 00:02:40.000]  有一天土碑來搶劫
[00:02:40.000 --> 00:02:43.000]  找不到錢和貴重的東西
[00:02:43.000 --> 00:02:45.000]  一位藏了起來
[00:02:45.000 --> 00:02:48.000]  就威逼他的父親說
[00:02:48.000 --> 00:02:50.000]  趕快把財寶拿出來
[00:02:50.000 --> 00:02:54.000]  不然我們就要你兒子的命
[00:02:54.000 --> 00:02:57.000]  說完了這個話就舉起刀來
[00:02:57.000 --> 00:03:00.000]  對準了他的孩子
[00:03:00.000 --> 00:03:01.000]  他的父親說
[00:03:01.000 --> 00:03:04.000]  我家中實在沒有財寶
[00:03:04.000 --> 00:03:06.000]  但是土碑不信
[00:03:06.000 --> 00:03:10.000]  就舉起刀向孩子的頭砍過去
[00:03:10.000 --> 00:03:11.000]  就在那個時刻
[00:03:11.000 --> 00:03:15.000]  他的父親撲到刀和孩子中間
[00:03:15.000 --> 00:03:20.000]  結果這個刀就滑落在他的面上
[00:03:20.000 --> 00:03:24.000]  從此留下一道很深的刀疤
[00:03:24.000 --> 00:03:26.000]  這個時候大家才明白
[00:03:26.000 --> 00:03:28.000]  爲什麼這位醫生
[00:03:28.000 --> 00:03:31.000]  常常提到他的父親
[00:03:31.000 --> 00:03:32.000]  在別人看
[00:03:32.000 --> 00:03:35.000]  那個刀疤是回容的
[00:03:35.000 --> 00:03:37.000]  另一個人難看的
[00:03:37.000 --> 00:03:41.000]  但是這位醫生在他看來
[00:03:41.000 --> 00:03:46.000]  是最寶貴最可愛最美麗的一個標誌
[00:03:46.000 --> 00:03:49.000]  就是父親的愛的標誌
[00:03:49.000 --> 00:03:51.000]  因爲主的死
[00:03:51.000 --> 00:03:54.000]  你和我就得生命
[00:03:54.000 --> 00:03:56.000]  這一粒麥子也告訴我們
[00:03:56.000 --> 00:04:00.000]  主耶穌說走的整條的道路
[00:04:00.000 --> 00:04:04.000]  他說走的路就是死而復生的路
[00:04:04.000 --> 00:04:06.000]  在這條路上
[00:04:06.000 --> 00:04:09.000]  不斷地死死死
[00:04:09.000 --> 00:04:13.000]  也不斷地生生生
[00:04:13.000 --> 00:04:17.000]  這條路高過我們的道路
[00:04:17.000 --> 00:04:21.000]  這條路的意念高過我們的意念
[00:04:21.000 --> 00:04:22.000]  主耶穌說
[00:04:22.000 --> 00:04:23.000]  我在哪裏
[00:04:23.000 --> 00:04:26.000]  不是我的人也要在哪裏
[00:04:26.000 --> 00:04:28.000]  主說走的路
[00:04:28.000 --> 00:04:32.000]  也是每一個侍奉主的人必須走的路
[00:04:32.000 --> 00:04:34.000]  如果主在這裏
[00:04:34.000 --> 00:04:37.000]  但是我們的主要去跑到那裏
[00:04:37.000 --> 00:04:41.000]  那麼請問我們怎麼能夠侍奉主呢?
[00:04:41.000 --> 00:04:45.000]  所以我們必須離開那邊
[00:04:45.000 --> 00:04:46.000]  就是自己的一邊
[00:04:46.000 --> 00:04:49.000]  到這邊就是主的這邊
[00:04:49.000 --> 00:04:52.000]  和祂同在同行
[00:04:52.000 --> 00:04:57.000]  與主同行是最大的喜樂和權利
[00:04:57.000 --> 00:05:00.000]  如果天地的主對一個罪人說
[00:05:00.000 --> 00:05:03.000]  來與我同行生命之路
[00:05:03.000 --> 00:05:08.000]  這是那個人做夢也想不到的事
[00:05:08.000 --> 00:05:10.000]  事實上天地的主
[00:05:10.000 --> 00:05:13.000]  就是這樣向我們發出了護照
[00:05:13.000 --> 00:05:15.000]  要我們與祂同行
[00:05:15.000 --> 00:05:16.000]  祂在哪裏
[00:05:16.000 --> 00:05:20.000]  我們也和祂一同在哪裏
