
[00:00:00.000 --> 00:00:01.720]  當大家讀聖經的時候
[00:00:01.720 --> 00:00:03.840]  你會在很多處都會看到
[00:00:03.840 --> 00:00:06.960]  聖經提及一個最基本的呼召
[00:00:06.960 --> 00:00:10.680]  就是我們蒙召作聖徒
[00:00:10.680 --> 00:00:13.000]  羅馬書第一章第七節就說
[00:00:13.000 --> 00:00:14.840]  我們這班蒙愛的人
[00:00:14.840 --> 00:00:17.800]  奉召作聖徒
[00:00:17.800 --> 00:00:21.400]  因此你給我一個最基本的呼召
[00:00:21.400 --> 00:00:25.120]  就是神呼召我們作祂的門徒
[00:00:25.120 --> 00:00:27.560]  作祂的聖徒
[00:00:27.560 --> 00:00:29.320]  因此當我們信主之後
[00:00:29.320 --> 00:00:31.760]  神將我們從黑暗中呼召出來
[00:00:31.760 --> 00:00:33.240]  進入光明
[00:00:33.240 --> 00:00:37.200]  就叫我們一舉一動有新生的樣式
[00:00:37.200 --> 00:00:39.040]  不再是以前那種樣式
[00:00:39.040 --> 00:00:41.800]  是一種更新了的樣式
[00:00:41.800 --> 00:00:43.840]  生活行為、言語
[00:00:43.840 --> 00:00:46.920]  都是一種不同的生活樣式
[00:00:46.920 --> 00:00:48.200]  這個樣式你會察覺
[00:00:48.200 --> 00:00:51.640]  是不斷不斷地來成長的
[00:00:51.640 --> 00:00:53.560]  所以你會發覺當施洗約翰
[00:00:53.560 --> 00:00:55.360]  和一班人施洗的時候
[00:00:55.360 --> 00:00:57.360]  很多人到他面前
[00:00:57.360 --> 00:00:59.520]  他就很嚴厲地說
[00:00:59.520 --> 00:01:03.280]  你們必須結出悔改的果子
[00:01:03.280 --> 00:01:06.120]  和悔改的心是相稱的
[00:01:06.120 --> 00:01:08.720]  不要說單單我心相信就夠了
[00:01:08.720 --> 00:01:10.320]  是不足夠的
[00:01:10.320 --> 00:01:13.240]  必須讓你的生活表現
[00:01:13.240 --> 00:01:16.440]  和你的心是配合著的
[00:01:16.440 --> 00:01:17.880]  很多人來問
[00:01:17.880 --> 00:01:19.760]  那我們應當做什麼?
[00:01:19.760 --> 00:01:22.400]  有瑞利來問約翰
[00:01:22.400 --> 00:01:23.920]  有人就告訴他們
[00:01:23.920 --> 00:01:25.200]  你們要小心
[00:01:25.200 --> 00:01:27.320]  你們信耶穌悔改
[00:01:27.320 --> 00:01:29.920]  你們就應該除了那些
[00:01:29.920 --> 00:01:31.960]  例定的數目之外
[00:01:31.960 --> 00:01:33.600]  不要多搖
[00:01:33.600 --> 00:01:34.760]  不要因為你是瑞利
[00:01:34.760 --> 00:01:38.680]  你就隨便濫收別人的稅項
[00:01:38.680 --> 00:01:39.800]  那些兵兵來的時候
[00:01:39.800 --> 00:01:40.720]  你記得
[00:01:40.720 --> 00:01:43.760]  他們就說我們應當怎麼做?
[00:01:43.760 --> 00:01:44.720]  約翰就說
[00:01:44.720 --> 00:01:47.920]  你們不要以強暴待人
[00:01:47.920 --> 00:01:51.160]  不要去訛詐人、欺騙人
[00:01:51.160 --> 00:01:55.120]  有所得的錢糧就當知足
[00:01:55.120 --> 00:01:56.840]  有你的薪水
[00:01:56.840 --> 00:01:58.520]  就不要用你的權力
[00:01:58.520 --> 00:02:02.520]  來壓榨更多的薪水、更多的收益
[00:02:02.520 --> 00:02:04.360]  很明顯他們的身份
[00:02:04.360 --> 00:02:05.400]  是表示著有一個
[00:02:05.400 --> 00:02:08.280]  很應當有的一種表現
[00:02:08.280 --> 00:02:11.280]  配合著他們那種驕途的身份
