
[00:00:00.000 --> 00:00:04.840]  今天我要和大家一同靈授的信息
[00:00:04.840 --> 00:00:09.080]  是保羅在《羅馬書》十二章十一節
[00:00:09.080 --> 00:00:11.840]  所講的一句很寶貴的話
[00:00:11.840 --> 00:00:16.720]  他說要心裏火熱,常常服侍主
[00:00:16.720 --> 00:00:20.920]  不是有的時候服侍主,有的時候不服侍主
[00:00:20.920 --> 00:00:25.280]  乃是經常地、繼續地服侍主
[00:00:25.280 --> 00:00:28.280]  並且要心裏火熱來侍奉
[00:00:28.280 --> 00:00:32.400]  不是冰冷地侍奉,乃是熱心地侍奉
[00:00:32.400 --> 00:00:36.200]  這是多麼美好的一個信息
[00:00:36.200 --> 00:00:40.080]  這是我們學習追求的一個目標
[00:00:40.080 --> 00:00:44.120]  每一個在神的家裏侍奉主的人
[00:00:44.120 --> 00:00:50.400]  都要學習這一個經文所定下的一條路
[00:00:50.400 --> 00:00:52.000]  那麼我們要問
[00:00:52.000 --> 00:00:56.480]  我們怎麼樣能夠心裏火熱,常常服侍主呢?
[00:00:56.480 --> 00:01:00.240]  心裏火熱的來源是什麼呢?
[00:01:00.240 --> 00:01:04.960]  我們今天要從聖經裏面來靈授
[00:01:04.960 --> 00:01:09.840]  心裏火熱的第一個來源是奉獻
[00:01:09.840 --> 00:01:13.680]  在剛纔我提的《羅馬書》十二章
[00:01:13.680 --> 00:01:17.760]  我們看見保羅在這章裏面所講的信息
[00:01:17.760 --> 00:01:22.400]  有一個很明顯清楚的先後次序
[00:01:22.400 --> 00:01:26.920]  他在第一節和第二節先講奉獻
[00:01:26.920 --> 00:01:32.280]  然後從第三節到這一章的末聊講侍奉
[00:01:32.280 --> 00:01:36.000]  是奉獻在先,侍奉在後
[00:01:36.000 --> 00:01:39.120]  這是一個不可改變的次序
[00:01:39.120 --> 00:01:42.440]  如果一個人還沒有奉獻就侍奉
[00:01:42.440 --> 00:01:47.160]  他的侍奉會是自我中心
[00:01:47.160 --> 00:01:52.280]  有的人侍奉是因爲有活動的興趣
[00:01:52.280 --> 00:01:56.640]  他的性格喜歡和人來往
[00:01:56.640 --> 00:02:02.560]  所以他侍奉的時候是出於自己的興趣
[00:02:02.560 --> 00:02:06.840]  或者是要求人的稱讚、榮耀
[00:02:06.840 --> 00:02:10.560]  或者是要滿足自己的心
[00:02:10.560 --> 00:02:13.840]  這都是自我的侍奉
[00:02:13.840 --> 00:02:16.320]  不能合神的心意
[00:02:16.320 --> 00:02:21.160]  但是當一個人把自己奉獻給神以後
[00:02:21.160 --> 00:02:24.400]  他侍奉的對象立刻改變
[00:02:24.400 --> 00:02:28.720]  他是侍奉神,不再是自我中心
[00:02:28.720 --> 00:02:31.200]  這樣他對準了神
[00:02:31.200 --> 00:02:33.600]  他的動機很純淨
[00:02:33.600 --> 00:02:36.080]  他的侍奉也能持久
[00:02:36.080 --> 00:02:39.520]  如果一個人是自我中心的侍奉
[00:02:39.520 --> 00:02:42.960]  當他個人興趣消失以後
[00:02:42.960 --> 00:02:46.600]  他的侍奉也會跟着停止
[00:02:46.600 --> 00:02:50.800]  只有一個真正把自己完全奉獻給神的人
[00:02:50.800 --> 00:02:54.640]  他才能夠恆久的侍奉
[00:02:54.640 --> 00:02:58.680]  他才能夠擔起重擔
[00:02:58.680 --> 00:03:04.240]  他才能夠把自己爲神來擺上
[00:03:04.240 --> 00:03:09.360]  這是一個非常重要的先後的次序
[00:03:09.360 --> 00:03:12.280]  在這章裏面我們看見
[00:03:12.280 --> 00:03:17.320]  從奉獻到侍奉有四個步驟
[00:03:17.320 --> 00:03:19.400]  讓我們來看一看
[00:03:19.400 --> 00:03:22.080]  十二章第一節暴露說
[00:03:22.080 --> 00:03:23.640]  所以弟兄們
[00:03:23.640 --> 00:03:28.560]  我以神的慈悲勸你們將身體獻上
[00:03:28.560 --> 00:03:33.360]  這是神的愛的激勵和感動
[00:03:33.360 --> 00:03:39.000]  沒有一個人會自己自動的把身體獻上
[00:03:39.000 --> 00:03:42.840]  我們之所以奉獻自己當做夥計
[00:03:42.840 --> 00:03:45.640]  是受了神的愛的感動
[00:03:45.640 --> 00:03:49.960]  神先愛了我們然後我們回應神的愛
[00:03:49.960 --> 00:03:52.440]  祂的愛激勵我們的時候
[00:03:52.440 --> 00:03:56.760]  我們就甘心樂意的把身體獻上
[00:03:56.760 --> 00:04:01.000]  當做夥計爲主而活
[00:04:01.000 --> 00:04:05.680]  所以我們看見第一步是愛的激勵
[00:04:05.680 --> 00:04:09.640]  第二步就是身體的奉獻
[00:04:09.640 --> 00:04:10.920]  請注意
[00:04:10.920 --> 00:04:15.480]  保羅不是單單說將心獻上
[00:04:15.480 --> 00:04:19.640]  他來是說將身體獻上
