
[00:00:00.000 --> 00:00:07.040]  我希望今天我繼續和大家介紹和將聖靈的真理告訴你
[00:00:07.040 --> 00:00:09.040]  我帶著這個責任感來
[00:00:09.040 --> 00:00:10.440]  我能夠做的就是這麼多
[00:00:10.440 --> 00:00:14.160]  我將聖經裡面講到關於聖靈祂自己是怎樣的
[00:00:14.160 --> 00:00:15.240]  我告訴你
[00:00:15.240 --> 00:00:18.320]  然後我用盡我的方法來鼓勵你
[00:00:18.320 --> 00:00:22.200]  推你去和聖靈接觸 去親近
[00:00:22.200 --> 00:00:24.800]  讓聖靈在你的生命裡面越來越真實
[00:00:24.800 --> 00:00:26.560]  但是能不能夠這樣呢
[00:00:26.560 --> 00:00:29.440]  真的在乎你自己願不願意 好不好
[00:00:29.440 --> 00:00:31.440]  我們一起祈禱做一個很簡單的祈禱
[00:00:31.440 --> 00:00:34.800]  聖靈我求祢在這個時刻裡面感動我們每一個人
[00:00:34.800 --> 00:00:36.640]  現在我們待會要介紹祢
[00:00:36.640 --> 00:00:39.480]  求祢就將祢的真理彰顯在我們的面前
[00:00:39.480 --> 00:00:41.840]  吸引我們能夠親近祢
[00:00:41.840 --> 00:00:43.840]  奉耶穌基督的名祈禱
[00:00:43.840 --> 00:00:44.840]  Amen
[00:00:44.840 --> 00:00:48.960]  好 上一堂我和大家已經提過了
[00:00:48.960 --> 00:00:50.280]  在一個月之前
[00:00:50.280 --> 00:00:55.680]  講到我會講兩次在聖經裡面最重要關於聖靈的
[00:00:55.680 --> 00:00:56.960]  兩段的經文
[00:00:56.960 --> 00:01:00.160]  一段就是在約翰福音
[00:01:00.160 --> 00:01:01.560]  就是上一次我們所講的
[00:01:01.560 --> 00:01:03.560]  主耶穌所講的關於聖靈
[00:01:03.560 --> 00:01:05.560]  今天我會和大家講的
[00:01:05.560 --> 00:01:08.920]  就是關於保羅在羅馬書第八章
[00:01:08.920 --> 00:01:11.640]  所以我很想大家都打開羅馬書
[00:01:11.640 --> 00:01:13.240]  剛才我們讀了幾段聖經
[00:01:13.240 --> 00:01:15.800]  但其實今天我會和大家很快
[00:01:15.800 --> 00:01:18.920]  我盡力很快地將羅馬書裡面
[00:01:18.920 --> 00:01:22.360]  很重要的關於聖靈的真理和大家講
[00:01:22.360 --> 00:01:24.360]  主要兩個部分
[00:01:24.360 --> 00:01:26.360]  上一次我們講到
[00:01:26.360 --> 00:01:29.120]  我們的主耶穌講到聖靈提醒我們
[00:01:29.120 --> 00:01:32.880]  聖靈在我們的心裡面進入我們裡面
[00:01:32.880 --> 00:01:34.240]  當我們認識祂的時候
[00:01:34.240 --> 00:01:35.600]  我們成為基督徒的時候
[00:01:35.600 --> 00:01:37.280]  聖靈就進入我們裡面
[00:01:37.280 --> 00:01:38.160]  祂進入我們裡面
[00:01:38.160 --> 00:01:39.680]  這個不是講神話
[00:01:39.680 --> 00:01:41.880]  這是一個真實的經歷來的
[00:01:41.880 --> 00:01:45.080]  我們的主耶穌沒有講風涼話
[00:01:45.080 --> 00:01:46.760]  也沒有講謊話
[00:01:46.760 --> 00:01:48.360]  沒有隨口說的
[00:01:48.360 --> 00:01:49.640]  當主耶穌說你悶肚子
[00:01:49.640 --> 00:01:50.920]  現在我離開你了
[00:01:50.920 --> 00:01:52.600]  但你心裡面不要憂愁
[00:01:52.600 --> 00:01:54.000]  我不會撇下你來孤兒
[00:01:54.000 --> 00:01:55.080]  我會再回來的
[00:01:55.080 --> 00:01:55.960]  你記得嗎
[00:01:55.960 --> 00:01:57.520]  耶穌說過是的
[00:01:57.520 --> 00:01:58.320]  祂就在聖靈
[00:01:58.320 --> 00:02:00.960]  用聖靈的身份進入了悶肚子那裡
[00:02:00.960 --> 00:02:03.720]  並且耶穌說我去還比我在這裡好
