
[00:00:00.000 --> 00:00:03.520]  大家會留意到今天是十月的第一個主日
[00:00:03.520 --> 00:00:05.600]  亦是我們新一季的開始
[00:00:05.600 --> 00:00:08.120]  在這個季度裏面大家一起思想的
[00:00:08.120 --> 00:00:10.680]  是《聖經》哥羅西書的經文
[00:00:10.680 --> 00:00:13.080]  我們這個季度裏面會一段一段地
[00:00:13.080 --> 00:00:15.640]  思想完整卷的哥羅西書
[00:00:15.640 --> 00:00:17.360]  所以鼓勵大家在你們家裏面
[00:00:17.360 --> 00:00:19.880]  你都會常常看哥羅西書
[00:00:19.880 --> 00:00:23.360]  幫助你盡心明白這卷經文的內容
[00:00:23.360 --> 00:00:25.560]  以及知道怎樣去實踐
[00:00:25.560 --> 00:00:27.800]  如果沒有你自己個人的禱告
[00:00:27.800 --> 00:00:31.480]  你聽完之後你不能夠實踐
[00:00:31.480 --> 00:00:32.560]  所以你聽完之後
[00:00:32.560 --> 00:00:35.120]  你要加忠上上位這些事情祈禱
[00:00:35.120 --> 00:00:36.160]  神給你力量
[00:00:36.160 --> 00:00:38.080]  可以按神給你的教導
[00:00:38.080 --> 00:00:40.240]  你都可以實行出來
[00:00:40.240 --> 00:00:43.560]  簡單來說哥羅西書一個重要的重心
[00:00:43.560 --> 00:00:45.120]  就是已經清楚講到
[00:00:45.120 --> 00:00:50.320]  唯獨主耶穌祂是獨一的真神
[00:00:50.320 --> 00:00:52.880]  如果我們承認祂是獨一的真神
[00:00:52.880 --> 00:00:54.880]  我們一切的生活言行
[00:00:54.880 --> 00:00:58.480]  就應該以主耶穌為中心
[00:00:58.480 --> 00:01:00.600]  如果你的生命有其他地方
[00:01:00.600 --> 00:01:04.000]  其他的目標成為了最主要的中心
[00:01:04.000 --> 00:01:05.680]  你要不斷反思
[00:01:05.680 --> 00:01:09.720]  你是否真正以主為神
[00:01:09.720 --> 00:01:11.160]  如果你真正認識
[00:01:11.160 --> 00:01:12.880]  主耶穌是獨一的真神
[00:01:12.880 --> 00:01:14.400]  你就要鼓勵自己
[00:01:14.400 --> 00:01:16.800]  一切以祂為中心
[00:01:16.800 --> 00:01:18.880]  以祂為王
[00:01:18.880 --> 00:01:21.480]  大家記得在舊聖經裏面提及到一位先知
[00:01:21.480 --> 00:01:23.840]  叫做以利亞先知
[00:01:23.840 --> 00:01:25.680]  以利亞先知當時出現的時候
[00:01:25.680 --> 00:01:27.120]  當時的以色列人
[00:01:27.120 --> 00:01:28.880]  他們又敬拜耶和華
[00:01:28.880 --> 00:01:30.960]  又敬拜巴力
