
[00:00:00.000 --> 00:00:06.000]  大家會記得這段時間我們一直在讀詩篇的祈禱詩
[00:00:06.000 --> 00:00:10.000]  如果大家一直數著那些日子
[00:00:10.000 --> 00:00:13.000]  你會看到現在來到第三個月了
[00:00:13.000 --> 00:00:19.000]  過去這兩個多月我們看了有八篇有關詩篇的祈禱詩
[00:00:19.000 --> 00:00:21.000]  今天來到第九篇了
[00:00:21.000 --> 00:00:23.000]  如果你一直小心聽的時候
[00:00:23.000 --> 00:00:27.000]  你會明白在很多詩篇的祈禱詩裏面
[00:00:27.000 --> 00:00:29.000]  有一些的共通點
[00:00:29.000 --> 00:00:32.000]  或者我簡單跟大家分享
[00:00:32.000 --> 00:00:35.000]  當你讀的時候你會發覺有幾個共通點
[00:00:35.000 --> 00:00:40.000]  第一,你會發覺詩人常常都會很清楚地確認
[00:00:40.000 --> 00:00:43.000]  他和神之間的關係
[00:00:43.000 --> 00:00:45.000]  在禱告裏面常常會提到
[00:00:45.000 --> 00:00:50.000]  你是我的神,你是我的上帝
[00:00:50.000 --> 00:00:53.000]  亦都在表達裏面很清楚地知道
[00:00:53.000 --> 00:00:57.000]  既然祂是我的上帝,祂不會忘記我的
[00:00:57.000 --> 00:00:59.000]  祂不會離棄我的
[00:00:59.000 --> 00:01:04.000]  因此放心、放膽向神祈禱
[00:01:04.000 --> 00:01:07.000]  第二,很多詩人當他們祈禱的時候
[00:01:07.000 --> 00:01:11.000]  禱告裏面一定帶著很多的感恩和讚美
[00:01:11.000 --> 00:01:14.000]  你很少見到一篇詩篇的祈禱詩
[00:01:14.000 --> 00:01:19.000]  全部都是訴求,全部都是祈禱
[00:01:19.000 --> 00:01:23.000]  而常常都帶著很多的感恩和讚美
[00:01:23.000 --> 00:01:26.000]  是回想神過去的工作
[00:01:26.000 --> 00:01:30.000]  在歷史當中,或者個人生命當中神的作為
[00:01:30.000 --> 00:01:32.000]  在那個回想過程當中
[00:01:32.000 --> 00:01:34.000]  承認神是有能力的
[00:01:34.000 --> 00:01:37.000]  承認神是無所不能的
[00:01:37.000 --> 00:01:42.000]  因此帶著那份信心,帶著那份感謝的心
[00:01:42.000 --> 00:01:47.000]  一路的感謝,一路的讚美,然後向神祈求
[00:01:47.000 --> 00:01:50.000]  第三,當你讀這些祈禱詩的時候
[00:01:50.000 --> 00:01:52.000]  你會察覺一個共通點
[00:01:52.000 --> 00:01:57.000]  就是他們在禱告當中一定是緊握著神的應許
[00:01:57.000 --> 00:02:03.000]  好知道上帝是應許,祂的慈愛是不會改變的
[00:02:03.000 --> 00:02:07.000]  亦都認識這位上帝,祂是信實的
[00:02:07.000 --> 00:02:09.000]  這是祂的屬性
[00:02:09.000 --> 00:02:13.000]  就算我們失信,祂不會對我們不信
[00:02:13.000 --> 00:02:15.000]  因為祂不能背負自己
[00:02:15.000 --> 00:02:19.000]  因此很清楚抓緊著神的那種應許
[00:02:19.000 --> 00:02:24.000]  就算環境改變,包括自己改變也好
[00:02:24.000 --> 00:02:27.000]  仍然知道上帝是不會改變的
[00:02:27.000 --> 00:02:29.000]  所以在自己就算軟弱的時候
[00:02:29.000 --> 00:02:32.000]  仍然很放膽地求神
[00:02:32.000 --> 00:02:38.000]  相信神會按照祂的屬性來工作
[00:02:38.000 --> 00:02:43.000]  緊握著祂的應許,就在當中繼續不斷地向神尋求
[00:02:43.000 --> 00:02:48.000]  各位靈姐妹,詩人給我們很特別的這些榜樣
[00:02:48.000 --> 00:02:53.000]  我們要用我們的勉勵,確認祂是你的神
[00:02:53.000 --> 00:02:56.000]  很清楚知道帶著感謝的心來祈禱
[00:02:56.000 --> 00:02:59.000]  也緊握著祂的應許
[00:02:59.000 --> 00:03:02.000]  當你祈禱的時候你會發覺有一種心靈的膽量
[00:03:02.000 --> 00:03:04.000]  可以放心向神求
[00:03:04.000 --> 00:03:08.000]  而去經歷到神怎樣聽人的祈禱
[00:03:08.000 --> 00:03:11.000]  今天當我們再讀到詩篇86篇的時候
[00:03:11.000 --> 00:03:15.000]  你再留心從這三個角度去看
[00:03:15.000 --> 00:03:17.000]  詩人怎樣向神祈禱
[00:03:17.000 --> 00:03:21.000]  特別其中一點就是他怎樣專一地向神求
[00:03:21.000 --> 00:03:27.000]  知道不灰心,他一定會成就我們向他所尋求的事情
[00:03:27.000 --> 00:03:29.000]  按他的時候,按他的心意
[00:03:29.000 --> 00:03:33.000]  重要的就是不會放棄向神來禱告
[00:03:33.000 --> 00:03:38.000]  所以現在你翻到86篇
[00:03:38.000 --> 00:03:41.000]  你看回第一節
[00:03:41.000 --> 00:03:45.000]  詩人在開始的時候就這樣表明出他怎樣緊握著主
[00:03:45.000 --> 00:03:48.000]  但這段主的應許是不放的
[00:03:48.000 --> 00:03:51.000]  不放手的來祈求
[00:03:51.000 --> 00:03:54.000]  耶和華,求祢留心聽我,應運我
[00:03:54.000 --> 00:03:57.000]  因我是困苦貧窮的
[00:03:57.000 --> 00:03:58.000]  一路看下去
[00:03:58.000 --> 00:04:01.000]  求祢保護我的性命,第三節
[00:04:01.000 --> 00:04:04.000]  主啊,求祢恩待我,第四節
[00:04:04.000 --> 00:04:08.000]  主啊,求祢使你的僕人心裡歡喜,第五節
[00:04:08.000 --> 00:04:10.000]  主啊,祢是良善的
[00:04:10.000 --> 00:04:15.000]  我向祢呼求的,祢一定以豐盛的慈愛待他們
[00:04:15.000 --> 00:04:17.000]  你一路讀的時候發覺
[00:04:17.000 --> 00:04:20.000]  這位詩人他很清楚看到
[00:04:20.000 --> 00:04:22.000]  主是他的幫助
[00:04:22.000 --> 00:04:27.000]  一路很熱誠地向神發出他尋求的心
[00:04:27.000 --> 00:04:30.000]  很懇切地表達出他的需要
[00:04:30.000 --> 00:04:32.000]  向神尋求
[00:04:32.000 --> 00:04:34.000]  而當他開始的時候
[00:04:34.000 --> 00:04:36.000]  向神尋求的時候
[00:04:36.000 --> 00:04:40.000]  他首先表達出他自己那種真實的狀況
[00:04:40.000 --> 00:04:44.000]  他說我是困苦貧窮的,第一節
[00:04:44.000 --> 00:04:46.000]  我是困苦的
[00:04:46.000 --> 00:04:48.000]  你知道這個作者是大衛
[00:04:48.000 --> 00:04:50.000]  大衛是君王
[00:04:50.000 --> 00:04:53.000]  當然他人生的階段很悲哀
[00:04:53.000 --> 00:04:57.000]  甚至逃跑被人追殺
[00:04:57.000 --> 00:04:58.000]  但是在過程當中
[00:04:58.000 --> 00:05:00.000]  他很清楚知道其實自己裡面
[00:05:00.000 --> 00:05:02.000]  是有很多的缺乏
[00:05:02.000 --> 00:05:04.000]  很多的需要
[00:05:04.000 --> 00:05:09.000]  以至他內心會很迫切地尋求神的幫助
[00:05:09.000 --> 00:05:11.000]  聖經提醒我們
[00:05:11.000 --> 00:05:13.000]  弟兄姊妹你們要熱切地
[00:05:13.000 --> 00:05:15.000]  恆切地向神禱告
[00:05:15.000 --> 00:05:17.000]  恆久熱切
[00:05:17.000 --> 00:05:19.000]  有些時候我們禱告的時候
[00:05:19.000 --> 00:05:21.000]  或者會感覺好像都很冷
[00:05:21.000 --> 00:05:25.000]  心好像提不起那種力量
[00:05:25.000 --> 00:05:27.000]  但是每當你去祈禱的時候
[00:05:27.000 --> 00:05:28.000]  你首先向神祈禱
[00:05:28.000 --> 00:05:31.000]  神讓我看到自己的需要
[00:05:31.000 --> 00:05:34.000]  看到自己真實的狀況
[00:05:34.000 --> 00:05:36.000]  你記得神在啟示錄
[00:05:36.000 --> 00:05:39.000]  曾經提醒老弟家的教會
[00:05:39.000 --> 00:05:40.000]  老弟家的教會
[00:05:40.000 --> 00:05:42.000]  聖經說他們當時
[00:05:42.000 --> 00:05:45.000]  他們覺得自己是很富足的
[00:05:45.000 --> 00:05:47.000]  一無所缺
[00:05:47.000 --> 00:05:48.000]  然後神就告訴他們
[00:05:48.000 --> 00:05:52.000]  你們要向我求拿眼藥
[00:05:52.000 --> 00:05:56.000]  求拿眼藥可以擦亮你的眼睛
[00:05:56.000 --> 00:05:59.000]  當然聖經所說的是心靈的眼睛
[00:05:59.000 --> 00:06:02.000]  以至你看到自己其實是貧窮的
[00:06:02.000 --> 00:06:05.000]  是赤身露體的
[00:06:05.000 --> 00:06:07.000]  以至你會向我求
[00:06:07.000 --> 00:06:10.000]  我就將真正的富足賜給你們
[00:06:10.000 --> 00:06:12.000]  在禱告的時候
[00:06:12.000 --> 00:06:16.000]  神讓我們知道自己真實的需要
[00:06:16.000 --> 00:06:18.000]  真實的那種不足
[00:06:18.000 --> 00:06:21.000]  以至我們裡面真的去渴求它
[00:06:21.000 --> 00:06:23.000]  我想分析當聖經提及到
[00:06:23.000 --> 00:06:27.000]  那位闔了眼的那位乞丐
[00:06:27.000 --> 00:06:29.000]  在路上
[00:06:29.000 --> 00:06:31.000]  人家都擁擠著耶穌
[00:06:31.000 --> 00:06:35.000]  但是當時沒有人向耶穌提出什麼祈求
[00:06:35.000 --> 00:06:37.000]  但這位乞丐聽見耶穌走近
[00:06:37.000 --> 00:06:38.000]  就大聲叫
[00:06:38.000 --> 00:06:40.000]  你記得他叫什麼嗎?
[00:06:40.000 --> 00:06:43.000]  大衛的子孫可憐我爸
[00:06:43.000 --> 00:06:45.000]  人家就說你不要出聲
[00:06:45.000 --> 00:06:47.000]  不要吵
[00:06:47.000 --> 00:06:48.000]  叫他不要出聲
[00:06:48.000 --> 00:06:51.000]  但是他不僅沒有出聲
[00:06:51.000 --> 00:06:53.000]  他更加大聲
[00:06:53.000 --> 00:06:55.000]  大聲地向神求
[00:06:55.000 --> 00:06:57.000]  但你可憐我啊
[00:06:57.000 --> 00:07:01.000]  然後主耶穌就請他過來
[00:07:01.000 --> 00:07:02.000]  就問他
[00:07:02.000 --> 00:07:05.000]  耶穌難道不知道他有什麼需要
[00:07:05.000 --> 00:07:07.000]  但耶穌很清楚
[00:07:07.000 --> 00:07:10.000]  讓他表達出他真正的需要
[00:07:10.000 --> 00:07:13.000]  你要我為你做什麼
[00:07:13.000 --> 00:07:16.000]  你記得這位乞丐說什麼嗎?
[00:07:16.000 --> 00:07:17.000]  一句話
[00:07:17.000 --> 00:07:18.000]  很清楚
[00:07:18.000 --> 00:07:21.000]  我要能看見
[00:07:21.000 --> 00:07:24.000]  就是這樣向主表達他的需要
[00:07:24.000 --> 00:07:25.000]  然後主告訴他
[00:07:25.000 --> 00:07:28.000]  你的信心夠了你
[00:07:28.000 --> 00:07:31.000]  然後他立時得到醫治
[00:07:31.000 --> 00:07:33.000]  很多弟兄姊妹都經歷到
[00:07:33.000 --> 00:07:34.000]  在一些時候
[00:07:34.000 --> 00:07:36.000]  一路祈禱都發覺
[00:07:36.000 --> 00:07:38.000]  神好像沒有回應
[00:07:38.000 --> 00:07:39.000]  直到有一刻
[00:07:39.000 --> 00:07:42.000]  深刻地清楚知道自己的需要
[00:07:42.000 --> 00:07:44.000]  而很誠實地
[00:07:44.000 --> 00:07:47.000]  不去隱瞞地
[00:07:47.000 --> 00:07:49.000]  來向神尋求的時候
[00:07:49.000 --> 00:07:52.000]  就經歷神那種恩惠
[00:07:52.000 --> 00:07:54.000]  你看到詩人向神祈求
[00:07:54.000 --> 00:07:57.000]  因為我是困苦貧窮的
[00:07:57.000 --> 00:07:58.000]  一直向神求
[00:07:58.000 --> 00:08:01.000]  神求你來拯救我
[00:08:01.000 --> 00:08:03.000]  求你幫助我
