
[00:00:00.000 --> 00:00:11.000]  今天我和大家一同思想約翰福音裡面所記載的主耶穌所講的關於生命的信息
[00:00:11.000 --> 00:00:18.000]  約翰福音裡面所記載關於生命的信息多過任何其他一卷福音書
[00:00:18.000 --> 00:00:21.000]  這是約翰福音的特點
[00:00:21.000 --> 00:00:24.000]  主耶穌講到生命的信息的時候
[00:00:24.000 --> 00:00:27.000]  他多用比喻
[00:00:27.000 --> 00:00:35.000]  在約翰福音裡面至少記載主耶穌所講關於生命的七個比喻
[00:00:35.000 --> 00:00:42.000]  每一個比喻告訴我們關於生命的信息的兩方面
[00:00:42.000 --> 00:00:47.000]  這七個比喻所講的是非常的完全的
[00:00:47.000 --> 00:00:54.000]  我們從這些比喻裡面可以更深的了解生命的真理
[00:00:54.000 --> 00:01:00.000]  所以這些信息與我們每一個人的書裡的生命有密切的關係
[00:01:00.000 --> 00:01:05.000]  讓我們一同謙卑的來思想和解釋
[00:01:05.000 --> 00:01:12.000]  第一個比喻是記載在約翰福音十二章二十四節裡面
[00:01:12.000 --> 00:01:16.000]  十二章二十四節
[00:01:16.000 --> 00:01:18.000]  主耶穌在這說
[00:01:18.000 --> 00:01:23.000]  我實實在在的告訴你們伊利曼依茲不落在地裡飼養
[00:01:23.000 --> 00:01:30.000]  仍舊是伊利若是飼養就接觸許多子女來
[00:01:30.000 --> 00:01:32.000]  這個比喻是我們很熟悉的
[00:01:32.000 --> 00:01:37.000]  它告訴我們關於生命的兩方面
[00:01:37.000 --> 00:01:42.000]  第一方面生命的來源第二方面生命的發展
[00:01:42.000 --> 00:01:46.000]  我們先看第一方面生命的來源
[00:01:46.000 --> 00:01:50.000]  這個比喻是指著主耶穌自己說的
[00:01:50.000 --> 00:01:55.000]  他就是那一粒落在地裡飼養的麥子
[00:01:55.000 --> 00:02:02.000]  因為他飼養就有許多的人千千萬萬的人因他的生命
[00:02:02.000 --> 00:02:06.000]  我們也在這千千萬萬的人之中
[00:02:06.000 --> 00:02:12.000]  所以我們生命的來源是主的死
[00:02:12.000 --> 00:02:16.000]  第二方面生命的發展
[00:02:16.000 --> 00:02:21.000]  這個比喻也可以用在我們基督徒身上
[00:02:21.000 --> 00:02:27.000]  當我們願意讓自己的老生命死了的時候
[00:02:27.000 --> 00:02:32.000]  換句話說當我們願意和基督徒同定十字架的時候
[00:02:32.000 --> 00:02:37.000]  我們的生命就開始發展成為豐盛的生命
[00:02:37.000 --> 00:02:41.000]  接觸許多的果子來
[00:02:41.000 --> 00:02:46.000]  我們看見當原子分裂的時候它就產生能力
[00:02:46.000 --> 00:02:53.000]  但是在得到能力之前它必須先分裂失去自己
