
[00:00:00.000 --> 00:00:02.720]  在這段經文的上文
[00:00:02.720 --> 00:00:05.080]  大家還記不記得 說了些什麼
[00:00:05.080 --> 00:00:07.120]  在第四章就說到
[00:00:07.120 --> 00:00:10.080]  耶穌在撒瑪利亞的地方
[00:00:10.080 --> 00:00:10.920]  遇見一個婦人
[00:00:10.920 --> 00:00:15.320]  然後讓這個婦人認識他是誰
[00:00:15.320 --> 00:00:19.600]  然後這個婦人就帶他去到自己的家鄉
[00:00:19.600 --> 00:00:23.440]  然後在第四章的40-42節
[00:00:23.440 --> 00:00:24.920]  有一段這樣的說話
[00:00:24.920 --> 00:00:27.040]  於是撒瑪利亞人來見耶穌
[00:00:27.040 --> 00:00:29.360]  求他們在那裡住下
[00:00:29.360 --> 00:00:31.720]  他便在那裡住了兩天
[00:00:31.720 --> 00:00:34.600]  因耶穌的話 信的人就更多了
[00:00:34.600 --> 00:00:35.880]  便對婦人說
[00:00:35.880 --> 00:00:38.560]  現在我們信不是因為你的話
[00:00:38.560 --> 00:00:40.680]  是我們親自聽見了
[00:00:40.680 --> 00:00:43.880]  知道者真是救世主
[00:00:43.880 --> 00:00:46.040]  耶穌在撒瑪利亞地方
[00:00:46.040 --> 00:00:47.560]  在外邦人的地方
[00:00:47.560 --> 00:00:50.680]  可以說取得了一個很大的成功
[00:00:50.680 --> 00:00:53.000]  有很多的外族人 外邦人
[00:00:53.000 --> 00:00:54.880]  都認識他是誰
[00:00:54.880 --> 00:00:55.960]  他的身份
[00:00:55.960 --> 00:00:58.520]  他就是一個救世主
[00:00:58.520 --> 00:01:00.800]  在一個這樣的氣氛裡
[00:01:00.800 --> 00:01:03.360]  可以說這麼好的一個環境裡
[00:01:03.360 --> 00:01:06.840]  耶穌就選擇了離開那個地方
[00:01:06.840 --> 00:01:10.320]  回到加利利這個地方
[00:01:10.320 --> 00:01:14.320]  他先前預備的那個行程裡
[00:01:14.320 --> 00:01:17.480]  所以在第四章的43-45節這樣說
[00:01:17.480 --> 00:01:19.000]  過了那兩天
[00:01:19.000 --> 00:01:20.600]  耶穌來了那地方
[00:01:20.600 --> 00:01:22.120]  過往加利利去
[00:01:22.120 --> 00:01:24.560]  因為耶穌自己作過見證說
[00:01:24.560 --> 00:01:27.480]  先知在本地是沒有人尊敬的
[00:01:27.480 --> 00:01:28.640]  到了加利利
[00:01:28.640 --> 00:01:30.320]  加利利人既然看見他
[00:01:30.320 --> 00:01:33.600]  在耶路撒冷過節所行的一切事
[00:01:33.600 --> 00:01:34.800]  就接待他
[00:01:34.800 --> 00:01:38.120]  因為他們也是想去過節的
[00:01:38.120 --> 00:01:39.520]  在這裡
[00:01:39.520 --> 00:01:42.640]  耶穌還沒去到加利利之前
[00:01:42.640 --> 00:01:43.680]  他已經說了一句話
[00:01:43.680 --> 00:01:44.840]  這句話是很重要的
[00:01:44.840 --> 00:01:47.040]  去理解這段經文
[00:01:47.040 --> 00:01:49.040]  或者理解由第二章
[00:01:49.040 --> 00:01:51.040]  至到第四章這段經文
[00:01:51.040 --> 00:01:53.040]  這句話都相當重要
[00:01:53.040 --> 00:01:54.560]  耶穌在這裡說
[00:01:54.560 --> 00:01:58.360]  先知在本地是無人尊敬的
[00:01:58.360 --> 00:02:01.080]  在這裡本地究竟是什麼意思呢
[00:02:01.080 --> 00:02:04.120]  究竟是不是指加利利的地方呢
[00:02:04.120 --> 00:02:07.560]  其實按照上下文的理解應該不是
[00:02:07.560 --> 00:02:11.040]  在上文就說到在撒瑪利人的地方
[00:02:11.040 --> 00:02:11.960]  接著去到這裡
[00:02:11.960 --> 00:02:13.800]  耶穌說在本地
[00:02:13.800 --> 00:02:14.800]  就是在本地
[00:02:14.800 --> 00:02:17.200]  所以這個地應該就是說到
[00:02:17.200 --> 00:02:19.360]  耶穌從外族人裡面
[00:02:19.360 --> 00:02:22.440]  回到自己的民族當中
[00:02:22.440 --> 00:02:24.040]  或者自己人的地方
[00:02:24.040 --> 00:02:27.360]  所以這個本地其實包括猶大全地
[00:02:27.360 --> 00:02:29.440]  包括猶太人居住的地方
[00:02:29.440 --> 00:02:32.000]  就是說耶穌來到自己人的地方
[00:02:32.000 --> 00:02:33.680]  耶穌說
[00:02:33.680 --> 00:02:37.080]  來到自己人的地方才不會有人尊敬
[00:02:37.080 --> 00:02:40.080]  他很清楚知道這個情況
[00:02:40.080 --> 00:02:41.080]  他來到的時候
[00:02:41.080 --> 00:02:44.400]  這些可以說是加利利人去接待他
[00:02:44.400 --> 00:02:47.040]  他們見過耶穌在耶路撒冷
[00:02:47.040 --> 00:02:49.480]  行過不少的神蹟
[00:02:49.480 --> 00:02:51.720]  接著他們就接待耶穌
[00:02:51.720 --> 00:02:54.240]  這些接待基本上
[00:02:54.240 --> 00:02:57.080]  可以說是很膚淺的接待
[00:02:57.080 --> 00:02:58.560]  很模糊的接待
[00:02:58.560 --> 00:03:01.920]  不是好像撒瑪利亞人一樣
[00:03:01.920 --> 00:03:04.920]  很清楚認識你就是那個救世主
[00:03:04.920 --> 00:03:06.320]  在經文的表達裡面
[00:03:06.320 --> 00:03:07.920]  我們見到不是這樣
[00:03:07.920 --> 00:03:09.200]  這些猶太人
[00:03:09.200 --> 00:03:10.120]  這些加利利人
[00:03:10.120 --> 00:03:11.840]  或者這個大神
[00:03:11.840 --> 00:03:15.120]  他的信心
