
[00:00:00.000 --> 00:00:02.800]  大家打開聖經創世紀第十八章
[00:00:02.800 --> 00:00:06.000]  我們一起來思想聖經的說話
[00:00:06.000 --> 00:00:13.000]  當你去讀聖經的時候
[00:00:13.000 --> 00:00:15.800]  會常常讀到聖經提及
[00:00:15.800 --> 00:00:20.600]  這位上帝是公義又公平的上帝
[00:00:20.600 --> 00:00:22.600]  我們常常讀到詩篇
[00:00:22.600 --> 00:00:25.400]  詩篇有一句說話很多弟兄姊妹都記得
[00:00:25.400 --> 00:00:28.000]  就是詩篇八十九篇裡面所提
[00:00:28.000 --> 00:00:30.000]  提到上帝的寶座
[00:00:30.000 --> 00:00:36.000]  聖經就說公義和公平是你寶座的根基
[00:00:36.000 --> 00:00:41.000]  慈愛和誠實行在你的前面
[00:00:41.000 --> 00:00:43.800]  聖經描述神自己的寶座
[00:00:43.800 --> 00:00:45.800]  表達祂那種的掌權
[00:00:45.800 --> 00:00:47.800]  祂的審判
[00:00:47.800 --> 00:00:54.000]  但是上帝的寶座是以公義和公平作為根基
[00:00:54.000 --> 00:00:58.000]  神按祂的公義和公平去管理
[00:00:58.000 --> 00:01:00.000]  去掌管世界
[00:01:00.000 --> 00:01:02.000]  去審判萬民
[00:01:02.000 --> 00:01:04.000]  但是同樣上帝的公義和公平
[00:01:04.000 --> 00:01:08.000]  是在慈愛和誠實當中進行
[00:01:08.000 --> 00:01:11.000]  二者之間是互相配合
[00:01:11.000 --> 00:01:13.000]  是不會抵觸的
[00:01:13.000 --> 00:01:16.000]  兩者在神的恩典裡面
[00:01:16.000 --> 00:01:20.000]  成為了對整個世界的真正的祝福
[00:01:20.000 --> 00:01:23.000]  這次當聖經提及到神的公義和公平的時候
[00:01:23.000 --> 00:01:26.000]  同樣提到祂的慈愛和祂的誠實
[00:01:26.000 --> 00:01:28.000]  因此你記得當主耶穌來到的時候
[00:01:28.000 --> 00:01:31.000]  聖經就說道成肉身
[00:01:31.000 --> 00:01:33.000]  來到我們中間
[00:01:33.000 --> 00:01:38.000]  充充滿滿有恩典和真理
