
[00:00:00.000 --> 00:00:03.000]  我們剛才讀那段聖經在路加福音
[00:00:03.000 --> 00:00:05.000]  我相信大家都會很熟悉
[00:00:05.000 --> 00:00:10.000]  因為你知道這段聖經其實是一個總結
[00:00:10.000 --> 00:00:14.000]  或者是一個總論的陳述
[00:00:14.000 --> 00:00:17.000]  是講到耶穌基督上十字架之前
[00:00:17.000 --> 00:00:20.000]  在喀西瑪利園的祈禱
[00:00:20.000 --> 00:00:22.000]  耶穌基督在喀西瑪利園的祈禱
[00:00:22.000 --> 00:00:24.000]  當然不只是在路加福音有記載
[00:00:24.000 --> 00:00:27.000]  不過路加福音記載得比較簡單
[00:00:27.000 --> 00:00:31.000]  但我今天想和大家深刻地看這段聖經的時候
[00:00:31.000 --> 00:00:33.000]  我們要看《馬太》《馬可》
[00:00:33.000 --> 00:00:37.000]  我就想拿《馬可福音》作為一個主要的範本
[00:00:37.000 --> 00:00:39.000]  其實都是同一段的聖經
[00:00:39.000 --> 00:00:41.000]  同一個記載
[00:00:41.000 --> 00:00:43.000]  不如我們看《馬可福音》好嗎
[00:00:43.000 --> 00:00:45.000]  我們可以打開新約聖經
[00:00:45.000 --> 00:00:47.000]  唐用聖經的57頁
[00:00:47.000 --> 00:00:49.000]  如果是唐用聖經的57頁
[00:00:49.000 --> 00:00:50.000]  《馬可福音》
[00:00:50.000 --> 00:00:53.000]  我們看《馬可福音》裡面同一段的記載
[00:00:53.000 --> 00:00:56.000]  《馬可福音》裡面的記載比較詳細一點
[00:00:56.000 --> 00:00:59.000]  《馬可福音》的第14章
[00:00:59.000 --> 00:01:02.000]  32節
[00:01:02.000 --> 00:01:05.000]  一直到42節
[00:01:05.000 --> 00:01:07.000]  10節的經文
[00:01:07.000 --> 00:01:09.000]  10節的經文
[00:01:09.000 --> 00:01:11.000]  詳細記載到這一段
[00:01:11.000 --> 00:01:15.000]  耶穌基督在喀西瑪利園的祈禱
[00:01:15.000 --> 00:01:18.000]  我們今天的題目是
[00:01:18.000 --> 00:01:21.000]  堅定禱告不入迷惑
[00:01:21.000 --> 00:01:24.000]  我們今天只是很簡單地思想一下
[00:01:24.000 --> 00:01:26.000]  究竟這個禱告
[00:01:26.000 --> 00:01:28.000]  在喀西瑪利園的禱告
[00:01:28.000 --> 00:01:31.000]  對於你和我有什麼提示
[00:01:31.000 --> 00:01:34.000]  其實如果你看《馬可福音》就知道
[00:01:34.000 --> 00:01:40.000]  這段聖經是分了兩個不同的角度去講這件事
[00:01:40.000 --> 00:01:44.000]  最初就講到主耶穌基督和門徒
[00:01:44.000 --> 00:01:47.000]  去到喀西瑪利園裡面的禱告
[00:01:47.000 --> 00:01:49.000]  講到主耶穌的禱告和掙扎
[00:01:49.000 --> 00:01:51.000]  剛才我們在路加科音部
[00:01:51.000 --> 00:01:53.000]  甚至講到主耶穌的汗
[00:01:53.000 --> 00:01:55.000]  好像血點一樣滴在地上
[00:01:55.000 --> 00:01:57.000]  是很大的掙扎
[00:01:57.000 --> 00:01:58.000]  禱告掙扎
[00:01:58.000 --> 00:02:00.000]  我想大家都應該很記得這一段
[00:02:00.000 --> 00:02:02.000]  然後你留意
[00:02:02.000 --> 00:02:04.000]  其實馬太和馬可
[00:02:04.000 --> 00:02:06.000]  記載了這段聖經的時候
[00:02:06.000 --> 00:02:07.000]  記載了這件事的時候
[00:02:07.000 --> 00:02:08.000]  接著下半部分
[00:02:08.000 --> 00:02:12.000]  就將重點落在了這些門徒身上
[00:02:12.000 --> 00:02:13.000]  就發覺這些門徒
[00:02:13.000 --> 00:02:14.000]  在耶穌祈禱的時候
[00:02:14.000 --> 00:02:16.000]  他們在那裡睡覺
[00:02:16.000 --> 00:02:18.000]  是很醜的事
[00:02:18.000 --> 00:02:20.000]  尤其是那三個大門徒
[00:02:20.000 --> 00:02:22.000]  聖經那裡就講到
[00:02:22.000 --> 00:02:24.000]  本來是全班門徒一起去的
[00:02:24.000 --> 00:02:26.000]  馬太就記載了很清楚
[00:02:26.000 --> 00:02:27.000]  去到的時候
[00:02:27.000 --> 00:02:28.000]  喀西瑪利園的時候
[00:02:28.000 --> 00:02:30.000]  說我心裡面要有一個很大的掙扎
[00:02:30.000 --> 00:02:32.000]  我想禱告
[00:02:32.000 --> 00:02:34.000]  於是就叫門徒留在那裡
[00:02:34.000 --> 00:02:36.000]  他特別選了三個
[00:02:36.000 --> 00:02:38.000]  這三個大家當然知道
[00:02:38.000 --> 00:02:40.000]  是最出名的三個
[00:02:40.000 --> 00:02:42.000]  也是耶穌最親近的三個
[00:02:42.000 --> 00:02:43.000]  就是什麼呢
[00:02:43.000 --> 00:02:45.000]  彼得、雅各、約翰
[00:02:45.000 --> 00:02:48.000]  叫他們特意陪我過去
[00:02:48.000 --> 00:02:50.000]  就是耶穌說我很需要你們
[00:02:50.000 --> 00:02:52.000]  很需要你們陪我過去
[00:02:52.000 --> 00:02:53.000]  十二個門徒裡面
[00:02:53.000 --> 00:02:54.000]  只選了你們三個
[00:02:54.000 --> 00:02:56.000]  於是就選了他們三個
[00:02:56.000 --> 00:02:58.000]  叫他們拿你們來
[00:02:58.000 --> 00:02:59.000]  在那裡祈禱
[00:02:59.000 --> 00:03:00.000]  耶穌告訴他們
[00:03:00.000 --> 00:03:02.000]  我祈禱之前
[00:03:02.000 --> 00:03:03.000]  耶穌告訴他們
[00:03:03.000 --> 00:03:04.000]  我需要你們
[00:03:04.000 --> 00:03:05.000]  因為馬科科那裡講到
[00:03:05.000 --> 00:03:06.000]  他說什麼呢
[00:03:06.000 --> 00:03:08.000]  他說等我們祈禱
[00:03:08.000 --> 00:03:09.000]  於是聖經說
[00:03:09.000 --> 00:03:11.000]  耶穌就驚恐起來
[00:03:11.000 --> 00:03:12.000]  極其難過
[00:03:12.000 --> 00:03:15.000]  聖經很少記載這樣的事件
[00:03:15.000 --> 00:03:17.000]  耶穌是很定的
[00:03:17.000 --> 00:03:21.000]  但是耶穌在這件事上
[00:03:21.000 --> 00:03:23.000]  他非常驚恐
[00:03:23.000 --> 00:03:25.000]  極其難過
[00:03:25.000 --> 00:03:28.000]  然後他甚至跟那些門徒說
[00:03:28.000 --> 00:03:29.000]  那三個人說
[00:03:29.000 --> 00:03:30.000]  我心裡甚至憂傷
[00:03:30.000 --> 00:03:32.000]  幾乎要死
[00:03:32.000 --> 00:03:33.000]  我想夠了吧
[00:03:33.000 --> 00:03:34.000]  這樣的形容詞
[00:03:34.000 --> 00:03:35.000]  這樣的說法
[00:03:35.000 --> 00:03:36.000]  夠嚴重了吧
[00:03:36.000 --> 00:03:38.000]  你們在這裡等我
[00:03:38.000 --> 00:03:40.000]  等候要警醒
[00:03:40.000 --> 00:03:42.000]  那天叫他們警醒
[00:03:42.000 --> 00:03:43.000]  要醒目一點
[00:03:43.000 --> 00:03:44.000]  為我祈禱
[00:03:44.000 --> 00:03:46.000]  我就過去那邊祈禱
[00:03:46.000 --> 00:03:47.000]  加上路加科罕的記載
[00:03:47.000 --> 00:03:48.000]  就是一塊石頭
[00:03:48.000 --> 00:03:49.000]  不算很遠
[00:03:49.000 --> 00:03:51.000]  一塊石頭有多遠
[00:03:51.000 --> 00:03:53.000]  用盡力量也想不到有多遠
[00:03:53.000 --> 00:03:55.000]  大概也不夠五十公尺
[00:03:55.000 --> 00:03:59.000]  在那裡他自己一個人跪下
[00:03:59.000 --> 00:04:00.000]  路加科罕說
[00:04:00.000 --> 00:04:01.000]  馬科科那裡講到
[00:04:01.000 --> 00:04:02.000]  更清楚
[00:04:02.000 --> 00:04:05.000]  他跪到虎伏在地上
[00:04:05.000 --> 00:04:06.000]  來祈禱
[00:04:06.000 --> 00:04:08.000]  按照猶太人的祈禱習慣
[00:04:08.000 --> 00:04:09.000]  他不會是脈祷
[00:04:09.000 --> 00:04:10.000]  是說出聲音
[00:04:10.000 --> 00:04:12.000]  所以門徒應該聽到他說什麼
[00:04:12.000 --> 00:04:13.000]  耶穌就說了那幾句
[00:04:13.000 --> 00:04:16.000]  我想大家都很熟悉的掙扎的話
[00:04:16.000 --> 00:04:18.000]  他說如果可行啊主啊
[00:04:18.000 --> 00:04:19.000]  天父啊
[00:04:19.000 --> 00:04:22.000]  就叫那個杯離開我
[00:04:22.000 --> 00:04:23.000]  但是
